spec,n_fit,nvalid_fit,medabs_fit,medbias_fit,exact_fit,within5_fit,agree_fit,n_hold,nvalid_hold,medabs_hold,medbias_hold,exact_hold,within5_hold,agree_hold
d7|cumlo_nearspot,548,365,85.0,35.0,0.00821917808219178,0.038356164383561646,0.6,632,445,65.0,50.0,0.01348314606741573,0.02696629213483146,0.6786516853932584
d30|peak_net,548,548,85.0,80.0,0.009124087591240875,0.058394160583941604,0.572992700729927,632,632,100.0,100.0,0.0031645569620253164,0.022151898734177215,0.4920886075949367
monthly|peak_totgamma,548,548,85.0,0.0,0.10036496350364964,0.1624087591240876,0.635036496350365,632,632,155.0,-10.0,0.020569620253164556,0.0680379746835443,0.5981012658227848
d60|peak_net,548,548,90.0,85.0,0.005474452554744526,0.04562043795620438,0.5656934306569343,632,632,105.0,105.0,0.0031645569620253164,0.020569620253164556,0.46677215189873417
d45|peak_net,548,548,90.0,80.0,0.0072992700729927005,0.04927007299270073,0.5656934306569343,632,632,105.0,105.0,0.0031645569620253164,0.020569620253164556,0.4699367088607595
d90|peak_net,548,548,95.0,95.0,0.0036496350364963502,0.03832116788321168,0.5675182481751825,632,632,105.0,105.0,0.0031645569620253164,0.01740506329113924,0.4699367088607595
d30|trough_net,548,548,100.0,-100.0,0.016423357664233577,0.03102189781021898,0.5875912408759124,632,632,95.0,-90.0,0.0379746835443038,0.0680379746835443,0.7231012658227848
all|peak_net,548,548,105.0,105.0,0.0036496350364963502,0.03467153284671533,0.5675182481751825,632,632,130.0,125.0,0.0031645569620253164,0.012658227848101266,0.4588607594936709
isqrt|trough_net,548,548,105.0,-100.0,0.012773722627737226,0.029197080291970802,0.5948905109489051,632,632,80.0,-60.0,0.03164556962025317,0.07278481012658228,0.7325949367088608
d45|trough_net,548,548,110.0,-105.0,0.012773722627737226,0.021897810218978103,0.5948905109489051,632,632,100.0,-97.5,0.02689873417721519,0.05063291139240506,0.7151898734177216
d30|cumlo_nearspot,548,368,112.5,62.5,0.002717391304347826,0.008152173913043478,0.42391304347826086,632,471,95.0,75.0,0.0,0.0,0.46709129511677283
d30|cumlo_maxswing,548,368,115.0,60.0,0.002717391304347826,0.008152173913043478,0.42391304347826086,632,471,95.0,75.0,0.0,0.0,0.46496815286624205
