spec,n_fit,nvalid_fit,medabs_fit,medbias_fit,exact_fit,within5_fit,agree_fit,n_hold,nvalid_hold,medabs_hold,medbias_hold,exact_hold,within5_hold,agree_hold
d30|cumhi_highest,548,409,1205.0,1205.0,0.0,0.0,0.48166259168704156,632,315,320.0,-60.0,0.0,0.0031746031746031746,0.4380952380952381
d7|cumlo_lowest,548,365,1220.0,-1220.0,0.010958904109589041,0.0273972602739726,0.6712328767123288,632,445,110.0,20.0,0.006741573033707865,0.020224719101123594,0.7460674157303371
d7|negnearzero,548,548,1340.0,-1305.0,0.0,0.0,0.572992700729927,632,632,2255.0,-2255.0,0.0,0.0,0.625
d45|cumhi_highest,548,440,1612.5,1612.5,0.0,0.0,0.45681818181818185,632,377,1505.0,1495.0,0.0,0.0,0.3687002652519894
d60|cumhi_highest,548,445,2000.0,2000.0,0.0,0.0,0.47415730337078654,632,439,2705.0,2705.0,0.0,0.0,0.38724373576309795
d30|negnearzero,548,548,2100.0,-1252.5,0.0,0.0,0.46167883211678834,632,632,2055.0,-1832.5,0.0,0.0,0.6028481012658228
d90|cumhi_highest,548,469,2205.0,2205.0,0.0,0.0,0.43070362473347545,632,518,3415.0,3415.0,0.0,0.0,0.37065637065637064
d45|negnearzero,548,548,2600.0,570.0,0.0,0.0,0.4397810218978102,632,632,2495.0,-1692.5,0.0,0.0,0.5332278481012658
d30|cumlo_lowest,548,368,2727.5,-2727.5,0.0,0.005434782608695652,0.5516304347826086,632,471,155.0,55.0,0.0,0.0,0.5668789808917197
d60|negnearzero,548,548,2790.0,1175.0,0.0,0.0,0.49635036496350365,632,632,2995.0,-1310.0,0.0,0.0,0.5189873417721519
d45|cumlo_lowest,548,372,2915.0,-2915.0,0.0,0.002688172043010753,0.489247311827957,632,469,180.0,60.0,0.0,0.0,0.511727078891258
ex1|cumlo_lowest,548,401,2925.0,-2925.0,0.0,0.0,0.32418952618453867,632,440,200.0,152.5,0.0,0.0,0.22954545454545455
all|cumlo_lowest,548,405,2925.0,-2925.0,0.0,0.0,0.3506172839506173,632,441,175.0,120.0,0.0,0.0,0.31519274376417233
monthly|cumlo_lowest,548,397,2975.0,-2975.0,0.0,0.0,0.3047858942065491,632,470,307.5,210.0,0.0,0.0,0.24680851063829787
isqrt|cumlo_lowest,548,411,2995.0,-2995.0,0.0024330900243309003,0.0024330900243309003,0.5060827250608273,632,427,100.0,60.0,0.00702576112412178,0.0117096018735363,0.6463700234192038
d60|cumlo_lowest,548,375,3070.0,-3070.0,0.0,0.0026666666666666666,0.43466666666666665,632,464,192.5,65.0,0.0,0.0,0.5021551724137931
d90|negnearzero,548,548,3265.0,930.0,0.0,0.0,0.41788321167883213,632,632,3792.5,3405.0,0.0,0.0,0.4509493670886076
d90|cumlo_lowest,548,379,3310.0,-3310.0,0.0,0.002638522427440633,0.39577836411609496,632,456,202.5,75.0,0.0,0.0,0.4649122807017544
all|negnearzero,548,548,3705.0,-3700.0,0.0,0.0,0.531021897810219,632,632,4370.0,-1360.0,0.0,0.0,0.5443037974683544
ex1|negnearzero,548,548,3707.5,-3700.0,0.0,0.0,0.531021897810219,632,632,4370.0,-1360.0,0.0,0.0,0.5443037974683544
monthly|negnearzero,548,548,3740.0,-3700.0,0.0,0.0,0.5237226277372263,632,632,4215.0,-1665.0,0.0,0.0,0.5332278481012658
isqrt|negnearzero,548,548,3757.5,-3702.5,0.0,0.0,0.531021897810219,632,632,4562.5,-1375.0,0.0,0.0,0.5443037974683544
