entry_dt,exit_dt,entry,exit,pts,bars,mae_pts,pnl
2023-09-05 12:00:00,2023-09-08 08:00:00,5195.25,5160.5,-35.0,5,-50.75,-180.0
2023-11-30 08:00:00,2023-11-30 12:00:00,5196.5,5217.75,21.0,1,0.0,100.0
2023-12-06 12:00:00,2023-12-07 08:00:00,5199.75,5232.5,32.5,1,0.0,157.5
2023-12-20 12:00:00,2023-12-21 12:00:00,5337.75,5387.0,49.0,2,0.0,240.0
2024-01-03 12:00:00,2024-01-08 08:00:00,5337.75,5361.25,23.25,5,-17.75,111.25
2024-01-17 08:00:00,2024-01-18 12:00:00,5355.75,5400.5,44.5,3,0.0,217.5
2024-01-31 12:00:00,2024-02-01 12:00:00,5463.25,5535.5,72.0,2,0.0,355.0
2024-02-13 08:00:00,2024-02-14 12:00:00,5564.0,5609.5,45.25,3,-2.0,221.25
2024-02-20 08:00:00,2024-02-21 12:00:00,5570.5,5584.25,13.5,3,0.0,62.5
2024-02-28 12:00:00,2024-02-29 08:00:00,5662.75,5681.75,18.75,1,0.0,88.75
2024-03-15 08:00:00,2024-03-18 08:00:00,5695.75,5747.25,51.25,2,0.0,251.25
2024-03-26 12:00:00,2024-03-27 12:00:00,5798.25,5838.25,39.75,2,0.0,193.75
2024-04-04 12:00:00,2024-04-05 08:00:00,5728.75,5798.5,69.5,1,0.0,342.5
2024-04-10 08:00:00,2024-04-11 12:00:00,5733.0,5770.5,37.25,3,-8.0,181.25
2024-05-29 12:00:00,2024-05-31 12:00:00,5807.0,5824.5,17.25,4,-62.75,81.25
2024-06-24 12:00:00,2024-06-25 12:00:00,5978.75,5996.25,17.25,2,0.0,81.25
2024-07-17 12:00:00,2024-07-22 08:00:00,6101.25,6060.75,-40.75,5,-90.5,-208.75
2024-09-03 08:00:00,2024-09-09 08:00:00,6033.0,5953.25,-80.0,8,-155.0,-405.0
2024-10-03 08:00:00,2024-10-04 08:00:00,6136.75,6182.25,45.25,2,0.0,221.25
2024-10-23 08:00:00,2024-10-24 12:00:00,6240.25,6257.0,16.5,3,0.0,77.5
2024-10-31 08:00:00,2024-11-05 08:00:00,6165.0,6208.75,43.5,6,-19.75,212.5
2024-11-14 12:00:00,2024-11-19 08:00:00,6366.5,6330.5,-36.25,5,-71.75,-186.25
2024-12-09 12:00:00,2024-12-11 08:00:00,6463.25,6501.0,37.5,3,-9.5,182.5
2024-12-13 08:00:00,2024-12-16 08:00:00,6444.0,6489.5,45.25,2,0.0,221.25
2025-02-21 08:00:00,2025-02-28 12:00:00,6399.75,6288.75,-111.25,11,-208.0,-561.25
2025-05-21 12:00:00,2025-05-26 08:00:00,6132.25,6170.25,37.75,5,-41.25,183.75
2025-05-30 08:00:00,2025-05-30 12:00:00,6144.25,6196.0,51.5,1,0.0,252.5
2025-06-19 08:00:00,2025-06-20 08:00:00,6205.75,6256.5,50.5,1,0.0,247.5
2025-07-15 12:00:00,2025-07-16 12:00:00,6504.75,6528.5,23.5,2,0.0,112.5
2025-07-31 12:00:00,2025-08-04 08:00:00,6594.25,6575.5,-19.0,3,-106.5,-100.0
2025-08-18 08:00:00,2025-08-22 08:00:00,6688.25,6705.5,17.0,8,-79.75,80.0
2025-09-02 08:00:00,2025-09-03 12:00:00,6619.75,6688.0,68.0,3,0.0,335.0
2025-09-24 08:00:00,2025-09-26 08:00:00,6857.75,6863.25,5.25,4,-28.0,21.25
2025-10-10 08:00:00,2025-10-13 08:00:00,6826.0,6878.25,52.0,2,-50.25,255.0
2025-10-31 08:00:00,2025-11-03 08:00:00,7025.75,7060.0,34.0,2,0.0,165.0
2025-11-04 08:00:00,2025-11-05 08:00:00,6980.0,7021.75,41.5,2,-6.0,202.5
2025-11-06 08:00:00,2025-11-07 12:00:00,6928.5,6931.25,2.5,3,-74.5,7.5
2025-12-15 08:00:00,2025-12-18 08:00:00,6987.25,6958.25,-29.25,6,-81.75,-151.25
2025-12-31 08:00:00,2026-01-05 08:00:00,7031.5,7065.5,33.75,4,-39.75,163.75
2026-01-14 08:00:00,2026-01-15 08:00:00,7039.25,7113.25,73.75,2,0.0,363.75
2026-04-29 12:00:00,2026-04-30 08:00:00,7199.0,7258.25,59.0,1,0.0,290.0
2026-05-19 12:00:00,2026-05-20 08:00:00,7436.0,7493.75,57.5,1,0.0,282.5
2026-06-03 12:00:00,2026-06-04 12:00:00,7628.5,7655.25,26.5,2,0.0,127.5
2026-06-05 08:00:00,2026-06-09 12:00:00,7531.0,7446.75,-84.5,5,-182.25,-427.5
2026-06-10 12:00:00,2026-06-11 12:00:00,7332.75,7468.0,135.0,2,0.0,670.0
2026-06-23 12:00:00,2026-06-29 08:00:00,7438.75,7477.25,38.25,7,-26.5,186.25
