entry_dt,exit_dt,entry,exit,pts,bars,mae_pts,pnl
2021-12-16 11:30:00,2021-12-16 15:00:00,5487.5,5481.0,-6.75,7,-18.0,-38.75
2021-12-23 14:30:00,2021-12-27 08:30:00,5531.25,5558.0,26.5,2,0.0,127.5
2021-12-29 11:00:00,2021-12-29 11:30:00,5589.0,5594.25,5.0,1,0.0,20.0
2021-12-30 14:00:00,2021-12-31 11:30:00,5601.75,5587.25,-14.75,9,-24.0,-78.75
2021-12-31 14:30:00,2022-01-03 09:00:00,5575.75,5593.0,17.0,3,-1.0,80.0
2022-01-04 11:30:00,2022-01-04 13:30:00,5593.0,5598.75,5.5,4,-11.0,22.5
2022-02-02 15:00:00,2022-02-03 15:00:00,5362.0,5316.5,-45.75,14,-74.0,-233.75
2022-02-04 09:30:00,2022-02-04 10:30:00,5267.25,5288.75,21.25,2,0.0,101.25
2022-02-07 11:00:00,2022-02-07 12:00:00,5294.0,5310.75,16.5,2,0.0,77.5
2022-03-02 15:00:00,2022-03-03 08:30:00,5194.5,5216.25,21.5,1,0.0,102.5
2022-03-03 09:30:00,2022-03-03 11:30:00,5168.0,5197.5,29.25,4,0.0,141.25
2022-03-16 13:00:00,2022-03-16 14:00:00,5082.0,5148.0,65.75,2,0.0,323.75
2022-03-21 11:30:00,2022-03-21 13:00:00,5255.5,5267.0,11.25,3,-10.75,51.25
2022-03-23 08:30:00,2022-03-23 10:00:00,5293.0,5312.75,19.5,3,0.0,92.5
2022-03-23 12:00:00,2022-03-23 14:00:00,5283.0,5289.25,6.0,4,0.0,25.0
2022-03-23 14:30:00,2022-03-24 08:30:00,5270.25,5287.5,17.0,2,0.0,80.0
2022-03-30 12:00:00,2022-03-30 14:30:00,5423.75,5421.5,-2.5,5,-18.25,-17.5
2022-03-31 11:30:00,2022-04-01 12:30:00,5400.0,5339.25,-61.0,16,-70.0,-310.0
2022-04-19 15:00:00,2022-04-20 08:30:00,5258.0,5282.75,24.5,1,0.0,117.5
2022-04-20 13:30:00,2022-04-20 15:00:00,5272.5,5289.5,16.75,3,0.0,78.75
2022-04-21 10:30:00,2022-04-25 11:00:00,5279.25,5047.75,-231.75,29,-251.0,-1163.75
2022-05-18 08:30:00,2022-05-19 10:30:00,4838.5,4745.0,-93.75,18,-125.75,-473.75
2022-05-26 15:00:00,2022-05-27 08:30:00,4871.75,4936.75,64.75,1,0.0,318.75
2022-05-31 08:30:00,2022-05-31 10:30:00,4938.0,4972.25,34.0,4,0.0,165.0
2022-05-31 15:00:00,2022-06-01 08:30:00,4952.5,4974.0,21.25,1,0.0,101.25
2022-06-01 09:00:00,2022-06-01 12:00:00,4928.75,4918.0,-11.0,6,-27.5,-60.0
2022-06-03 09:30:00,2022-06-03 11:00:00,4938.0,4936.5,-1.75,3,-12.5,-13.75
2022-06-22 14:30:00,2022-06-23 08:30:00,4583.0,4609.5,26.25,2,0.0,126.25
2022-06-23 11:30:00,2022-06-23 12:30:00,4575.0,4587.5,12.25,2,0.0,56.25
2022-06-27 12:30:00,2022-06-27 14:00:00,4724.5,4728.75,4.0,3,0.0,15.0
2022-06-28 10:00:00,2022-06-29 09:00:00,4698.0,4651.0,-47.25,12,-50.5,-241.25
2022-07-08 08:30:00,2022-07-08 09:00:00,4700.5,4728.5,27.75,1,0.0,133.75
2022-07-11 08:30:00,2022-07-11 10:30:00,4683.5,4682.75,-1.0,4,-5.75,-10.0
2022-07-11 14:00:00,2022-07-11 15:00:00,4679.25,4685.0,5.5,2,0.0,22.5
2022-07-12 08:30:00,2022-07-12 09:30:00,4674.5,4677.75,3.0,2,-7.75,10.0
2022-07-18 12:30:00,2022-07-19 08:30:00,4681.5,4705.25,23.5,6,-25.25,112.5
2022-07-21 09:00:00,2022-07-21 09:30:00,4756.75,4780.25,23.25,1,0.0,111.25
2022-07-22 10:00:00,2022-07-22 14:00:00,4803.75,4785.0,-19.0,8,-34.5,-100.0
2022-07-25 13:30:00,2022-07-25 14:30:00,4774.25,4792.25,17.75,2,-2.0,83.75
2022-07-26 09:00:00,2022-07-26 11:30:00,4761.5,4752.25,-9.5,5,-19.75,-52.5
2022-08-02 14:30:00,2022-08-03 08:30:00,4916.25,4950.25,33.75,2,-1.25,163.75
2022-08-04 09:00:00,2022-08-04 10:30:00,4969.0,4977.0,7.75,3,-1.25,33.75
2022-08-05 10:00:00,2022-08-05 11:30:00,4935.75,4958.75,22.75,3,0.0,108.75
2022-08-08 11:00:00,2022-08-08 12:30:00,4961.25,4972.75,11.25,3,0.0,51.25
2022-08-08 13:00:00,2022-08-08 14:30:00,4961.75,4963.75,1.75,3,-3.5,3.75
2022-08-10 13:30:00,2022-08-10 14:00:00,5018.75,5027.0,8.0,1,0.0,35.0
2022-08-11 13:00:00,2022-08-11 15:00:00,5045.0,5037.5,-7.75,4,-13.0,-43.75
2022-08-17 09:00:00,2022-08-17 11:00:00,5097.75,5094.25,-3.75,4,-16.75,-23.75
2022-08-18 08:30:00,2022-08-18 09:30:00,5091.75,5098.75,6.75,2,0.0,28.75
2022-09-13 08:30:00,2022-09-13 11:30:00,4833.75,4808.25,-25.75,6,-30.75,-133.75
2022-10-05 09:00:00,2022-10-05 10:30:00,4544.75,4559.75,14.75,3,-1.75,68.75
2022-10-06 09:00:00,2022-10-06 09:30:00,4565.0,4593.0,27.75,1,0.0,133.75
2022-10-06 14:30:00,2022-10-07 14:30:00,4560.75,4455.75,-105.25,14,-117.0,-531.25
2022-10-19 11:00:00,2022-10-19 13:00:00,4508.5,4507.25,-1.5,4,-16.5,-12.5
2022-10-20 12:00:00,2022-10-20 15:00:00,4496.25,4486.5,-10.0,6,-23.75,-55.0
2022-10-26 08:30:00,2022-10-26 09:00:00,4642.5,4672.25,29.5,1,0.0,142.5
2022-10-26 13:00:00,2022-10-26 15:00:00,4653.5,4652.75,-1.0,4,-7.0,-10.0
2022-10-27 11:00:00,2022-10-27 12:00:00,4626.75,4641.25,14.25,2,0.0,66.25
2022-10-27 12:30:00,2022-10-28 08:30:00,4632.75,4650.5,17.5,6,-45.0,82.5
2022-10-31 08:30:00,2022-10-31 10:00:00,4679.0,4698.0,18.75,3,0.0,88.75
2022-11-01 09:30:00,2022-11-01 11:30:00,4664.25,4672.0,7.5,4,0.0,32.5
2022-11-01 15:00:00,2022-11-02 10:30:00,4662.0,4650.75,-11.5,5,-15.5,-62.5
2022-11-08 12:30:00,2022-11-08 14:00:00,4627.75,4649.0,21.0,3,-26.25,100.0
2022-11-14 14:30:00,2022-11-15 08:30:00,4772.0,4836.25,64.0,2,0.0,315.0
2022-11-15 12:00:00,2022-11-15 13:00:00,4782.75,4803.0,20.0,2,0.0,95.0
2022-11-16 09:30:00,2022-11-16 10:30:00,4774.25,4784.25,9.75,2,0.0,43.75
2022-11-16 12:30:00,2022-11-16 13:30:00,4771.5,4780.5,8.75,2,0.0,38.75
2022-11-28 09:00:00,2022-11-28 15:00:00,4807.25,4777.0,-30.5,12,-41.25,-157.5
2022-12-05 08:30:00,2022-12-05 14:30:00,4843.5,4806.5,-37.25,12,-46.5,-191.25
2022-12-13 11:30:00,2022-12-13 12:30:00,4807.0,4823.75,16.5,2,0.0,77.5
2023-01-04 13:00:00,2023-01-04 14:30:00,4623.25,4645.25,21.75,3,0.0,103.75
2023-01-09 13:30:00,2023-01-10 08:30:00,4696.25,4690.5,-6.0,4,-13.0,-35.0
2023-01-16 11:00:00,2023-01-17 08:30:00,4782.25,4789.75,7.25,2,-1.0,31.25
2023-01-18 10:00:00,2023-01-18 13:00:00,4756.75,4740.0,-17.0,6,-21.0,-90.0
2023-01-24 08:30:00,2023-01-24 09:30:00,4784.5,4806.0,21.25,2,0.0,101.25
2023-01-27 14:30:00,2023-01-30 15:00:00,4855.5,4809.75,-46.0,15,-51.0,-235.0
2023-02-01 11:30:00,2023-02-01 12:00:00,4838.5,4842.75,4.0,1,0.0,15.0
2023-02-02 13:30:00,2023-02-02 14:30:00,4934.75,4964.25,29.25,2,0.0,141.25
2023-02-03 13:30:00,2023-02-06 10:00:00,4914.0,4905.0,-9.25,7,-32.25,-51.25
2023-02-06 14:00:00,2023-02-07 10:00:00,4886.75,4892.5,5.5,6,-6.5,22.5
2023-02-08 10:00:00,2023-02-08 11:30:00,4901.5,4912.5,10.75,3,0.0,48.75
2023-03-06 12:30:00,2023-03-07 11:00:00,4827.75,4788.75,-39.25,11,-50.75,-201.25
2023-03-07 11:30:00,2023-03-07 14:30:00,4781.5,4761.0,-20.75,6,-26.25,-108.75
2023-03-17 09:00:00,2023-03-17 11:00:00,4697.0,4691.75,-5.5,4,-16.75,-32.5
2023-03-22 11:00:00,2023-03-22 12:30:00,4768.0,4771.25,3.0,3,-3.5,10.0
2023-03-22 14:30:00,2023-03-23 08:30:00,4706.0,4742.5,36.25,2,0.0,176.25
2023-03-23 12:00:00,2023-03-23 14:30:00,4736.25,4712.75,-23.75,5,-36.0,-123.75
2023-04-04 10:30:00,2023-04-04 12:00:00,4862.75,4870.0,7.0,3,0.0,30.0
2023-04-05 09:00:00,2023-04-05 12:00:00,4850.5,4846.0,-4.75,6,-11.75,-28.75
2023-04-12 09:30:00,2023-04-12 10:30:00,4867.75,4879.75,11.75,2,0.0,53.75
2023-04-14 10:00:00,2023-04-14 12:30:00,4890.5,4884.5,-6.25,5,-12.5,-36.25
2023-04-17 12:30:00,2023-04-17 13:30:00,4887.5,4901.5,13.75,2,0.0,63.75
2023-04-19 08:30:00,2023-04-19 10:00:00,4896.0,4906.25,10.0,3,0.0,45.0
2023-04-19 15:00:00,2023-04-20 10:30:00,4910.25,4894.75,-15.75,5,-22.75,-83.75
2023-05-01 14:30:00,2023-05-02 11:00:00,4921.75,4858.0,-64.0,7,-73.0,-325.0
2023-05-08 09:00:00,2023-05-08 09:30:00,4880.25,4885.75,5.25,1,0.0,21.25
2023-05-23 11:30:00,2023-05-24 11:30:00,4917.0,4858.5,-58.75,14,-64.5,-298.75
2023-05-30 11:00:00,2023-05-30 11:30:00,4950.75,4954.75,3.75,1,0.0,13.75
2023-05-30 12:00:00,2023-05-30 13:00:00,4944.0,4950.25,6.0,2,-4.5,25.0
2023-05-31 08:30:00,2023-05-31 11:00:00,4930.5,4916.5,-14.25,5,-19.0,-76.25
2023-06-07 10:30:00,2023-06-07 13:00:00,5014.25,5015.5,1.0,5,-3.25,0.0
2023-06-09 11:00:00,2023-06-09 12:00:00,5034.75,5044.25,9.25,2,0.0,41.25
2023-06-16 13:30:00,2023-06-19 10:30:00,5156.0,5141.0,-15.25,8,-18.0,-81.25
2023-06-20 08:30:00,2023-06-20 10:30:00,5126.5,5114.25,-12.5,4,-20.25,-67.5
2023-06-20 15:00:00,2023-06-21 11:00:00,5123.0,5112.5,-10.75,6,-18.25,-58.75
2023-06-30 15:00:00,2023-07-03 10:00:00,5176.5,5181.5,4.75,4,0.0,18.75
2023-07-14 13:30:00,2023-07-17 08:30:00,5232.25,5235.25,2.75,4,-2.75,8.75
2023-07-20 09:00:00,2023-07-20 10:30:00,5270.75,5276.5,5.5,3,0.0,22.5
2023-07-20 13:00:00,2023-07-20 15:00:00,5256.75,5259.0,2.0,4,-5.75,5.0
2023-07-21 14:30:00,2023-07-24 08:30:00,5257.0,5266.75,9.5,2,0.0,42.5
2023-07-24 14:00:00,2023-07-24 15:00:00,5269.75,5277.5,7.5,2,0.0,32.5
2023-07-25 14:30:00,2023-07-25 15:00:00,5288.5,5295.25,6.5,1,0.0,27.5
2023-07-26 09:00:00,2023-07-26 10:30:00,5281.25,5283.0,1.5,3,-6.25,2.5
2023-07-26 11:30:00,2023-07-26 13:30:00,5276.25,5293.75,17.25,4,-0.5,81.25
2023-07-27 12:00:00,2023-07-28 08:30:00,5294.75,5293.0,-2.0,7,-38.0,-15.0
2023-07-31 11:30:00,2023-07-31 12:30:00,5296.75,5299.5,2.5,2,0.0,7.5
2023-08-24 09:00:00,2023-08-25 08:30:00,5131.0,5099.75,-31.5,13,-54.5,-162.5
2023-08-28 12:30:00,2023-08-28 14:00:00,5119.5,5126.0,6.25,3,0.0,26.25
2023-08-31 14:30:00,2023-09-01 08:30:00,5207.5,5227.0,19.25,2,0.0,91.25
2023-09-01 10:30:00,2023-09-01 11:30:00,5202.75,5211.25,8.25,2,0.0,36.25
2023-09-05 08:30:00,2023-09-05 10:00:00,5199.25,5206.0,6.5,3,0.0,27.5
2023-09-05 14:30:00,2023-09-06 12:30:00,5195.5,5155.0,-40.75,10,-51.0,-208.75
2023-09-15 08:30:00,2023-09-15 11:30:00,5173.0,5161.25,-12.0,6,-18.25,-65.0
2023-10-09 09:30:00,2023-10-09 10:00:00,4963.75,4977.0,13.0,1,0.0,60.0
2023-10-10 13:00:00,2023-10-11 08:30:00,5038.25,5045.0,6.5,5,-2.75,27.5
2023-10-11 10:00:00,2023-10-11 13:00:00,5034.0,5036.0,1.75,6,-7.5,3.75
2023-10-12 12:00:00,2023-10-12 14:00:00,5021.5,5021.25,-0.5,4,-9.75,-7.5
2023-10-13 10:00:00,2023-10-13 11:00:00,5008.0,5015.5,7.25,2,-8.25,31.25
2023-10-17 13:30:00,2023-10-17 14:00:00,5031.25,5040.25,8.75,1,0.0,38.75
2023-11-03 14:30:00,2023-11-06 08:30:00,5019.0,5026.25,7.0,2,0.0,30.0
2023-11-08 10:30:00,2023-11-08 12:00:00,5031.25,5033.75,2.25,3,-6.0,6.25
2023-11-09 09:00:00,2023-11-09 10:00:00,5033.5,5043.0,9.25,2,0.0,41.25
2023-11-09 12:30:00,2023-11-09 15:00:00,5023.0,5009.25,-14.0,5,-17.0,-75.0
2023-11-15 15:00:00,2023-11-16 08:30:00,5156.25,5168.25,11.75,1,0.0,53.75
2023-11-16 09:30:00,2023-11-16 11:00:00,5154.75,5157.0,2.0,3,-7.0,5.0
2023-11-21 08:30:00,2023-11-21 10:30:00,5190.5,5191.25,0.5,4,-6.75,-2.5
2023-11-21 15:00:00,2023-11-22 08:30:00,5189.75,5209.5,19.5,1,0.0,92.5
2023-11-24 11:00:00,2023-11-24 11:30:00,5208.0,5212.25,4.0,1,0.0,15.0
2023-11-28 08:30:00,2023-11-28 09:30:00,5194.5,5210.25,15.5,2,0.0,72.5
2023-12-04 08:30:00,2023-12-04 10:30:00,5213.75,5213.5,-0.5,4,-14.25,-7.5
2023-12-06 11:00:00,2023-12-06 12:30:00,5215.25,5217.25,1.75,3,-4.0,3.75
