date,split,dir,te,label,bars_to_resolve,leg_depth_adr,session_min,tempo_mean,tempo_accel,effdir_mean,effdir_slope
2022-03-03,discovery,-1,71,reversal,39.0,0.7080933616247348,105.17111638468333,0.13923216496583363,0.4576652183113703,0.15454198638341862,0.12518005129025822
2022-03-08,discovery,1,139,continuation,9.0,0.701929060360921,161.69879575585,0.7240791567712511,0.4924537193999967,0.5610191557954716,0.023109886539711112
2022-03-08,discovery,-1,223,reversal,44.0,0.7118855009334163,264.02992283135,0.94879819250725,-0.040504238826786665,0.1798723195684771,0.10132324441988923
2022-03-28,discovery,1,132,unresolved,,0.71939736346516,360.1122850032833,-0.4398115409998679,0.16002195022309662,0.23271929824561402,0.04137161084529501
2022-03-29,discovery,1,142,unresolved,,0.7336787564766839,364.06902011205,-0.3743607914701589,0.5590456194614535,0.27766167312219947,0.02783551509628061
2022-03-31,discovery,-1,161,unresolved,,0.720763723150358,389.7232554228167,1.088998688491858,0.9618582664269812,0.18622655122655124,0.06896191350736808
2022-04-05,discovery,-1,39,continuation,52.0,0.7272727272727273,47.399971433683326,0.4060088776784889,-0.13026026245391487,0.11454329983741748,0.03502231577097886
2022-04-06,discovery,-1,137,reversal,18.0,0.709425543781372,281.93481382491666,1.3065392467488368,-0.3956910257552062,0.36665637173323734,-0.01620621640727689
2022-04-19,discovery,1,36,continuation,38.0,0.7440925087983912,40.42415268848333,-0.06202060327311339,0.1057383781229011,0.31033629940750684,0.03393425475609545
2022-04-28,discovery,1,120,continuation,47.0,0.7034482758620689,196.23339746925,0.45666717620696795,0.6563580892658725,0.5769451795767585,0.03139848514649153
2022-04-29,discovery,-1,218,unresolved,,0.7336027354678272,379.90652404131663,0.202596112720917,1.373588984959608,0.5132641164878007,0.037421663781312876
2022-05-02,discovery,1,284,unresolved,,0.7019562715765247,362.7124713222833,0.9256274642264938,0.10649027805306766,0.1701645139672256,0.04954026781622694
2022-05-04,discovery,1,210,continuation,27.0,0.727692751949177,331.1368888533833,1.1194174512886101,-0.30917233735823446,0.11651884574646725,0.028424117393194368
2022-05-10,discovery,-1,108,reversal,112.0,0.7061333333333333,99.59467663511667,0.8826009573404022,-0.10320569503195287,0.34061369335268565,0.03037923060363398
2022-05-11,discovery,-1,223,unresolved,,0.7319698600645855,268.27480233998335,0.9131446017914412,0.6632531520507738,0.15498372553021508,0.02151397845377485
2022-05-18,discovery,-1,85,continuation,59.0,0.7138461538461538,113.14681676405,0.24472281868069956,0.2648228147164664,0.48277777777777775,0.07085618085618088
2022-05-26,discovery,1,59,continuation,39.0,0.7162891046386192,92.94702971471666,-0.3213247550551116,-0.21308560971510326,0.22435698288639466,0.10969549167410131
2022-05-31,discovery,-1,14,reversal,99.0,0.7135135135135136,2.7071509913833336,-1.4261540498197682,1.1692444961670492,0.2901928735173416,0.08005295424541067
2022-06-02,discovery,1,100,continuation,44.0,0.708187543736879,139.33195068955,0.09225149638425711,-0.10912016214303089,0.33984332830001995,0.0777252127805241
2022-06-09,discovery,-1,185,continuation,20.0,0.7118367346938775,364.0007341709167,0.09613640720503161,0.06862015712402281,0.16657262815157553,0.010226135138415844
2022-06-15,discovery,1,184,continuation,7.0,0.7660690861390468,308.78567271355,1.9373329763828568,0.20494763559759566,0.26623778653663793,0.0634160481374038
2022-06-15,discovery,1,257,reversal,10.0,0.7101005684302579,361.75520009405005,0.7617260552580379,0.07084536253036688,0.27101794227973686,-0.009651453695857038
2022-06-17,discovery,-1,65,reversal,38.0,0.7364400305576776,63.66739109311666,0.29803096208341895,0.04494725819470968,0.19789760254918592,0.11797252085064881
2022-06-21,discovery,1,41,unresolved,,0.7020280811232449,32.64320914565,-0.1255342034827228,-0.02867483653744296,0.28519484986977245,-0.03873954047328661
2022-06-28,discovery,-1,59,continuation,22.0,0.7023411371237458,75.24518745165,0.008784960796450747,-0.1439933546415344,0.1399015021213164,-0.00689165476575179
2022-06-28,discovery,-1,103,continuation,60.0,0.7290969899665551,151.60185173761664,0.4725484771514192,0.08883089314742998,0.2324728818092662,0.0006325991847107032
2022-07-12,discovery,-1,166,unresolved,,0.7339825730394669,353.91017640031663,0.08250926640291154,0.4973990691121286,0.2867500692461992,0.031280309088499346
2022-07-13,discovery,1,91,continuation,73.0,0.71435429668747,74.76057656855001,0.5955954190923337,0.7601241739934532,0.3752774640818119,0.06534921015158174
2022-07-14,discovery,1,183,unresolved,,0.7127555988315482,292.5272231871833,0.3567148885632963,-0.1995835632654388,0.28702504031915793,0.02849264738034788
2022-07-18,discovery,-1,106,continuation,39.0,0.7135948414830736,267.0350829492833,0.331277024111578,0.3370900676210469,0.3027306027306027,0.06207610571246938
2022-07-20,discovery,1,57,reversal,65.0,0.70393777345649,81.11907753331667,0.03217852189096489,-0.07741171235008615,0.22000000000000003,0.18252525252525256
2022-07-28,discovery,1,99,continuation,50.0,0.7352380952380952,112.61431777214999,0.10601680758813861,0.05317644973311797,0.1077537364596188,0.06536474577116289
2022-08-03,discovery,1,117,unresolved,,0.7057663873829473,196.91050004168335,0.21093103751915643,0.013796553965900404,0.3027591036414566,0.0499286987522282
2022-08-11,discovery,-1,139,unresolved,,0.7342995169082126,321.8738179127833,0.07439437589010796,0.5659325465608744,0.36442392965091175,-4.277923889641603e-05
2022-08-12,discovery,1,104,continuation,26.0,0.7194050033806626,302.37302689891663,-0.6923145730039352,0.7660218809046329,0.3692979242979243,0.06598401598401597
2022-08-15,discovery,1,75,unresolved,,0.7100271002710027,181.89183351595,-0.4135779368096674,-0.4094703270499713,0.13278856334583888,0.08187700219222878
2022-08-16,discovery,1,71,continuation,21.0,0.7140864714086471,169.39926125511664,-0.2747133829189604,-0.050843968013807306,0.21180819911083065,-0.0643019956297468
2022-08-16,discovery,-1,105,reversal,25.0,0.7642956764295676,315.72642867885,0.353945194129624,0.9488552804383104,0.5965005369736828,-0.03029049923958084
2022-08-25,discovery,1,152,unresolved,,0.7496339677891655,386.67716655325,-0.28743478906970393,0.5794023012601479,0.2741559829059829,0.03857355607355604
2022-08-26,discovery,-1,21,reversal,10.0,0.7662616154395997,32.288268651850004,0.1102524290938732,0.8105262589211417,0.2118170326056142,0.08491876575113938
2022-08-26,discovery,1,31,continuation,2.0,0.7433881343817013,39.068419678716666,0.6151319034784677,0.5784865895962392,0.22295283354492418,0.11258539981496078
2022-08-26,discovery,-1,52,continuation,2.0,0.731951393852752,56.09594289655,0.4075366854539171,-0.05168831775848748,0.3940573246195435,0.03537356453398434
2022-08-26,discovery,-1,185,continuation,20.0,0.7205146533238027,328.06841145268334,0.0737886324296401,0.4554074310339269,0.16776223776223775,0.054401961674688984
2022-08-30,discovery,-1,83,reversal,22.0,0.7006651884700665,77.97025467798333,0.6565739935759611,0.14505591252882732,0.3136938358339287,0.05293029725692267
2022-09-02,discovery,-1,139,continuation,21.0,0.7363092498849517,194.99729884581666,0.978763890656254,0.34848864871861895,0.27452986641841126,0.041834937742621404
2022-09-13,discovery,-1,209,continuation,14.0,0.7481481481481481,340.58694485834997,0.38413582295645454,0.3749581407317564,0.2281794871794872,0.12402020202020203
2022-09-20,discovery,-1,165,reversal,57.0,0.7061143984220908,259.0738991501833,0.583851395788977,0.23554811631669414,0.12274986709197236,0.042840929228489
2022-09-21,discovery,-1,104,continuation,7.0,0.8507157464212679,280.79171650651665,-0.21257925782031864,2.384920473035167,-0.1283680773840957,0.12958613214906123
2022-09-21,discovery,1,167,reversal,13.0,0.7975460122699386,313.8736525166167,1.997735417656365,0.4412888668457011,0.33750543037307745,0.08226024882441996
2022-09-21,discovery,-1,217,reversal,8.0,0.7811860940695297,340.77722395275003,1.3371446613876348,0.5127373809643334,0.4006762344634135,0.09657484796213815
2022-10-05,discovery,1,159,continuation,56.0,0.7072987208427389,225.46051268201666,0.298063601675324,0.3799638667166758,0.19009497726215993,0.07920230096700688
2022-10-11,discovery,-1,248,unresolved,,0.7228525121555915,340.1947408188167,0.8575251579687748,0.10278515020851531,0.12667265869665253,0.003898813162111776
2022-10-13,discovery,1,157,continuation,9.0,0.7761459724076547,107.28895443198333,1.0132437197972095,1.2759125080851352,0.3552531050107331,0.011570906067318485
