date,r1h,tempo1h,nclimax1h,rest_range,adr,prev_close,op,last_t,gap_adr,r1h_adr,rest_adr,year
2025-09-15,13.25,11.353925353925353,0.0,18.0,43.21875,6814.75,6837.5,15:14:57.664517,0.5263919016630514,0.3065798987707881,0.4164859002169197,2025
2025-09-16,22.25,37.07553707553708,0.0,15.0,40.75,6845.5,6855.75,15:14:59.503159,0.25153374233128833,0.5460122699386503,0.36809815950920244,2025
2025-09-17,16.5,23.134274858412788,0.0,75.5,36.625,6842.25,6839.75,15:14:59.485379,0.06825938566552901,0.45051194539249145,2.061433447098976,2025
2025-09-18,43.5,57.41864313292884,2.0,29.75,34.84375,6835.25,6857.5,15:14:59.887243,0.6385650224215247,1.2484304932735426,0.8538116591928251,2025
2025-09-19,14.5,35.36198396198396,2.0,44.25,37.53125,6863.25,6877.75,15:14:59.003040,0.38634471273938387,0.38634471273938387,1.1790174854288094,2025
2025-09-22,19.5,19.08085833085833,0.0,33.0,40.40625,6892.25,6876.75,15:14:59.993574,0.38360402165506574,0.48259860788863107,0.8167053364269141,2025
2025-09-23,10.25,19.22334422334422,0.0,49.0,41.8125,6917.25,6921.0,15:14:58.307537,0.08968609865470852,0.24514200298953662,1.171898355754858,2025
2025-09-24,22.5,33.9549957197016,0.0,41.0,42.65625,6887.25,6898.0,15:14:59.916320,0.252014652014652,0.5274725274725275,0.9611721611721612,2025
2025-09-25,41.25,72.98271829521829,3.0,50.75,46.09375,6870.0,6830.75,15:14:59.928228,0.8515254237288136,0.8949152542372881,1.1010169491525423,2025
2025-09-26,46.5,64.55301455301455,1.0,43.25,50.1875,6832.25,6844.25,15:14:59.081719,0.23910336239103364,0.9265255292652553,0.8617683686176837,2025
2025-09-29,15.5,35.78131145698713,1.0,34.25,52.625,6872.25,6893.0,15:14:59.682469,0.39429928741092635,0.29453681710213775,0.6508313539192399,2025
2025-09-30,16.25,43.17732366512854,0.0,50.5,47.5625,6883.75,6877.5,15:14:59.946389,0.1314060446780552,0.3416557161629435,1.0617608409986858,2025
2025-10-01,27.0,51.73568953568953,2.0,42.0,47.90625,6896.25,6877.5,15:14:59.028224,0.3913894324853229,0.5636007827788649,0.8767123287671232,2025
