date,year,short,risk,risk_adr,tpct_max,hour,first,with_trend,near_pdhl,gap_day,prior_expand,RR2,RR3,RR2_BE1,RR3_BE1
2021-11-10,2021,False,1.75,0.057318321392016376,97.72727272727273,3,False,False,False,True,False,2,2,2,2
2021-11-18,2021,False,4.0,0.13375130616509928,97.5051975051975,0,True,False,False,True,True,2,2,2,2
2021-11-19,2021,False,3.0,0.09375,97.92099792099792,0,True,,False,False,False,1,1,1,1
2021-11-22,2021,False,7.0,0.23045267489711935,98.14814814814815,2,True,False,False,True,False,2,2,3,3
2021-11-23,2021,False,2.25,0.07038123167155426,99.0,1,True,False,False,False,False,2,2,2,2
2021-11-26,2021,True,3.75,0.10160880609652836,98.02371541501977,3,True,False,False,False,False,1,1,1,1
2021-11-26,2021,False,7.5,0.20321761219305673,99.0,3,False,False,False,False,False,2,1,2,3
2021-11-30,2021,False,5.5,0.10576923076923077,99.0,0,True,,True,True,False,1,1,3,3
2021-11-30,2021,False,9.5,0.18269230769230768,99.0,1,False,False,False,True,False,1,1,1,1
2021-11-30,2021,False,6.25,0.1201923076923077,98.96049896049897,1,False,False,False,True,False,1,1,1,1
2021-11-30,2021,False,1.25,0.02403846153846154,99.0,1,False,False,False,True,False,1,1,1,1
2021-11-30,2021,False,4.75,0.09134615384615384,99.0,1,False,False,False,True,False,1,1,1,1
2021-11-30,2021,False,5.0,0.09615384615384616,99.0,1,False,False,False,True,False,1,1,1,1
2021-11-30,2021,False,3.25,0.0625,99.0,1,False,False,False,True,False,2,2,2,2
2021-11-30,2021,True,4.0,0.07692307692307693,98.51063829787235,1,False,False,False,True,False,1,1,1,1
2021-11-30,2021,True,9.0,0.17307692307692307,99.0,1,False,False,False,True,False,2,2,2,2
2021-11-30,2021,False,5.5,0.10576923076923077,95.87020648967551,2,False,False,False,True,False,1,1,1,1
2021-11-30,2021,False,8.25,0.15865384615384615,99.0,2,False,False,False,True,False,2,2,3,3
2021-11-30,2021,False,5.25,0.10096153846153846,99.0,5,False,False,False,True,False,1,1,3,3
2021-11-30,2021,True,5.5,0.10576923076923077,99.0,6,False,False,False,True,True,1,1,1,1
2021-12-01,2021,True,1.75,0.028821410190427176,98.22695035460993,3,True,False,False,True,True,2,2,2,2
2021-12-01,2021,False,4.0,0.06587750900669069,98.95470383275261,3,False,False,False,True,False,1,1,1,1
2021-12-01,2021,False,7.25,0.11940298507462686,97.26027397260275,3,False,False,False,True,False,1,1,1,1
2021-12-01,2021,False,3.75,0.06176016469377252,99.0,4,False,False,False,True,False,1,1,1,1
2021-12-01,2021,False,1.25,0.020586721564590838,99.0,4,False,False,False,True,False,1,1,1,1
2021-12-01,2021,False,7.25,0.11940298507462686,99.0,4,False,False,False,True,False,1,1,3,3
2021-12-01,2021,False,2.0,0.032938754503345345,97.4910394265233,4,False,False,False,True,True,2,2,2,2
2021-12-01,2021,True,10.0,0.1646937725167267,99.0,5,False,False,False,True,False,2,2,2,2
2021-12-01,2021,False,2.25,0.03705609881626351,99.0,5,False,False,False,True,False,1,1,1,1
2021-12-01,2021,False,7.0,0.1152856407617087,99.0,5,False,False,False,True,False,2,1,3,3
2021-12-02,2021,True,4.75,0.06314914831740756,99.0,0,True,,False,False,False,1,1,3,3
2021-12-02,2021,True,6.25,0.08309098462816784,98.54469854469855,0,False,False,False,False,False,1,1,1,1
2021-12-02,2021,False,4.5,0.05982550893228085,95.84199584199584,0,False,False,False,False,False,1,1,1,1
2021-12-02,2021,False,0.25,0.0033236393851267137,96.67359667359668,0,False,False,False,False,False,1,1,1,1
2021-12-02,2021,False,7.0,0.09306190278354798,99.0,1,False,False,False,False,True,1,1,1,1
2021-12-02,2021,True,11.5,0.15288741171582884,99.0,2,False,False,False,False,False,1,1,3,3
2021-12-02,2021,False,8.0,0.10635646032405484,98.18840579710145,3,False,False,False,False,True,1,1,1,1
2021-12-02,2021,False,4.5,0.05982550893228085,99.0,3,False,False,False,False,False,2,1,2,3
2021-12-02,2021,False,7.75,0.10303282093892813,97.72727272727273,4,False,False,False,False,False,2,0,3,3
2021-12-03,2021,False,1.75,0.021052631578947368,96.04989604989605,0,True,False,False,False,False,1,1,1,1
2021-12-03,2021,False,8.0,0.0962406015037594,99.0,0,False,False,False,False,True,1,1,1,1
2021-12-03,2021,False,6.75,0.081203007518797,98.12889812889813,1,False,False,False,False,False,1,1,3,3
2021-12-03,2021,False,7.0,0.08421052631578947,97.5051975051975,1,False,False,False,False,False,1,1,1,1
2021-12-03,2021,False,3.0,0.03609022556390978,97.71309771309771,1,False,False,True,False,False,1,1,1,1
2021-12-03,2021,False,11.0,0.13233082706766916,99.0,1,False,False,False,False,False,1,1,3,3
2021-12-03,2021,True,4.75,0.05714285714285714,98.30508474576271,2,False,False,False,False,False,1,1,1,1
2021-12-03,2021,False,6.0,0.07218045112781955,99.0,4,False,False,True,False,False,2,1,2,3
2021-12-03,2021,False,3.25,0.039097744360902256,99.0,5,False,False,True,False,False,2,2,2,2
2021-12-03,2021,True,5.75,0.06917293233082707,97.78393351800554,5,False,False,True,False,False,1,1,3,3
2021-12-06,2021,True,2.75,0.030844724851034,97.0893970893971,6,True,False,False,True,False,0,0,0,0
2021-12-07,2021,False,2.25,0.02434900236726412,98.96049896049897,6,True,False,False,True,True,2,2,2,2
2021-12-14,2021,False,5.5,0.09297411516111992,98.54469854469855,0,True,,False,True,False,2,2,2,2
2021-12-14,2021,True,1.5,0.025356576862123614,97.71309771309771,6,False,False,False,True,False,2,0,2,3
2021-12-15,2021,False,12.25,0.22197055492638731,99.0,4,True,False,False,False,False,2,2,2,2
2021-12-15,2021,True,10.0,0.1812004530011325,99.0,5,False,False,False,False,False,1,1,1,1
2021-12-15,2021,True,2.5,0.045300113250283124,98.93899204244032,5,False,False,False,False,True,1,1,1,1
2021-12-15,2021,True,5.5,0.09966024915062288,96.875,5,False,False,False,False,True,1,1,1,1
2021-12-15,2021,False,1.75,0.031710079275198186,97.44680851063829,6,False,False,False,False,False,1,1,1,1
2021-12-15,2021,False,3.0,0.05436013590033975,98.5200845665962,6,False,False,False,False,False,1,1,1,1
2021-12-15,2021,False,3.0,0.05436013590033975,97.5051975051975,6,False,False,False,False,True,0,0,0,0
2021-12-17,2021,True,2.25,0.040955631399317405,96.67359667359668,0,True,,False,True,False,1,1,3,3
2021-12-17,2021,False,2.5,0.04550625711035267,99.0,0,False,False,False,True,True,1,1,1,1
2021-12-17,2021,False,5.75,0.10466439135381114,97.44186046511628,2,False,False,False,True,True,1,1,1,1
2021-12-17,2021,True,6.5,0.11831626848691695,98.81305637982196,2,False,False,False,True,False,1,1,1,1
2021-12-17,2021,True,3.0,0.05460750853242321,99.0,3,False,False,False,True,False,2,2,3,3
2021-12-17,2021,True,3.75,0.06825938566552901,99.0,6,False,False,False,True,False,1,1,1,1
2021-12-20,2021,True,8.0,0.13882863340563992,98.54469854469855,0,True,,False,True,False,1,1,1,1
2021-12-31,2021,False,5.0,0.11670313639679067,98.54469854469855,6,True,False,True,False,True,0,0,0,0
2022-01-03,2022,False,2.5,0.06329113924050633,99.0,0,True,False,True,False,False,1,1,1,1
2022-01-03,2022,False,4.5,0.11392405063291139,99.0,0,False,False,True,False,False,2,2,2,2
2022-01-05,2022,True,6.75,0.19529837251356238,98.12332439678285,4,True,False,False,False,False,2,2,2,2
2022-01-05,2022,True,2.75,0.07956600361663653,98.33679833679834,6,False,True,False,False,True,1,1,3,3
2022-01-06,2022,False,3.75,0.08836524300441827,99.0,0,True,False,False,False,False,1,1,1,1
2022-01-06,2022,True,6.0,0.14138438880706922,99.0,1,False,False,False,False,False,2,1,2,3
2022-01-10,2022,True,2.5,0.055286800276434005,96.67359667359668,0,True,,False,True,False,2,2,2,2
2022-01-10,2022,True,4.75,0.1050449205252246,97.38372093023256,3,False,False,False,True,False,1,1,1,1
