date,side,grp,label,conf,eff_fall,retrace_adr,ext_adr
2021-08-31,1,control,continuation,False,False,0.118,0.126
2021-08-31,-1,control,continuation,False,False,0.067,0.101
2021-08-31,-1,control,reversal,False,False,0.202,0.05
2021-08-31,1,control,continuation,False,False,0.059,0.109
2021-08-31,1,control,unresolved,False,True,0.0,0.0
2021-09-01,1,control,continuation,True,True,0.088,0.147
2021-09-01,-1,control,continuation,True,False,0.059,0.226
2021-09-01,-1,control,unresolved,False,False,0.059,0.01
2021-09-02,-1,control,continuation,True,False,0.045,0.47
2021-09-02,1,control,continuation,True,False,0.067,0.19
2021-09-03,1,control,reversal,False,False,0.415,0.297
2021-09-03,1,control,reversal,False,False,0.273,0.273
2021-09-03,1,control,continuation,False,False,0.012,0.202
2021-09-03,1,control,reversal,False,False,0.059,0.024
2021-09-07,-1,control,continuation,False,False,0.056,0.202
2021-09-07,1,control,continuation,True,False,0.146,0.236
2021-09-07,1,control,reversal,False,True,0.561,0.0
2021-09-07,-1,control,continuation,True,False,0.034,0.213
2021-09-08,-1,climax,continuation,False,False,0.081,0.323
2021-09-08,-1,climax,reversal,False,False,0.091,0.03
2021-09-08,1,control,continuation,True,False,0.03,0.222
2021-09-08,1,control,reversal,False,False,0.081,0.01
2021-09-09,-1,control,reversal,True,True,0.581,0.08
2021-09-10,-1,control,reversal,False,True,0.294,0.942
2021-09-10,-1,control,reversal,False,False,0.805,0.785
2021-09-10,1,control,continuation,True,False,0.108,0.265
2021-09-10,-1,control,continuation,False,False,0.069,0.874
2021-09-10,-1,control,continuation,False,False,0.029,0.226
2021-09-13,-1,climax,continuation,False,False,0.066,0.794
2021-09-13,-1,control,reversal,True,False,0.157,0.488
2021-09-13,1,control,continuation,False,True,0.05,0.124
2021-09-13,-1,climax,continuation,True,False,0.058,0.422
2021-09-13,-1,control,continuation,False,True,0.108,0.256
2021-09-13,-1,control,reversal,False,True,0.116,0.058
2021-09-13,1,climax,continuation,True,False,0.132,0.554
2021-09-13,1,control,continuation,False,False,0.108,0.248
2021-09-14,-1,climax,continuation,False,False,0.095,0.67
2021-09-14,-1,climax,reversal,False,False,0.066,0.488
2021-09-14,1,climax,continuation,False,True,0.036,0.109
2021-09-14,-1,climax,continuation,True,True,0.051,0.349
2021-09-14,-1,climax,reversal,False,False,0.393,0.0
2021-09-15,1,control,reversal,False,False,0.103,0.759
2021-09-15,1,control,continuation,False,False,0.096,0.791
2021-09-15,1,control,continuation,False,False,0.013,0.675
2021-09-15,1,control,continuation,False,True,0.045,0.251
2021-09-15,1,control,unresolved,True,False,0.045,0.084
2021-09-16,-1,climax,continuation,False,True,0.088,0.4
2021-09-16,-1,control,reversal,False,True,0.271,0.124
2021-09-16,-1,control,continuation,False,True,0.1,0.118
2021-09-16,1,control,continuation,False,False,0.088,0.706
2021-09-16,1,climax,continuation,False,False,0.035,0.394
2021-09-16,1,control,continuation,False,False,0.029,0.206
2021-09-17,-1,control,continuation,True,False,0.094,0.546
2021-09-17,-1,control,reversal,False,True,0.166,0.309
2021-09-17,-1,climax,reversal,False,False,0.061,0.287
2021-09-17,-1,climax,reversal,False,True,0.364,0.237
2021-09-17,-1,control,continuation,False,True,0.061,0.265
2021-09-17,1,climax,reversal,True,False,0.375,0.0
2021-09-17,-1,climax,continuation,False,False,0.028,0.105
2021-09-20,-1,climax,continuation,False,False,0.059,1.353
2021-09-20,-1,climax,continuation,False,False,0.037,0.952
2021-09-20,-1,climax,continuation,False,False,0.059,0.658
2021-09-20,-1,climax,continuation,False,False,0.075,0.583
2021-09-20,-1,climax,continuation,False,True,0.059,0.214
2021-09-20,-1,climax,reversal,False,False,0.187,0.091
2021-09-20,-1,climax,reversal,False,False,0.048,0.021
2021-09-20,1,climax,continuation,False,False,0.016,0.866
2021-09-20,1,climax,continuation,False,False,0.102,0.321
2021-09-20,1,control,reversal,False,False,0.043,0.021
2021-09-21,-1,control,continuation,False,False,0.18,0.302
2021-09-21,1,climax,continuation,False,False,0.028,0.236
2021-09-21,1,control,reversal,True,False,0.832,0.0
