i,short,en,stop,rk,tg,date,tpct1,tpct2,tempo_ratio,amp1,amp2,amp_sum,dur1,dur2,dur_ratio,vol_ratio,ibs1,ibs2,range1,range2,box_pts,box_abr,overlap,sb_poke_abr,rt_depth_abr,net6_abr,net20_abr,fade_run20,eff10,t10,ncx20,prev_state,sess_net_abr,pos_in_day_range,dayrange_abr,gap_abr,new20,new60,newsess,beyond_pd,room_abr,dist_lvl_abr,session_min,hour_ct,dow,side,n_prior_day,prev_res_day,res,pnl,R,win,year,wedge_same,wedge_any
83,True,6655.25,6661.5,6.25,6642.75,2026-04-07,99.0,99.0,0.5302022147807783,151.24378109452735,123.07692307692308,274.3207041714504,3.91250392,7.379267402,1.8860728456471425,0.983297307919041,0.9736842105263158,0.25,9.5,8.0,15.25,2.3461538461538463,0.2631578947368421,0.8461538461538461,-1.3461538461538465,2.8846153846153846,-1.1923076923076923,False,0.1549815498154981,68.67733887733888,1,2,-5.461538461538462,0.3469387755102041,9.423076923076923,-2.8846153846153846,False,False,False,True,,3.6538461538461537,105.93452100561667,10,1,short,0,none,stop,-6.25,-1.0,False,2026,False,False
109,True,6690.75,6694.5,3.75,6683.25,2026-04-07,99.0,99.0,1.8311793515075951,182.8571428571429,71.94244604316546,254.79958890030832,19.216483158,10.494047534,0.5460961533760786,0.8202535466344703,0.9464285714285714,0.44,14.0,6.25,19.75,2.273381294964029,0.0535714285714285,0.6330935251798561,-1.6978417266187051,3.3956834532374103,4.805755395683454,True,0.4478527607361963,67.74573804573805,1,4,0.0,0.926530612244898,7.050359712230216,-2.158273381294964,True,True,False,False,1.3525179856115108,0.316546762589928,153.06874984001666,11,1,short,1,stop,target,7.5,2.0,True,2026,False,False
123,True,6677.5,6689.75,12.25,6653.0,2026-04-07,99.0,97.0893970893971,0.1328561212089022,180.51282051282053,126.51162790697674,307.0244484197973,5.67442474,42.71105229,7.526939601281944,1.0849091583240638,0.6363636363636364,0.0,11.0,8.5,12.25,1.8232558139534885,0.6818181818181818,-0.5209302325581395,0.2604651162790697,0.0744186046511627,2.4186046511627906,True,0.0146520146520146,62.16611226611227,6,2,-1.972093023255814,0.710204081632653,9.116279069767442,-2.7906976744186047,False,False,False,True,,0.2232558139534883,173.34374421865002,11,1,short,2,target,eb_scr,-4.0,-0.3265306122448979,False,2026,False,False
191,False,6685.0,6678.0,7.0,6699.0,2026-04-07,97.5051975051975,96.25779625779626,0.7404594923843613,106.1611374407583,165.2582159624413,271.4193534031996,21.39682282,28.896682452,1.3505127698206552,0.9829166019568256,0.0357142857142857,0.6136363636363636,7.0,11.0,11.25,1.6901408450704225,1.0,0.0751173708920187,0.6384976525821596,2.892018779342723,1.164319248826291,False,0.2862190812720848,77.52598752598752,0,6,-0.863849765258216,0.6915254237288135,11.07981220657277,-2.816901408450704,False,False,False,False,1.2769953051643192,0.9014084507042254,348.64783761331665,14,1,long,3,eb_scr,target,14.0,2.0,True,2026,False,False
193,True,6694.75,6700.25,5.5,6683.75,2026-04-07,96.25779625779626,98.33679833679834,1.7265198470440557,129.82456140350877,129.25764192139738,259.0822033249061,28.84129631,16.704873888,0.579199828899785,0.9620330679730558,0.8918918918918919,0.4324324324324324,9.25,9.25,16.5,2.305676855895197,0.2432432432432432,0.9781659388646288,-1.3624454148471616,3.3187772925764194,2.6899563318777293,True,0.3940397350993377,82.72349272349273,2,0,0.5589519650655022,0.823728813559322,10.305676855895197,-2.6200873362445414,True,False,False,False,0.1746724890829694,0.1746724890829694,349.6101594779167,14,1,short,4,target,stop,-5.5,-1.0,False,2026,True,True
194,False,6700.0,6690.5,9.5,6719.0,2026-04-07,98.33679833679834,97.0893970893971,0.7229834418682699,129.25764192139738,98.76543209876544,228.0230740201628,16.704873888,23.105472298,1.3831575415003814,0.9944302991725016,0.4324324324324324,0.9666666666666668,9.25,7.5,9.75,1.2839506172839503,0.7837837837837838,-0.2633744855967078,1.0534979423868314,3.753086419753086,3.588477366255144,False,0.5168918918918919,83.01455301455302,3,0,1.2181069958847737,0.8949152542372881,9.7119341563786,-2.469135802469136,False,False,False,False,0.081646090534965,0.081646090534965,349.8885787395833,14,1,long,5,stop,rev,-3.25,-0.3421052631578947,False,2026,False,True
195,True,6696.75,6706.5,9.75,6677.25,2026-04-07,97.0893970893971,97.0893970893971,1.0604187907664622,98.76543209876544,124.5136186770428,223.27905077580823,23.105472298,21.789006852,0.9430236513228968,0.9652744439110258,0.9666666666666668,0.05,7.5,10.0,13.75,1.7120622568093384,0.5333333333333333,0.7470817120622568,-0.2490272373540856,1.9922178988326849,3.704280155642024,True,0.3961661341853035,87.006237006237,4,0,0.7470817120622568,0.8508474576271187,9.182879377431906,-2.3346303501945527,True,False,False,False,0.4046692607003891,0.4046692607003891,350.27439003558334,14,1,short,6,rev,stop,-9.75,-1.0,False,2026,True,True
162,False,6874.25,6869.0,5.25,6884.75,2026-04-08,96.88149688149689,98.12889812889811,1.1595057627994645,139.75903614457832,137.14285714285714,276.9018932874354,25.444128374,21.943943006,0.8624364208295437,1.0535090504922198,0.1034482758620689,0.6666666666666666,7.25,7.5,13.75,2.5142857142857142,0.1724137931034483,1.1428571428571428,-0.3657142857142857,-2.88,-1.0971428571428572,True,0.1688888888888889,58.91891891891892,1,0,-3.0171428571428573,0.5892857142857143,10.24,30.49142857142857,False,False,False,True,,27.10857142857143,289.13666293808336,13,2,long,0,none,stop,-5.25,-1.0,False,2026,False,False
69,True,6897.0,6904.5,7.5,6882.0,2026-04-09,99.0,99.0,0.7906734404277069,242.42424242424244,157.96178343949043,400.38602586373287,8.170208788,10.333227816,1.2647446453482236,0.9077647058823528,0.975,0.064516129032258,10.0,7.75,13.5,2.751592356687898,0.45,0.6624203821656051,-1.1719745222929936,2.1910828025477707,4.076433121019108,True,0.1773399014778325,57.288357588357584,1,0,4.687898089171974,0.8242424242424242,8.40764331210191,-1.5796178343949046,True,True,True,False,1.78343949044586,0.2038216560509554,122.84937626941668,10,3,short,0,none,rev,-5.5,-0.7333333333333333,False,2026,False,False
70,False,6902.5,6896.25,6.25,6915.0,2026-04-09,99.0,98.54469854469856,0.5783778098115537,157.96178343949043,135.67251461988303,293.63429805937346,10.333227816,17.86587874,1.7289736622603462,1.0912389839294971,0.064516129032258,0.7586206896551724,7.75,7.25,8.0,1.4970760233918128,0.935483870967742,-0.0935672514619883,0.2807017543859649,3.461988304093567,4.771929824561403,False,0.2211981566820276,58.63970893970894,2,0,5.333333333333333,0.9575757575757576,7.719298245614035,-1.4502923976608186,False,False,False,True,,0.8421052631578947,123.02164242958334,10,3,long,1,rev,rev,-2.0,-0.32,False,2026,False,False
71,True,6900.5,6906.5,6.0,6888.5,2026-04-09,98.54469854469856,97.0893970893971,0.5987465047124536,135.67251461988303,119.14893617021276,254.8214507900958,17.86587874,29.838802564,1.6701558875575355,0.9056215360253363,0.7586206896551724,0.1785714285714285,7.25,7.0,9.5,1.6170212765957446,0.6896551724137931,0.3404255319148936,-0.5957446808510638,2.893617021276596,4.808510638297872,True,0.2412280701754386,62.81850311850312,3,0,4.51063829787234,0.8670520231213873,7.361702127659575,-1.319148936170213,False,False,True,True,0.425531914893617,0.425531914893617,123.31965829978334,10,3,short,2,rev,stop,-6.0,-1.0,False,2026,False,False
18,True,6909.25,6917.0,7.75,6893.75,2026-04-13,96.46569646569648,98.33679833679834,1.161206360310249,94.84536082474229,120.60301507537687,215.4483759001192,32.051783824,27.60214284,0.8611733746728892,0.9726893776052896,0.7391304347826086,0.0,5.75,7.5,7.75,1.2462311557788943,1.0,0.1206030150753768,0.3618090452261306,2.3316582914572863,,False,0.2712550607287449,60.91476091476092,4,0,2.130653266331658,0.7413793103448276,4.663316582914573,-3.457286432160804,True,True,True,False,0.2814070351758794,0.1206030150753768,20.666183720983334,8,0,short,0,none,stop,-7.75,-1.0,False,2026,True,True
84,True,6918.75,6927.0,8.25,6902.25,2026-04-13,98.75259875259876,98.54469854469856,0.8611457527692034,182.1138211382114,197.1014492753623,379.2152704135737,20.509070554,23.816027064,1.1612436068856873,0.9402173913043478,0.9285714285714286,0.0588235294117647,7.0,8.5,11.5,2.6666666666666665,0.6071428571428571,0.9855072463768116,0.1739130434782608,0.2318840579710145,-1.5072463768115942,False,0.0378378378378378,32.4948024948025,0,6,5.27536231884058,0.7425149700598802,9.681159420289855,-4.985507246376812,False,False,False,False,0.2898550724637681,0.2898550724637681,156.8265216892167,11,0,short,1,stop,eb_scr,-1.5,-0.1818181818181818,False,2026,False,False
90,True,6926.25,6932.25,6.0,6914.25,2026-04-13,96.46569646569648,98.33679833679834,1.2161244666319633,156.09756097560975,130.43478260869566,286.5323435843054,43.930013746,36.122958588,0.8222842541516195,0.9053111206037306,1.0,0.2333333333333333,8.0,7.5,8.25,1.434782608695652,0.9375,0.0,-0.3478260869565217,1.3043478260869563,1.391304347826087,True,0.2079646017699115,60.04158004158004,2,6,5.260869565217392,0.8700564971751412,7.695652173913044,-3.739130434782609,True,True,True,False,0.0643478260869375,0.0643478260869375,170.07265339928333,11,0,short,2,eb_scr,stop,-6.0,-1.0,False,2026,False,False
14,False,7069.5,7065.0,4.5,7078.5,2026-04-15,97.29729729729728,96.88149688149689,0.9723917462298444,220.0,133.33333333333334,353.33333333333337,22.01884848,22.644010056,1.0283921103579892,0.7765583227803574,0.0303030303030303,0.7391304347826086,8.25,5.75,8.5,1.9710144927536235,0.696969696969697,0.0,-0.927536231884058,-3.652173913043478,,False,0.2727272727272727,35.46777546777547,0,6,-1.391304347826087,0.2048192771084337,4.811594202898551,2.550724637681159,True,True,True,True,,0.0579710144927536,14.94965051135,8,2,long,0,none,target,9.0,2.0,True,2026,False,False
114,True,7103.75,7110.0,6.25,7091.25,2026-04-15,97.5051975051975,98.12889812889811,1.3489528043360606,235.2941176470588,134.1614906832298,369.4556083302886,35.043805136,25.97852573,0.7413157797556815,0.9104704097116844,1.0,0.1111111111111111,10.0,6.75,13.25,2.633540372670807,0.375,0.5962732919254657,-0.3478260869565217,1.341614906832298,3.478260869565217,True,0.1133004926108374,42.7027027027027,0,6,5.614906832298136,0.8651685393258427,8.844720496894409,2.186335403726708,True,True,True,True,6.857142857142856,6.857142857142856,272.39055930858336,13,2,short,1,target,eb_scr,0.75,0.12,True,2026,False,False
1,True,7181.75,7188.25,6.5,7168.75,2026-04-17,99.0,96.25779625779626,0.7364516567502504,140.65934065934067,202.020202020202,342.6795426795427,17.39976236,23.626482744,1.3578623808285162,0.8855115158007498,0.625,0.2,4.0,6.25,7.75,2.505050505050505,0.6875,-0.404040404040404,1.1313131313131313,,,False,,,0,-1,-0.2424242424242424,0.1666666666666666,2.4242424242424243,14.787878787878787,False,False,False,True,10.181818181818182,10.181818181818182,0.4042925643833333,8,4,short,0,none,eb_scr,-6.0,-0.9230769230769232,False,2026,False,False
134,False,7221.25,7212.5,8.75,7238.75,2026-04-17,99.0,98.33679833679834,0.3904082588902942,131.95876288659792,145.8128078817734,277.77157076837136,13.989892442,35.83400741,2.561421223112503,0.9584263392857144,0.09375,0.918918918918919,8.0,9.25,9.5,1.497536945812808,1.0,0.0788177339901478,0.2758620689655173,-1.9704433497536948,-3.23152709359606,True,0.2243346007604562,77.15966735966735,2,0,6.108374384236454,0.6254545454545455,10.837438423645322,7.211822660098523,True,True,False,True,,11.192118226600988,234.73897336738332,12,4,long,1,eb_scr,stop,-8.75,-1.0,False,2026,False,False
52,False,7191.75,7185.75,6.0,7203.75,2026-04-20,98.33679833679834,97.71309771309772,0.7407163987127093,220.51282051282053,101.0989010989011,321.61172161172163,10.176679696,13.738969076,1.3500443648039917,0.9208957394212592,0.0465116279069767,1.0,10.75,5.75,13.75,2.417582417582417,0.2790697674418604,0.4835164835164835,-0.8791208791208791,-1.89010989010989,-3.648351648351648,True,0.2972972972972973,51.62162162162163,1,0,-3.120879120879121,0.1654676258992805,6.1098901098901095,-2.989010989010989,True,True,True,False,3.648351648351648,2.3736263736263736,81.28258180568334,9,0,long,0,none,stop,-6.0,-1.0,False,2026,False,False
121,False,7175.25,7170.25,5.0,7185.25,2026-04-21,98.54469854469856,96.88149688149689,0.6948443989444234,209.9290780141844,117.19745222929936,327.1265302434838,24.026612074,34.57840649,1.439171131722664,1.2007132667617688,0.0,0.8260869565217391,9.25,5.75,10.5,2.140127388535032,0.5135135135135135,0.2038216560509554,-1.070063694267516,-1.732484076433121,-3.821656050955414,True,0.1840796019900497,51.55925155925157,0,5,-9.885350318471335,0.075098814229249,12.89171974522293,3.261146496815287,True,True,True,True,1.5286624203821657,1.5286624203821657,215.17068600548333,12,1,long,0,none,stop,-5.0,-1.0,False,2026,False,False
142,True,7184.25,7188.75,4.5,7175.25,2026-04-21,98.96049896049897,99.0,2.5096789978881398,212.6582278481013,128.1767955801105,340.8350234282118,29.721099248,11.842589938,0.3984573329264365,0.8429440741813967,0.9523809523809524,0.4137931034482758,10.5,7.25,15.0,2.651933701657459,0.2857142857142857,0.7513812154696133,-1.679558011049724,3.2265193370165752,2.4751381215469617,True,0.4366812227074236,70.73160083160083,2,6,-6.983425414364642,0.3465346534653465,13.392265193370168,2.828729281767956,True,False,False,False,0.2651933701657459,0.2651933701657459,248.9426786518833,12,1,short,1,stop,rev,-0.5,-0.1111111111111111,False,2026,False,False
143,False,7184.75,7178.75,6.0,7196.75,2026-04-21,99.0,97.71309771309772,0.3147895943394166,128.1767955801105,111.340206185567,239.51700176567752,11.842589938,37.620652496,3.176725082347439,1.129597799931248,0.4137931034482758,0.8518518518518519,7.25,6.75,9.75,1.6082474226804124,0.6206896551724138,0.3711340206185567,0.2061855670103092,2.556701030927835,2.268041237113402,False,0.379746835443038,71.52162162162162,2,0,-6.43298969072165,0.3531353135313531,12.494845360824742,2.6391752577319587,False,False,False,False,1.8144329896907216,0.3298969072164948,249.14017003205,12,1,long,2,rev,stop,-6.0,-1.0,False,2026,False,False
164,False,7175.75,7166.5,9.25,7194.25,2026-04-21,99.0,98.96049896049897,0.2846415232660897,165.85365853658536,182.8571428571429,348.7108013937282,4.086380802,14.356235714,3.5131908673253407,0.9414661867777988,0.0,0.9,8.5,10.0,10.75,1.9657142857142855,0.9411764705882352,0.3657142857142857,-0.1371428571428571,-1.28,-1.6457142857142857,True,0.0210084033613445,60.81476091476092,5,6,-8.777142857142858,0.2343234323432343,13.851428571428572,2.9257142857142857,True,False,False,True,1.28,1.28,286.5966286228167,13,1,long,3,stop,eb_scr,-4.75,-0.5135135135135135,False,2026,False,False
176,True,7181.5,7188.0,6.5,7168.5,2026-04-21,99.0,99.0,1.065665549787789,154.3859649122807,148.63387978142077,303.0198446937015,12.697012718,11.914631866,0.9383807144738184,1.116722160562338,1.0,0.2647058823529412,8.25,8.5,12.0,2.098360655737705,0.6060606060606061,0.6120218579234973,-0.4371584699453552,0.7431693989071039,0.6120218579234973,True,0.1932773109243697,37.03492723492723,2,6,-7.387978142076503,0.3102310231023102,13.245901639344265,2.797814207650273,False,False,False,True,,0.2185792349726776,324.85254468898336,13,1,short,4,eb_scr,stop,-6.5,-1.0,False,2026,False,False
