date,level,side,grp,label,szpct,session_min
2021-09-22,PDH,-1,DRIVE,break,90.43659043659044,142.46164478371665
2021-09-22,PDH,-1,DRIVE,reject,1.0,270.40465451718336
2021-09-22,PDH,1,DRIVE,break,1.0,271.1863265575167
2021-09-22,PDH,-1,DRIVE,break,2.286902286902287,309.28398698855
2021-09-22,PDH,1,DRIVE,break,8.731808731808732,319.3196174417166
2021-09-22,PDH,-1,DRIVE,unresolved,28.482328482328484,362.4773405832167
2021-09-24,PDH,1,PLAIN,unresolved,70.68607068607069,358.63628674168336
2021-09-30,PDH,1,DRIVE,reject,7.276507276507276,19.221175619449998
2021-09-30,PDL,-1,DRIVE,break,84.1995841995842,70.50829735111667
2021-09-30,PDL,1,PLAIN,break,15.384615384615385,113.52301065158333
2021-09-30,PDL,-1,DRIVE,break,49.896049896049895,122.82332869345001
2021-09-30,PDL,1,DRIVE,reject,71.1018711018711,311.8621879678167
2021-10-01,PDL,-1,PLAIN,reject,49.896049896049895,14.67981660105
2021-10-01,PDL,-1,DRIVE,break,7.276507276507276,34.368118017616666
2021-10-01,PDL,1,PLAIN,break,6.029106029106029,83.52531632985
2021-10-04,PDL,-1,DRIVE,reject,52.39085239085239,68.64336435301666
2021-10-04,PDL,-1,DRIVE,reject,39.08523908523909,94.69713176951667
2021-10-04,PDL,-1,DRIVE,break,73.8045738045738,130.09410777458334
2021-10-04,PDL,1,DRIVE,break,70.89397089397089,143.32655264541665
2021-10-04,PDL,-1,PLAIN,break,58.41995841995842,183.79535552541665
2021-10-04,PDL,1,DRIVE,break,26.611226611226613,219.25656313975
2021-10-04,PDL,-1,DRIVE,reject,2.9106029106029108,248.98628385971668
2021-10-04,PDL,-1,PLAIN,reject,46.15384615384615,309.07832654888335
2021-10-04,PDL,-1,DRIVE,reject,24.948024948024948,362.54050424251665
2021-10-05,PDH,1,PLAIN,break,56.34095634095634,52.67761088828333
2021-10-05,PDH,-1,PLAIN,reject,66.32016632016632,80.92704283808332
2021-10-05,PDH,-1,PLAIN,reject,61.95426195426195,148.31268527575
2021-10-05,PDH,1,PLAIN,break,68.60706860706861,175.32402703365
2021-10-05,PDH,-1,PLAIN,reject,75.05197505197505,241.50150284635
2021-10-05,PDH,-1,PLAIN,break,27.85862785862786,352.24914127905
2021-10-06,PDL,-1,DRIVE,break,21.205821205821206,19.23399900111667
2021-10-06,PDL,1,DRIVE,break,60.70686070686071,41.85297845155
2021-10-06,PDL,-1,DRIVE,reject,18.71101871101871,75.31353933915001
2021-10-06,PDL,-1,PLAIN,reject,63.2016632016632,116.21467479301667
2021-10-06,PDL,-1,PLAIN,reject,46.56964656964657,168.51674253521665
2021-10-06,PDL,1,PLAIN,break,9.97920997920998,209.20507268098333
2021-10-06,PDH,1,PLAIN,unresolved,91.89189189189189,385.5427641735167
2021-10-08,PDL,-1,PLAIN,break,7.0686070686070686,8.381212095216666
2021-10-08,PDL,1,PLAIN,break,1.0,16.81198334875
2021-10-08,PDL,-1,PLAIN,break,11.85031185031185,58.89532761251667
2021-10-08,PDL,1,PLAIN,break,59.66735966735967,100.42654168905
2021-10-08,PDL,-1,PLAIN,break,48.856548856548855,120.06951049011667
2021-10-08,PDL,1,DRIVE,break,60.70686070686071,225.80754297105003
2021-10-08,PDL,-1,PLAIN,break,30.977130977130976,234.07710002901666
2021-10-08,PDL,-1,PLAIN,break,70.47817047817048,361.99876307645
2021-10-08,PDL,1,PLAIN,unresolved,96.46569646569647,390.26488785105
2021-10-11,PDH,1,PLAIN,reject,65.28066528066527,22.01153612901667
2021-10-11,PDH,-1,PLAIN,break,42.2037422037422,105.07927643561668
2021-10-11,PDH,1,PLAIN,reject,74.63617463617463,125.99631094018333
2021-10-11,PDL,-1,DRIVE,break,59.87525987525988,202.78931997885
2021-10-11,PDL,1,PLAIN,reject,20.997920997920996,251.11813043181667
2021-10-12,PDL,-1,PLAIN,break,21.82952182952183,13.15947046935
2021-10-12,PDL,1,PLAIN,break,6.860706860706861,28.195501849416665
2021-10-12,PDL,-1,PLAIN,break,1.0,39.817720304716666
2021-10-12,PDL,1,PLAIN,break,13.92931392931393,66.15637629241667
2021-10-12,PDL,-1,PLAIN,reject,9.771309771309772,86.69486236768333
2021-10-12,PDL,-1,PLAIN,break,45.945945945945944,176.83779172435
2021-10-12,PDL,1,PLAIN,break,75.46777546777547,262.92176477815
2021-10-12,PDL,-1,PLAIN,break,54.054054054054056,297.7990567908166
2021-10-12,PDL,1,PLAIN,reject,74.63617463617463,385.01885287081666
2021-10-13,PDL,-1,PLAIN,break,25.155925155925157,23.598650951483332
2021-10-13,PDL,-1,PLAIN,break,70.68607068607069,55.26309483861667
2021-10-13,PDL,1,PLAIN,break,26.403326403326403,59.286192623050006
2021-10-13,PDL,-1,PLAIN,reject,72.34927234927235,121.24124420351667
2021-10-13,PDH,1,DRIVE,reject,50.935550935550935,271.45515634895
2021-10-18,PDH,1,PLAIN,break,90.22869022869023,70.26990991494999
2021-10-20,PDH,-1,PLAIN,reject,35.13513513513514,28.686056360949998
2021-10-20,PDH,-1,DRIVE,reject,57.7962577962578,230.18226315618332
2021-10-21,PDH,1,PLAIN,reject,39.91683991683992,58.66371245558333
2021-10-21,PDH,1,PLAIN,break,57.7962577962578,295.9380483995167
2021-10-22,PDH,1,PLAIN,break,18.08731808731809,18.256196545216667
2021-10-22,PDH,-1,PLAIN,reject,20.58212058212058,30.00496645705
2021-10-22,PDL,-1,DRIVE,reject,56.75675675675676,125.61387086651666
2021-10-22,PDH,1,PLAIN,reject,59.66735966735967,297.2851269791166
2021-10-25,PDH,1,PLAIN,break,35.96673596673597,92.44587428751667
2021-10-25,PDH,-1,PLAIN,reject,91.68399168399168,386.2231115325833
2021-10-26,PDH,-1,DRIVE,break,66.94386694386695,188.48421538395
2021-10-26,PDH,1,PLAIN,break,8.316008316008316,229.06140657861667
2021-10-26,PDH,-1,PLAIN,unresolved,97.92099792099792,388.21841986281663
2021-10-27,PDL,-1,PLAIN,reject,22.86902286902287,46.16735935825
2021-10-27,PDL,-1,PLAIN,reject,7.6923076923076925,127.27592741138332
