i,short,en,st,rk,tg,kind,flagged,belim,date,res,pnl,year
2,True,5323.75,5328.5,4.75,5314.25,Basic,False,False,2021-12-02,rev,-0.0,2021
3,False,5323.75,5320.0,3.75,5331.25,EBrev,False,False,2021-12-02,stop,-3.75,2021
28,True,5356.25,5362.5,6.25,5343.75,Basic,False,False,2021-12-02,stop,-6.25,2021
43,False,5362.75,5360.0,2.75,5368.25,Basic,False,False,2021-12-02,target,5.5,2021
68,False,5355.25,5348.25,7.0,5369.25,Basic,False,False,2021-12-02,stop,-7.0,2021
86,False,5344.0,5337.0,7.0,5358.0,Basic,False,False,2021-12-02,stop,-7.0,2021
127,True,5367.25,5378.75,11.5,5344.25,Basic,False,False,2021-12-02,rev,7.0,2021
130,False,5360.25,5355.5,4.75,5369.75,EBrev,False,False,2021-12-02,target,9.5,2021
168,False,5391.0,5383.0,8.0,5407.0,Basic,False,False,2021-12-02,stop,-8.0,2021
238,False,5388.0,5381.75,6.25,5400.5,Basic,False,False,2021-12-02,target,12.5,2021
272,False,5387.25,5381.75,5.5,5398.25,Basic,False,False,2021-12-02,open,-2.25,2021
29,False,5371.25,5363.25,8.0,5387.25,Basic,False,False,2021-12-03,stop,-8.0,2021
74,False,5352.75,5346.0,6.75,5366.25,Basic,False,False,2021-12-03,stop,-6.75,2021
103,True,5337.5,5340.75,3.25,5331.0,Basic,False,False,2021-12-03,target,6.5,2021
116,False,5328.25,5324.75,3.5,5335.25,Basic,False,False,2021-12-03,stop,-3.5,2021
127,False,5342.0,5336.75,5.25,5352.5,Basic,False,False,2021-12-03,stop,-5.25,2021
159,False,5330.75,5325.0,5.75,5342.25,Basic,False,False,2021-12-03,rev,-3.0,2021
160,True,5327.75,5332.5,4.75,5318.25,EBrev,False,False,2021-12-03,stop,-4.75,2021
161,False,5334.5,5326.5,8.0,5350.5,Basic,False,False,2021-12-03,stop,-8.0,2021
204,False,5323.5,5319.0,4.5,5332.5,Basic,False,False,2021-12-03,stop,-4.5,2021
225,False,5312.0,5306.0,6.0,5324.0,Basic,False,False,2021-12-03,target,12.0,2021
228,True,5324.0,5327.25,3.25,5317.5,Basic,False,False,2021-12-03,target,6.5,2021
237,False,5314.5,5307.0,7.5,5329.5,Basic,False,False,2021-12-03,stop,-7.5,2021
251,False,5304.0,5300.75,3.25,5310.5,Basic,False,False,2021-12-03,target,6.5,2021
256,True,5313.0,5318.75,5.75,5301.5,Basic,False,False,2021-12-03,rev,6.0,2021
258,False,5307.0,5302.0,5.0,5317.0,EBrev,False,False,2021-12-03,target,10.0,2021
1,False,5444.75,5439.25,5.5,5455.75,Basic,False,False,2021-12-14,target,11.0,2021
187,True,5444.75,5446.25,1.5,5441.75,Basic,False,False,2021-12-14,target,3.0,2021
89,True,5422.25,5431.5,9.25,5403.75,Basic,False,False,2021-12-15,rev,-8.75,2021
92,False,5431.0,5418.75,12.25,5455.5,EBrev,False,False,2021-12-15,rev,-5.0,2021
93,True,5426.0,5434.0,8.0,5410.0,EBrev,False,False,2021-12-15,rev,1.25,2021
94,False,5424.75,5421.5,3.25,5431.25,EBrev,False,False,2021-12-15,stop,-3.25,2021
130,True,5445.25,5450.5,5.25,5434.75,Basic,False,False,2021-12-15,rev,-3.0,2021
132,False,5448.25,5440.25,8.0,5464.25,EBrev,False,False,2021-12-15,rev,-1.25,2021
133,True,5447.0,5449.25,2.25,5442.5,EBrev,False,False,2021-12-15,stop,-2.25,2021
134,False,5451.25,5445.5,5.75,5462.75,Basic,False,False,2021-12-15,rev,-4.5,2021
135,True,5446.75,5453.5,6.75,5433.25,EBrev,False,False,2021-12-15,rev,-0.75,2021
136,False,5447.5,5442.75,4.75,5457.0,EBrev,False,False,2021-12-15,rev,0.0,2021
137,True,5447.5,5450.5,3.0,5441.5,EBrev,False,False,2021-12-15,stop,-3.0,2021
138,False,5450.0,5445.0,5.0,5460.0,Basic,False,False,2021-12-15,stop,-5.0,2021
141,True,5455.25,5458.75,3.5,5448.25,Basic,False,False,2021-12-15,stop,-3.5,2021
142,False,5457.75,5453.0,4.75,5467.25,Basic,False,False,2021-12-15,rev,1.25,2021
144,True,5459.0,5462.0,3.0,5453.0,EBrev,False,False,2021-12-15,stop,-3.0,2021
145,False,5462.25,5456.0,6.25,5474.75,Basic,False,False,2021-12-15,rev,-3.25,2021
149,True,5459.0,5466.5,7.5,5444.0,EBrev,False,False,2021-12-15,rev,0.5,2021
152,False,5458.5,5453.5,5.0,5468.5,EBrev,False,False,2021-12-15,rev,2.0,2021
154,True,5460.5,5463.5,3.0,5454.5,EBrev,False,False,2021-12-15,stop,-3.0,2021
158,False,5457.0,5452.5,4.5,5466.0,Basic,False,False,2021-12-15,target,9.0,2021
162,True,5463.5,5466.5,3.0,5457.5,Basic,False,False,2021-12-15,stop,-3.0,2021
174,False,5469.75,5463.5,6.25,5482.25,Basic,False,False,2021-12-15,rev,7.5,2021
177,True,5477.25,5480.25,3.0,5471.25,EBrev,False,False,2021-12-15,stop,-3.0,2021
178,False,5479.75,5475.5,4.25,5488.25,Basic,False,False,2021-12-15,target,8.5,2021
187,True,5497.5,5500.0,2.5,5492.5,Basic,False,False,2021-12-15,stop,-2.5,2021
188,False,5498.25,5495.25,3.0,5504.25,Basic,False,False,2021-12-15,rev,0.0,2021
189,True,5498.25,5501.0,2.75,5492.75,EBrev,False,False,2021-12-15,stop,-2.75,2021
215,False,5501.0,5498.0,3.0,5507.0,Basic,False,False,2021-12-15,stop,-3.0,2021
235,False,5516.25,5513.25,3.0,5522.25,Basic,False,False,2021-12-15,open,2.0,2021
221,True,5473.0,5478.0,5.0,,Basic,True,True,2021-12-16,be_fill,0.0,2021
1,False,5445.0,5441.75,3.25,5451.5,Basic,False,False,2021-12-17,stop,-3.25,2021
30,True,5437.75,5441.0,3.25,5431.25,Basic,False,False,2021-12-17,rev,-2.5,2021
31,False,5440.25,5435.5,4.75,5449.75,EBrev,False,False,2021-12-17,stop,-4.75,2021
132,False,5435.5,5429.75,5.75,5447.0,Basic,False,False,2021-12-17,stop,-5.75,2021
159,True,5450.0,5453.0,3.0,,Basic,True,True,2021-12-17,be_fill,0.0,2021
2,True,5364.0,5372.0,8.0,5348.0,Basic,False,False,2021-12-20,rev,-2.0,2021
3,False,5366.0,5363.0,3.0,5372.0,EBrev,False,False,2021-12-20,stop,-3.0,2021
160,True,5360.75,5364.75,4.0,,Basic,True,True,2021-12-20,be_fill,0.0,2021
88,False,5578.25,5573.25,5.0,5588.25,Basic,False,False,2021-12-31,open,0.5,2021
20,False,5568.0,5563.5,4.5,5577.0,Basic,False,False,2022-01-03,target,9.0,2022
23,True,5577.0,5580.75,3.75,5569.5,Basic,False,False,2022-01-03,stop,-3.75,2022
98,True,5576.0,5579.5,3.5,5569.0,Basic,False,False,2022-01-05,target,7.0,2022
112,True,5561.5,5568.25,6.75,5548.0,Basic,False,False,2022-01-05,rev,2.25,2022
122,False,5559.25,5556.25,3.0,5565.25,EBrev,False,False,2022-01-05,stop,-3.0,2022
153,False,5528.0,5523.5,4.5,5537.0,Basic,False,False,2022-01-05,stop,-4.5,2022
199,True,5509.0,5511.75,2.75,5503.5,Basic,False,False,2022-01-05,stop,-2.75,2022
38,False,5492.25,5488.5,3.75,5499.75,Basic,False,False,2022-01-06,stop,-3.75,2022
57,False,5495.5,5490.0,5.5,5506.5,Basic,False,False,2022-01-06,stop,-5.5,2022
68,True,5508.25,5511.25,3.0,5502.25,Basic,False,False,2022-01-06,target,6.0,2022
104,False,5518.0,5514.0,4.0,,Basic,True,True,2022-01-06,stop,-4.0,2022
1,True,5450.75,5453.25,2.5,5445.75,Basic,False,False,2022-01-10,target,5.0,2022
158,True,5422.5,5427.25,4.75,5413.0,Basic,False,False,2022-01-10,stop,-4.75,2022
159,False,5431.0,5421.0,10.0,5451.0,Basic,False,False,2022-01-10,target,20.0,2022
51,False,5520.75,5517.5,3.25,5527.25,Basic,False,False,2022-01-13,stop,-3.25,2022
92,False,5506.5,5503.75,2.75,5512.0,Basic,False,False,2022-01-13,stop,-2.75,2022
96,False,5498.75,5495.25,3.5,5505.75,Basic,False,False,2022-01-13,rev,0.5,2022
98,True,5499.25,5502.0,2.75,5493.75,EBrev,False,False,2022-01-13,stop,-2.75,2022
99,False,5502.5,5498.25,4.25,5511.0,Basic,False,False,2022-01-13,rev,-0.75,2022
100,True,5501.75,5504.75,3.0,,EBrev,True,True,2022-01-13,be_fill,0.0,2022
208,False,5471.75,5468.75,3.0,5477.75,Basic,False,False,2022-01-13,rev,0.0,2022
209,True,5471.75,5474.25,2.5,5466.75,EBrev,False,False,2022-01-13,target,5.0,2022
9,True,5440.75,5444.5,3.75,,Basic,True,True,2022-01-14,be_fill,0.0,2022
46,True,5401.0,5406.0,5.0,5391.0,Basic,False,False,2022-01-18,stop,-5.0,2022
121,False,5379.25,5374.5,4.75,5388.75,Basic,False,False,2022-01-20,target,9.5,2022
43,True,5256.0,5266.25,10.25,5235.5,Basic,False,False,2022-01-21,rev,14.5,2022
60,False,5241.5,5238.0,3.5,5248.5,EBrev,False,False,2022-01-21,rev,1.25,2022
65,True,5242.75,5246.75,4.0,5234.75,EBrev,False,False,2022-01-21,stop,-4.0,2022
73,False,5232.25,5228.5,3.75,5239.75,Basic,False,False,2022-01-21,target,7.5,2022
77,True,5242.75,5247.0,4.25,5234.25,Basic,False,False,2022-01-21,stop,-4.25,2022
87,True,5261.75,5267.0,5.25,5251.25,Basic,False,False,2022-01-21,stop,-5.25,2022
93,False,5279.25,5272.75,6.5,5292.25,Basic,False,False,2022-01-21,rev,-1.5,2022
94,True,5277.75,5282.5,4.75,5268.25,EBrev,False,False,2022-01-21,target,9.5,2022
97,True,5266.5,5276.5,10.0,5246.5,Basic,False,False,2022-01-21,rev,-0.25,2022
98,False,5266.75,5260.75,6.0,5278.75,EBrev,False,False,2022-01-21,stop,-6.0,2022
101,False,5261.0,5257.25,3.75,5268.5,Basic,False,False,2022-01-21,target,7.5,2022
102,True,5262.75,5269.0,6.25,5250.25,Basic,False,False,2022-01-21,stop,-6.25,2022
