i,short,en,stop,rk,tg,date,tpct1,tpct2,tempo_ratio,amp1,amp2,amp_sum,dur1,dur2,dur_ratio,vol_ratio,ibs1,ibs2,range1,range2,box_pts,box_abr,overlap,sb_poke_abr,rt_depth_abr,net6_abr,net20_abr,fade_run20,eff10,t10,ncx20,prev_state,sess_net_abr,pos_in_day_range,dayrange_abr,gap_abr,new20,new60,newsess,beyond_pd,room_abr,dist_lvl_abr,session_min,hour_ct,dow,side,n_prior_day,prev_res_day,res,pnl,R,win,year
150,True,5033.5,5038.25,4.75,5024.0,2021-07-19,97.36842105263158,97.43589743589743,1.2388333923318453,46.15384615384615,125.17006802721089,171.32391418105703,200.376779334,161.746349892,0.8072110472560872,0.8551212422550295,0.8888888888888888,0.21739130434782608,2.25,5.75,6.0,1.3061224489795917,1.0,0.10884353741496598,0.4897959183673469,0.7619047619047619,1.1428571428571428,True,0.10638297872340426,86.56255031750811,1,6,-7.129251700680272,0.20833333333333334,10.448979591836734,-10.448979591836734,True,False,False,True,,17.46938775510204,293.71428732538334,13,0,short,8,stop,eb_scr,-3.75,-0.7894736842105263,False,2021
166,False,5037.0,5031.75,5.25,5047.5,2021-07-19,96.07843137254902,96.15384615384616,1.0739984435477905,83.66013071895425,133.33333333333334,216.9934640522876,155.673775374,144.947859384,0.9311000458219028,0.9597260273972603,0.125,0.72,4.0,6.25,7.0,1.4933333333333334,0.875,-0.10666666666666667,0.7466666666666667,1.44,0.6933333333333334,False,0.22164948453608246,94.46144585923807,8,6,-6.24,0.28125,10.24,-10.24,False,False,False,True,16.373333333333335,16.373333333333335,340.5277017112833,14,0,long,9,eb_scr,rev,-3.0,-0.5714285714285714,False,2021
167,True,5034.0,5039.0,5.0,5024.0,2021-07-19,96.15384615384616,98.11320754716981,1.2292288579372521,133.33333333333334,90.56603773584905,223.8993710691824,144.947859384,117.917716012,0.813518161034783,0.7848510800266438,0.72,0.0,6.25,4.5,6.5,1.3081761006289307,0.72,-0.050314465408805034,-0.3018867924528302,0.9559748427672956,-0.050314465408805034,False,0.12435233160621761,94.5108618520503,9,0,-6.490566037735849,0.21875,9.660377358490566,-9.660377358490566,True,False,False,True,,16.050314465408807,342.94350290125,14,0,short,10,rev,rev,4.5,0.9,True,2021
170,False,5029.5,5026.5,3.0,5035.5,2021-07-19,95.83333333333333,97.95918367346938,1.280536768559895,131.57894736842104,82.05128205128206,213.63022941970308,162.457401872,126.86664363,0.7809225197997324,1.0084162988812482,0.12,0.6875,6.25,4.0,7.25,1.4871794871794872,0.52,0.15384615384615385,-0.6666666666666666,-0.8205128205128205,-0.8205128205128205,True,0.015544041450777202,94.94684364434438,11,6,-7.538461538461538,0.125,9.846153846153847,-9.846153846153847,False,False,False,True,17.28205128205128,17.28205128205128,350.01180332551667,14,0,long,11,rev,stop,-3.0,-1.0,False,2021
171,True,5026.75,5031.0,4.25,5018.25,2021-07-19,97.95918367346938,96.0,0.9101484923722001,82.05128205128206,66.24203821656052,148.29332026784257,126.86664363,139.39114847,1.0987218111998538,1.0134351145038167,0.6875,0.15384615384615385,4.0,3.25,4.75,0.9681528662420384,0.6875,-0.2547770700636943,0.30573248407643316,-1.1719745222929938,-2.1401273885350323,False,0.05405405405405406,95.19901755738786,11,0,-8.05095541401274,0.06770833333333333,9.783439490445861,-9.783439490445861,False,False,False,True,,17.732484076433124,352.1264183523833,14,0,short,12,stop,eb_scr,-2.5,-0.5882352941176471,False,2021
59,False,5179.25,5171.75,7.5,5194.25,2021-07-27,96.29629629629629,98.78048780487805,1.423607829946219,94.11764705882354,213.79310344827587,307.9107505070994,104.047623844,73.087279836,0.7024406433882693,0.8836055219705856,0.0,0.9354838709677419,3.5,7.75,8.0,2.206896551724138,1.0,0.13793103448275862,1.7241379310344827,-0.20689655172413793,-1.4482758620689655,True,0.054878048780487805,89.47030904073381,4,0,-6.551724137931035,0.25217391304347825,7.931034482758621,-3.4482758620689653,True,True,True,True,4.827586206896552,4.827586206896552,130.51381199628332,10,1,long,0,none,eb_scr,-4.25,-0.5666666666666667,False,2021
55,True,5198.25,5201.25,3.0,5192.25,2021-08-03,99.0,98.7012987012987,0.4962356969624508,95.77464788732394,59.863945578231295,155.63859346555523,60.51480816,121.94771261,2.01517143188445,1.167975014771672,0.6470588235294118,0.2727272727272727,4.25,2.75,4.5,0.9795918367346939,0.6470588235294118,-0.16326530612244897,-0.10884353741496598,2.7210884353741496,5.006802721088436,True,0.5529411764705883,78.56529206087882,2,0,2.2312925170068025,0.9241379310344827,7.891156462585034,1.08843537414966,True,True,True,False,0.6813605442177109,0.6813605442177109,135.01675000701667,10,1,short,0,none,eb_scr,-1.75,-0.5833333333333334,False,2021
78,False,5218.25,5215.0,3.25,5224.75,2021-08-17,98.64864864864865,98.66666666666667,1.1691956265621128,82.53968253968254,93.75,176.28968253968253,138.45224202,118.416660886,0.8552888646533743,0.8994431185361973,0.38461538461538464,0.8,3.25,3.75,4.75,1.1875,0.7692307692307693,0.3125,-0.375,-2.5625,-4.0625,True,0.35714285714285715,91.95844770082788,3,6,-6.75,0.07947019867549669,9.4375,-7.0625,True,True,True,True,3.4375,3.4375,199.60307453581666,11,1,long,0,none,rev,-1.5,-0.46153846153846156,False,2021
79,True,5216.75,5221.0,4.25,5208.25,2021-08-17,98.66666666666667,97.36842105263158,0.8627332372888027,93.75,109.6774193548387,203.42741935483872,118.416660886,137.257562092,1.1591068441301362,0.9959313638775871,0.8,0.058823529411764705,3.75,4.25,5.75,1.4838709677419355,0.6666666666666666,0.45161290322580644,0.25806451612903225,-1.8064516129032258,-4.387096774193548,False,0.43125,93.7940552381898,4,0,-7.354838709677419,0.039735099337748346,9.741935483870968,-7.290322580645161,False,False,False,True,,3.935483870967742,201.57670643805002,11,1,short,1,rev,stop,-4.25,-1.0,False,2021
60,False,5228.75,5225.5,3.25,5235.25,2021-08-18,97.14285714285714,95.28301886792453,0.7110165087755163,179.84496124031008,76.71232876712328,256.5572900074334,45.393776204,63.843491176,1.40643710470543,0.949478543340742,0.06896551724137931,0.8571428571428571,7.25,3.5,9.0,1.9726027397260273,0.27586206896551724,0.3287671232876712,-1.1506849315068493,-2.3013698630136985,-1.643835616438356,True,0.09883720930232558,69.14919621367345,1,6,-0.821917808219178,0.1276595744680851,5.1506849315068495,-1.1506849315068493,True,True,True,False,0.1643835616438356,0.1643835616438356,283.5023761745167,13,2,long,0,none,stop,-3.25,-1.0,False,2021
91,False,5211.75,5209.75,2.0,5215.75,2021-08-18,98.31932773109244,97.5,0.9651654482021967,100.0,88.07339449541284,188.07339449541286,95.194452192,98.630190678,1.0360917932388578,0.9067310841794956,0.2857142857142857,0.5833333333333334,3.5,3.0,4.5,1.3211009174311927,0.6428571428571429,0.22018348623853212,-0.5871559633027523,-3.669724770642202,-7.853211009174312,True,0.4420289855072464,89.16384250996896,4,0,-6.091743119266055,0.044585987261146494,11.522935779816514,-1.5412844036697249,True,True,True,False,5.2110091743119265,0.14678899082568808,364.9847422101167,14,2,long,1,stop,target,4.0,2.0,True,2021
28,True,5193.75,5196.75,3.0,5187.75,2021-08-19,97.81659388646288,96.95652173913044,0.9728969887291867,83.43558282208589,92.90322580645162,176.3388086285375,54.519212884,56.038011748,1.027858048266976,0.9388098062475286,0.8235294117647058,0.3888888888888889,4.25,4.5,4.75,0.9806451612903225,1.0,0.0,-0.3096774193548387,0.8774193548387097,3.4064516129032256,True,0.22727272727272727,83.37802151057382,4,0,5.883870967741935,0.905982905982906,6.038709677419355,-5.935483870967742,True,True,True,False,0.7225806451612903,0.05161290322580645,32.103876661950004,9,3,short,0,none,stop,-3.0,-1.0,False,2021
58,False,5196.25,5192.5,3.75,5203.75,2021-08-19,97.41935483870968,96.1038961038961,0.936078228455639,101.49253731343283,81.15942028985508,182.6519576032879,99.006508644,105.767344688,1.0682867837336847,1.0203210540966874,0.11764705882352941,1.0,4.25,3.5,6.5,1.5072463768115942,0.35294117647058826,0.463768115942029,-0.2318840579710145,3.36231884057971,-0.6956521739130435,True,0.38181818181818183,81.53005591216984,3,1,7.188405797101449,0.8111888111888111,8.289855072463768,-6.666666666666667,False,False,False,False,5.449275362318841,0.5217391304347826,90.92685816625,10,3,long,1,stop,eb_scr,0.0,0.0,False,2021
117,False,5179.5,5177.0,2.5,5184.5,2021-08-19,96.5909090909091,97.8021978021978,0.6298680082285333,116.45569620253164,59.25925925925926,175.7149554617909,71.767839626,113.941077636,1.5876342137338284,0.8397089009143497,0.13043478260869565,0.75,5.75,3.0,7.5,1.4814814814814814,0.2608695652173913,0.2962962962962963,-0.7901234567901234,-2.123456790123457,-3.7037037037037037,True,0.22279792746113988,83.30938392319476,0,6,2.814814814814815,0.26063829787234044,9.283950617283951,-5.679012345679013,True,True,False,True,2.123456790123457,2.123456790123457,301.14935619448335,13,3,long,2,eb_scr,target,5.0,2.0,True,2021
127,True,5196.25,5198.25,2.0,5192.25,2021-08-19,97.89473684210526,96.875,0.8617545744257129,165.85365853658536,54.857142857142854,220.71080139372822,93.873348822,108.93281174,1.1604231989907523,1.030007268196449,0.9705882352941176,0.4166666666666667,8.5,3.0,11.0,2.0114285714285716,0.08823529411764706,0.4114285714285714,-1.3257142857142856,1.92,1.0971428571428572,True,0.319047619047619,93.28039944545382,5,0,5.668571428571428,0.6170212765957447,8.594285714285714,-5.257142857142857,False,False,False,False,0.4114285714285714,0.4114285714285714,323.68352614055004,13,3,short,3,target,stop,-2.0,-1.0,False,2021
18,False,5273.0,5270.5,2.5,5278.0,2021-08-26,99.0,99.0,1.003206822077377,140.74074074074073,88.13559322033899,228.87633396107972,24.842410816,24.76300028,0.9968034287578541,0.7436724565756824,0.0,0.6923076923076923,4.75,3.25,6.25,1.6949152542372883,0.42105263157894735,0.33898305084745767,-0.7457627118644069,-3.932203389830509,,False,0.4,39.76180041524093,1,0,-4.3389830508474585,0.10843373493975904,5.627118644067798,-1.016949152542373,True,True,True,True,1.9661016949152545,1.9661016949152545,56.548659623683335,9,3,long,0,none,stop,-2.5,-1.0,False,2021
35,False,5271.75,5267.5,4.25,5280.25,2021-08-26,98.81656804733728,97.6470588235294,0.7336466642827525,128.57142857142858,146.78899082568807,275.36041939711663,69.025725582,94.085789444,1.363053972279213,0.738022230739747,0.05555555555555555,0.8,4.5,5.0,5.25,1.5412844036697249,1.0,0.0,-0.14678899082568808,-0.5871559633027523,-2.7889908256880735,True,0.12,83.21309009086839,5,6,-5.064220183486238,0.16842105263157894,6.972477064220183,-1.1009174311926606,True,True,True,True,2.4954128440366974,2.4954128440366974,81.56562682691667,9,3,long,1,stop,eb_scr,-2.25,-0.5294117647058824,False,2021
41,False,5267.25,5264.5,2.75,5272.75,2021-08-26,99.0,96.49122807017544,0.7214609600455307,97.5609756097561,110.76923076923077,208.33020637898687,69.529857098,96.373693032,1.38607638580595,0.9698297828967486,0.2,0.5555555555555556,3.75,4.5,4.75,1.1692307692307693,1.0,0.06153846153846154,-0.36923076923076925,-1.1076923076923078,-2.646153846153846,True,0.1794871794871795,89.25772902945894,4,0,-5.3538461538461535,0.09345794392523364,6.584615384615384,-0.9230769230769231,True,True,True,True,3.2,3.2,92.24002319968334,10,3,long,2,eb_scr,eb_scr,-0.25,-0.09090909090909091,False,2021
17,True,5289.0,5292.0,3.0,5283.0,2021-08-27,99.0,95.88014981273409,0.5601215061535489,114.28571428571429,62.745098039215684,177.03081232492997,30.595085988,54.622230448,1.7853269139176116,0.9266831887649731,0.8571428571428571,0.3333333333333333,5.25,3.0,5.5,1.1503267973856208,0.5714285714285714,-0.1568627450980392,-0.47058823529411764,2.4052287581699345,,False,0.17222222222222222,74.58012325632455,4,0,3.1372549019607843,0.8405797101449275,3.607843137254902,1.411764705882353,True,True,True,False,1.9869281045751634,0.5228758169934641,33.14273772238333,9,4,short,0,none,stop,-3.0,-1.0,False,2021
1,True,5328.75,5331.5,2.75,5323.25,2021-09-03,99.0,98.01762114537445,0.8657557471539922,146.34146341463415,155.84415584415584,302.18561925879,24.702239158,28.532573118,1.1550601925396515,0.8602666666666666,0.6,0.3333333333333333,3.75,3.75,5.25,2.1818181818181817,0.6666666666666666,0.5194805194805194,-0.1038961038961039,,,False,,,0,-1,2.4935064935064934,0.5,2.0779220779220777,-4.987012987012987,False,False,False,False,2.7012987012987013,0.6233766233766234,0.56699831955,8,4,short,0,none,target,5.5,2.0,True,2021
38,False,5294.5,5291.25,3.25,5301.0,2021-09-08,98.51485148514851,97.04433497536945,0.8883316178419604,114.28571428571429,82.05128205128206,196.33699633699635,82.623011282,93.009197942,1.1257057386174294,1.1092028515878158,0.35294117647058826,1.0,4.25,3.0,5.25,1.4358974358974361,0.5294117647058824,0.20512820512820515,-0.27350427350427353,-0.27350427350427353,-5.6752136752136755,True,0.13513513513513514,90.11223141422467,4,6,-4.786324786324787,0.10619469026548672,7.7264957264957275,-0.9572649572649574,True,True,True,True,4.307692307692308,4.307692307692308,84.87148701405,9,2,long,0,none,target,6.5,2.0,True,2021
64,False,5301.75,5296.25,5.5,5312.75,2021-09-08,99.0,98.50746268656717,0.4811966109190486,150.9433962264151,168.42105263157896,319.36444885799403,31.942252562,66.380876002,2.0781526247453757,0.8829763744756017,0.05,0.875,5.0,6.0,6.75,1.8947368421052635,0.9,0.4210526315789474,0.9824561403508774,0.5614035087719299,-0.5614035087719299,True,0.06,83.2271982463316,1,6,-2.877192982456141,0.36283185840707965,7.929824561403509,-0.9824561403508774,False,False,False,True,2.385964912280702,2.385964912280702,151.84707946858333,11,2,long,1,target,eb_scr,-2.25,-0.4090909090909091,False,2021
34,False,5281.75,5276.75,5.0,5291.75,2021-09-10,98.57142857142857,99.0,2.5737455463659114,200.0,123.45679012345678,323.4567901234568,70.01633898,27.204064162,0.38853879763366056,0.7944484760522497,0.02702702702702703,0.76,9.25,6.25,11.0,2.1728395061728394,0.5135135135135135,0.2962962962962963,-0.7901234567901234,-0.5432098765432098,-2.567901234567901,True,0.09523809523809523,70.98848614900467,0,6,-6.320987654320987,0.11515151515151516,8.148148148148149,4.395061728395062,True,True,True,True,1.2839506172839505,1.2839506172839505,85.03755452745,9,4,long,0,none,stop,-5.0,-1.0,False,2021
25,False,5267.5,5264.75,2.75,5273.0,2021-09-13,98.13664596273291,99.0,4.025323102773969,226.08695652173913,94.11764705882354,320.20460358056266,43.909959746,10.908431106,0.24842726272354895,1.1480656268989264,0.07692307692307693,0.5555555555555556,9.75,4.5,12.5,2.6143790849673203,0.20512820512820512,0.5228758169934641,-1.9869281045751634,-2.3006535947712417,-3.5555555555555554,True,0.13333333333333333,86.08170255011844,1,6,-4.601307189542483,0.09259259259259259,5.647058823529412,5.96078431372549,True,True,True,False,0.47058823529411764,0.47058823529411764,31.654865344416667,9,0,long,0,none,stop,-2.75,-1.0,False,2021
20,False,5259.25,5256.5,2.75,5264.75,2021-09-14,99.0,97.90419161676647,0.9334075653995354,198.1651376146789,94.48818897637796,292.65332659105684,38.952958818,41.731993892,1.0713433628234634,0.7427675500708072,0.18518518518518517,0.6666666666666666,6.75,3.75,7.5,1.889763779527559,0.48148148148148145,0.12598425196850394,-1.0708661417322836,-2.267716535433071,-5.921259842519685,True,0.4768211920529801,77.46044539411147,1,1,-6.299212598425197,0.08849557522123894,7.118110236220472,2.8346456692913384,True,True,True,False,0.8818897637795275,0.8818897637795275,30.418722678349997,9,1,long,0,none,stop,-2.75,-1.0,False,2021
21,True,5256.5,5260.75,4.25,5248.0,2021-09-14,97.90419161676647,96.71641791044776,0.8802873554539785,94.48818897637796,126.98412698412699,221.47231596050494,41.731993892,47.407239958,1.1359926889831147,1.0849788914612557,0.6666666666666666,0.25,3.75,5.0,5.5,1.3968253968253967,0.9333333333333333,-0.06349206349206349,0.5079365079365079,-2.984126984126984,-6.031746031746032,False,0.5123456790123457,82.87494432801338,2,0,-7.0476190476190474,0.04201680672268908,7.555555555555555,2.857142857142857,False,False,False,False,1.0793650793650793,1.0793650793650793,31.116312893816666,9,1,short,1,stop,stop,-4.25,-1.0,False,2021
57,True,5243.75,5246.25,2.5,5238.75,2021-09-17,96.58119658119658,96.59574468085107,1.0311063599171986,186.04651162790697,73.2394366197183,259.28594824762524,92.53104888,89.73957729,0.9698320550367893,1.0455453455852977,0.9666666666666667,0.3076923076923077,7.5,3.25,10.5,2.3661971830985915,0.06666666666666667,0.6197183098591549,-1.8028169014084507,1.2394366197183098,-0.3380281690140845,False,0.05813953488372093,85.07106403239679,1,2,-4.732394366197183,0.296551724137931,8.169014084507042,-1.5211267605633803,False,False,False,False,0.3380281690140845,0.3380281690140845,104.75864599091666,10,4,short,0,none,eb_scr,-0.75,-0.3,False,2021
64,False,5235.0,5231.0,4.0,5243.0,2021-09-17,97.87234042553192,96.82539682539682,0.8789584782375319,73.2824427480916,98.46153846153847,171.74398120963008,77.985280036,88.724646234,1.137710170342947,0.9405114696520689,0.25,0.9375,3.0,4.0,4.25,1.0461538461538462,1.0,0.24615384615384617,0.3076923076923077,-2.3384615384615386,-0.24615384615384617,True,0.006289308176100629,87.46181540438224,3,2,-7.323076923076923,0.09868421052631579,9.353846153846154,-1.6615384615384616,True,True,True,True,1.7846153846153847,1.7846153846153847,122.54840945625,10,4,long,1,eb_scr,target,8.0,2.0,True,2021
2,False,5160.0,5153.5,6.5,5173.0,2021-09-20,97.5051975051975,99.0,1.6007907731261481,101.69491525423729,152.06611570247935,253.76103095671664,30.730019932,19.196774774,0.6246912568387202,1.1757747203291757,0.13333333333333333,1.0,3.75,5.75,6.5,1.7190082644628102,0.8666666666666667,-0.1322314049586777,0.6611570247933886,,,False,,,1,0,-0.8595041322314051,0.8928571428571429,1.8512396694214879,-16.06611570247934,True,True,True,True,16.000000000000004,16.000000000000004,1.0388846079833334,8,0,long,0,none,target,13.0,2.0,True,2021
34,True,5167.75,5172.5,4.75,5158.25,2021-09-20,98.11320754716981,98.11827956989248,1.010021369818374,90.8108108108108,108.10810810810811,198.9189189189189,41.594912726,41.182210564,0.9900780615956907,0.9259212359123717,1.0,0.28,5.25,6.25,6.5,1.1243243243243244,1.0,0.043243243243243246,0.2594594594594595,-0.8648648648648649,-0.7351351351351352,False,0.05194805194805195,90.36021037845767,3,2,0.7783783783783784,0.5283018867924528,4.583783783783784,-10.508108108108107,False,False,False,True,,9.124324324324323,31.11435739295,9,0,short,1,target,rev,3.25,0.6842105263157895,True,2021
36,False,5164.5,5161.25,3.25,5171.0,2021-09-20,98.65951742627345,97.86096256684492,0.9477438126252353,96.7032967032967,73.11827956989248,169.82157627318918,37.91687806,40.00751844,1.0551374608608797,1.1397957897390647,0.045454545454545456,0.7058823529411765,5.5,4.25,7.5,1.2903225806451615,0.45454545454545453,0.30107526881720437,-0.5591397849462366,-0.9462365591397851,-2.1075268817204305,True,0.1085972850678733,90.98054263803849,5,0,0.21505376344086025,0.4056603773584906,4.559139784946237,-10.451612903225808,True,False,False,True,9.63440860215054,9.63440860215054,32.43366713955,9,0,long,2,rev,eb_scr,-0.25,-0.07692307692307693,False,2021
75,True,5159.25,5162.5,3.25,5152.75,2021-09-20,99.0,97.07112970711297,0.847756766919988,151.63398692810458,100.0,251.63398692810458,69.453630774,81.926365538,1.1795836247148244,0.8438389589263928,0.9310344827586207,0.3684210526315789,7.25,4.75,10.5,2.210526315789474,0.2413793103448276,0.631578947368421,-1.4210526315789473,-0.21052631578947367,-0.5789473684210527,False,0.05970149253731343,86.24631460456031,2,3,-0.8421052631578947,0.28205128205128205,6.157894736842105,-12.789473684210526,False,False,False,True,,12.894736842105264,94.71023939155,10,0,short,3,eb_scr,stop,-3.25,-1.0,False,2021
94,False,5147.25,5144.75,2.5,5152.25,2021-09-20,99.0,99.0,1.723302102153701,79.43262411347517,99.2248062015504,178.65743031502558,93.917394152,54.498508436,0.5802813092087845,1.3303502694380291,0.42857142857142855,0.5625,3.5,4.0,6.0,1.4883720930232558,0.5,0.5581395348837209,-0.8062015503875969,-1.9844961240310077,-2.852713178294574,True,0.2573099415204678,84.81214569471112,4,6,-3.9689922480620154,0.06382978723404255,8.744186046511627,-15.069767441860465,True,True,True,True,18.170542635658915,18.170542635658915,142.12971460541667,10,0,long,4,stop,rev,0.0,0.0,False,2021
95,True,5147.25,5150.0,2.75,5141.75,2021-09-20,99.0,96.27329192546584,0.4007312179037897,99.2248062015504,89.65517241379311,188.8799786153435,54.498508436,135.997661278,2.4954382272261277,0.8352983725135624,0.5625,0.23076923076923078,4.0,3.25,5.0,1.3793103448275863,0.625,0.20689655172413796,0.4137931034482759,-1.517241379310345,-3.3103448275862073,False,0.3924050632911392,84.91566536344817,5,0,-4.413793103448277,0.06382978723404255,9.724137931034484,-16.758620689655174,False,False,False,True,,20.20689655172414,143.03802308218334,10,0,short,5,rev,target,5.5,2.0,True,2021
163,False,5115.25,5105.75,9.5,5134.25,2021-09-20,95.83333333333333,99.0,2.3696076183711483,105.66037735849056,186.82634730538922,292.4867246638798,110.277332932,46.53822518,0.42201079716623846,0.8398595733189306,0.047619047619047616,0.9487179487179487,5.25,9.75,10.0,1.9161676646706587,1.0,0.19161676646706588,0.9580838323353293,0.7664670658682635,-1.6766467065868262,True,0.0867579908675799,93.72076935828292,4,2,-9.197604790419161,0.12457912457912458,14.22754491017964,-11.640718562874252,True,True,True,True,20.167664670658684,20.167664670658684,326.74750097035,13,0,long,6,target,rev,-2.25,-0.23684210526315788,False,2021
