book,rank,rule,solo_train,solo_test,marginal_train,marginal_test,action,cum_train,cum_test,reject_reason
ic,34,skip_event_if_credit_above_6,2722,1133,-10180,-4342,REJECTED,27184,32840,marginal_test<=0 (redundant with stack)
ic,35,skip_vixchg>2,819,1125,4387,-1464,REJECTED,27184,32840,marginal_test<=0 (redundant with stack)
ic,36,loss<-2000_stand2d,3280,1111,-2301,-594,REJECTED,27184,32840,marginal_test<=0 (redundant with stack)
ic,37,skip_event&vix>25,3767,953,524,0,REJECTED,27184,32840,marginal_test<=0 (redundant with stack)
ic,38,skip_event_if_credit_below_6,9800,36,-519,-5868,REJECTED,27184,32840,marginal_test<=0 (redundant with stack)
ic,39,skip_vix/10dma>1.15,1942,8872,-2450,-2817,PRUNED_POST,29634,35657,negative leave-one-rule-out test marginal in final stack
ic,40,skip_vix>30,892,7723,-2899,-2247,PRUNED_POST,32533,37904,negative leave-one-rule-out test marginal in final stack
puts_band,1,skip_day_if_total_cr<1.0,1165,5145,1165,5145,ADDED,1165,5145,
puts_band,2,breaker_-1000_MID,3183,3966,2196,2213,ADDED,3361,7358,
puts_band,3,fomc_close_1230_UPPERBOUND,2172,2943,2172,1626,ADDED,5533,8985,
puts_band,4,skip_day_if_cr_p<0.5,502,1586,443,1025,ADDED,5976,10010,
puts_band,5,prior_range>=4.0,887,1330,887,-147,REJECTED,5976,10010,marginal_test<=0 (redundant with stack)
puts_band,6,skip_day_if_cr_c>4.0,148,905,-162,-260,REJECTED,5976,10010,marginal_test<=0 (redundant with stack)
fly,1,band_p_0.5-2.5,74949,55575,74949,55575,ADDED,74949,55575,
fly,2,skip_day_if_total_cr>3.0,51869,55530,156,11855,ADDED,75105,67430,
fly,3,band_c_0.5-2.5,62094,55425,20003,3613,ADDED,95108,71043,
fly,4,|gap|>=0.3,58107,50459,79,126,ADDED,95187,71169,
fly,5,skip_day_if_cr_p>2.0,47234,37670,2274,0,REJECTED,95187,71169,marginal_test<=0 (redundant with stack)
fly,6,skip_day_if_cr_c<0.5,33279,37624,0,0,REJECTED,95187,71169,marginal_test<=0 (redundant with stack)
fly,7,skip_day_if_total_cr>4.0,42077,36556,0,0,REJECTED,95187,71169,marginal_test<=0 (redundant with stack)
fly,8,skip_day_if_cr_p>2.5,35011,35896,0,0,REJECTED,95187,71169,marginal_test<=0 (redundant with stack)
fly,9,|prior_ret|>=1.0,60109,34610,9977,2516,ADDED,105164,73685,
fly,10,skip_day_if_cr_p>3.0,31808,34517,0,0,REJECTED,105164,73685,marginal_test<=0 (redundant with stack)
fly,11,skip_day_if_total_cr>5.0,24307,32651,0,0,REJECTED,105164,73685,marginal_test<=0 (redundant with stack)
fly,12,prior_ret<=-1.0,30853,29832,0,0,REJECTED,105164,73685,marginal_test<=0 (redundant with stack)
fly,13,skip_vix/5dma>1.10,17257,27193,1359,-1124,REJECTED,105164,73685,marginal_test<=0 (redundant with stack)
fly,14,skip_day_if_total_cr>6.0,16862,26114,0,0,REJECTED,105164,73685,marginal_test<=0 (redundant with stack)
fly,15,skip_vix/10dma>1.15,10792,24029,-107,-1124,REJECTED,105164,73685,marginal_test<=0 (redundant with stack)
fly,16,skip_day_if_cr_p>4.0,17241,23737,0,0,REJECTED,105164,73685,marginal_test<=0 (redundant with stack)
fly,17,skip_vix>25,37188,23616,3982,1026,ADDED,109146,74711,
fly,18,vixprior>25_standdown,37188,23616,0,0,REJECTED,109146,74711,marginal_test<=0 (redundant with stack)
fly,19,loss<-1000_stand2d,24417,22418,402,0,REJECTED,109146,74711,marginal_test<=0 (redundant with stack)
fly,20,skip_vixchg>2,14963,21326,0,-3190,REJECTED,109146,74711,marginal_test<=0 (redundant with stack)
fly,21,skip_accel2d>3,15238,20609,0,-1360,REJECTED,109146,74711,marginal_test<=0 (redundant with stack)
fly,22,skip_day_if_cr_c>2.0,33474,20395,919,-47,REJECTED,109146,74711,marginal_test<=0 (redundant with stack)
fly,23,skip_day_if_cr_p<0.5,39938,19679,0,0,REJECTED,109146,74711,marginal_test<=0 (redundant with stack)
fly,24,skip_day_if_cr_c>2.5,28815,17801,0,0,REJECTED,109146,74711,marginal_test<=0 (redundant with stack)
fly,25,loss<-1000_until_vixdown,10567,15538,0,0,REJECTED,109146,74711,marginal_test<=0 (redundant with stack)
fly,26,skip_vixchg>3,8029,14241,0,0,REJECTED,109146,74711,marginal_test<=0 (redundant with stack)
fly,27,skip_day_if_cr_c>3.0,25233,13092,0,0,REJECTED,109146,74711,marginal_test<=0 (redundant with stack)
fly,28,skip_2day_both_up1,12122,12810,-107,-1360,REJECTED,109146,74711,marginal_test<=0 (redundant with stack)
fly,29,skip_accel2d>5,2329,11878,0,0,REJECTED,109146,74711,marginal_test<=0 (redundant with stack)
fly,30,skip_vix>30,9968,11716,0,0,REJECTED,109146,74711,marginal_test<=0 (redundant with stack)
fly,31,vixprior>30_standdown,9968,11716,0,0,REJECTED,109146,74711,marginal_test<=0 (redundant with stack)
fly,32,skip_vix/10dma>1.25,2078,11665,0,0,REJECTED,109146,74711,marginal_test<=0 (redundant with stack)
fly,33,skip_vix/5dma>1.20,23,10860,0,0,REJECTED,109146,74711,marginal_test<=0 (redundant with stack)
fly,34,skip_day_if_cr_c>4.0,11774,9853,0,0,REJECTED,109146,74711,marginal_test<=0 (redundant with stack)
fly,35,loss<-1500_stand2d,9867,8929,0,0,REJECTED,109146,74711,marginal_test<=0 (redundant with stack)
fly,36,skip_event_if_credit_above_3,17385,8215,0,0,REJECTED,109146,74711,marginal_test<=0 (redundant with stack)
fly,37,fomc_close_1230_UPPERBOUND,10720,5971,1466,293,ADDED,110612,75004,
fly,38,loss<-2000_stand2d,6703,5791,0,0,REJECTED,110612,75004,marginal_test<=0 (redundant with stack)
fly,39,skip_ANY_EVENT,28421,5507,2623,-1170,REJECTED,110612,75004,marginal_test<=0 (redundant with stack)
fly,40,skip_event_if_credit_above_2,19757,5061,676,-380,REJECTED,110612,75004,marginal_test<=0 (redundant with stack)
fly,41,loss<-2000_stand1d,3421,4205,0,0,REJECTED,110612,75004,marginal_test<=0 (redundant with stack)
fly,42,skip_event_if_credit_above_5,16068,4051,0,0,REJECTED,110612,75004,marginal_test<=0 (redundant with stack)
fly,43,skip_event_if_credit_above_6,12540,3885,0,0,REJECTED,110612,75004,marginal_test<=0 (redundant with stack)
fly,44,skip_event_if_credit_above_4,18047,3304,0,0,REJECTED,110612,75004,marginal_test<=0 (redundant with stack)
fly,45,skip_day_if_total_cr<1.0,7278,2591,0,0,REJECTED,110612,75004,marginal_test<=0 (redundant with stack)
fly,46,skip_event&vix/5dma>1.10,2944,2563,0,0,REJECTED,110612,75004,marginal_test<=0 (redundant with stack)
fly,47,skip_callside_CPI,8213,2388,494,613,ADDED,111106,75617,
fly,48,skip_event&vixchg>2,622,2281,0,-1403,REJECTED,111106,75617,marginal_test<=0 (redundant with stack)
fly,49,skip_CPI,14748,2219,2129,-1403,REJECTED,111106,75617,marginal_test<=0 (redundant with stack)
fly,50,skip_event_if_credit_below_4,10374,2203,2129,-1783,REJECTED,111106,75617,marginal_test<=0 (redundant with stack)
fly,51,skip_FOMC,7661,2047,0,0,REJECTED,111106,75617,marginal_test<=0 (redundant with stack)
fly,52,skip_event&vix>25,9851,1669,0,0,REJECTED,111106,75617,marginal_test<=0 (redundant with stack)
fly,53,skip_event_if_credit_below_6,15881,1622,2129,-1783,REJECTED,111106,75617,marginal_test<=0 (redundant with stack)
fly,54,skip_event_if_credit_below_5,12353,1456,2129,-1783,REJECTED,111106,75617,marginal_test<=0 (redundant with stack)
fly,55,skip_NFP,6215,1241,0,-380,REJECTED,111106,75617,marginal_test<=0 (redundant with stack)
fly,56,skip_event_if_credit_below_2,8664,446,1226,-1403,REJECTED,111106,75617,marginal_test<=0 (redundant with stack)
fly,57,|gap|>=0.3,58107,50459,-29,-860,PRUNED_POST,111135,76477,negative leave-one-rule-out test marginal in final stack
fly,58,skip_day_if_total_cr>3.0,51869,55530,-2324,0,PRUNED_POST,113459,76477,negative leave-one-rule-out test marginal in final stack
