rule,book,removed,n_train,n_test,train_delta,test_delta,p_train,p_test,p_joint,p_bonf,top1_share_test,test_ex_april,test_ex_top1,n_april_skips,jaccard_vix25_test
skip_NFP,fly,day,30,18,6215,1241,0.4392,0.7228,0.6817075402790918,1.0,0.956,1601,55,1,0.02
skip_NFP,combined,day,30,18,10590,2342,0.1956,0.5482,0.34664627142562277,1.0,1.147,1562,-345,1,0.02
skip_ANY_EVENT,ic,day,81,50,12522,1169,0.0448,0.4114,0.09203815810384786,1.0,2.305,-891,-1526,2,0.037
skip_ANY_EVENT,fly,day,81,50,28421,5507,0.0124,0.7468,0.052617292643665305,1.0,0.288,5424,3921,2,0.037
skip_ANY_EVENT,combined,day,81,50,43208,5163,0.0018,0.6708,0.00932053467703728,1.0,1.202,3020,-1041,2,0.037
skip_callside_CPI,fly,fly_call_pnl,31,19,8213,2388,0.0752,0.453,0.1491891779002853,1.0,0.47,2478,1265,1,0.039
skip_callside_CPI,combined,allcall_pnl,31,19,9649,1042,0.1246,0.6074,0.27103361139363885,1.0,1.183,1376,-191,1,0.039
skip_flies_FOMC,combined,fly_pnl,21,13,7661,2047,0.1242,0.5374,0.24741564788643788,1.0,0.702,2047,611,0,0.0
skip_flies_CPI,combined,fly_pnl,31,19,14748,2219,0.0094,0.6306,0.03632534330622679,1.0,0.715,1776,633,1,0.039
skip_flies_NFP,combined,fly_pnl,30,18,6215,1241,0.4498,0.7238,0.690912080411868,1.0,0.956,1601,55,1,0.02
skip_flies_ANY_EVENT,combined,fly_pnl,81,50,28421,5507,0.0124,0.7418,0.05232679959291361,1.0,0.288,5424,3921,2,0.037
skip_event_if_credit_above_2,ic,day,65,27,8475,3629,0.1094,0.1606,0.08857879599393584,1.0,0.743,1569,934,2,0.052
skip_event_if_credit_above_2,fly,day,65,27,19757,5061,0.0798,0.4606,0.1581773515075295,1.0,0.313,4978,3475,2,0.052
skip_event_if_credit_above_2,combined,day,65,27,27298,8462,0.041,0.2642,0.05985041914464812,1.0,0.733,6319,2258,2,0.052
skip_event_if_credit_below_2,ic,day,16,23,4047,-2460,0.0908,0.7942,0.26173659059201787,1.0,,-2460,-3206,0,0.0
skip_event_if_credit_below_2,fly,day,16,23,8664,446,0.0176,0.8402,0.07710171075155549,1.0,3.22,446,-990,0,0.0
skip_event_if_credit_below_2,combined,day,16,23,15910,-3299,0.0034,0.9266,0.02129764592687025,1.0,,-3299,-5705,0,0.0
skip_event_if_credit_above_3,ic,day,58,21,6922,5606,0.155,0.0426,0.03975158653284335,1.0,0.481,3546,2911,2,0.058
skip_event_if_credit_above_3,fly,day,58,21,16842,8215,0.1118,0.105,0.06391696087813963,1.0,0.193,8132,6629,2,0.058
skip_event_if_credit_above_3,combined,day,58,21,22841,14395,0.072,0.027,0.01408040672180292,1.0,0.431,12252,8191,2,0.058
