date,strat,center,em,short_k,long_k,credit,exit_kind,exit_val,pnl,note
2026-08-28,eodfly_c,7730.99,,7730.0,7755.0,12.1,stop,14.3,-226.52,
2026-08-28,eodfly_p,7730.99,,7730.0,7705.0,7.5,stop,11.4,-396.52,
2026-08-28,eodic_c,7730.99,70.7,7800.0,7825.0,0.7,settle,0.0,66.74,
2026-08-28,eodic_p,7730.99,70.7,7660.0,7635.0,1.0,settle,0.0,96.74,
2026-08-28,openfly_c,7735.1,,7735.0,7760.0,10.1,stop,14.3,-426.52,
2026-08-28,openfly_p,7735.1,,7735.0,7710.0,8.1,stop,11.5,-346.52,
2026-08-28,openic_c,7735.17,70.7,7805.0,7830.0,0.25,settle,0.0,21.74,
2026-08-28,openic_p,7735.17,70.7,7665.0,7640.0,0.9,settle,0.0,86.74,
2026-08-31,eodfly_c,7711.76,,7710.0,7735.0,3.75,settle,0.0,371.74,
2026-08-31,eodfly_p,7711.76,,7710.0,7685.0,13.4,stop,18.0,-466.52,
2026-08-31,eodic_c,7711.76,70.1,7780.0,7805.0,0.05,settle,0.0,1.74,
2026-08-31,eodic_p,7711.76,70.1,7640.0,7615.0,0.95,settle,0.0,91.74,
2026-08-31,openfly_c,7675.43,,7675.0,7700.0,8.65,stop,8.05,53.48,
2026-08-31,openfly_p,7675.43,,7675.0,7650.0,7.2,stop,10.1,-296.52,
2026-08-31,openic_c,7697.52,70.1,7770.0,7795.0,0.0,settle,0.0,-3.26,
2026-08-31,openic_p,7697.52,70.1,7625.0,7600.0,0.65,settle,0.0,61.74,
