date,strat,short_k_live,long_k_live,credit_live,pnl_live,close_reason,short_k_bt,long_k_bt,credit_bt,exit_kind,pnl_bt,d_pnl,d_strike
2026-08-17,eodfly_c,7785.0,7810.0,8.5,847.4,expired,7785.0,7810.0,8.85,settle,881.74,-34.0,0.0
2026-08-17,eodfly_p,7785.0,7760.0,6.05,-336.30000000000007,level ACCEPTED: spot 7776 held below the 7785 short strike for 10min (>10) — the wall we sold did not hold,7785.0,7760.0,6.4,stop,-276.52,-60.0,0.0
2026-08-17,eodic_c,,,,,,7855.0,7880.0,0.05,settle,1.74,,
2026-08-17,eodic_p,7710.0,7685.0,0.2,17.4,expired,7715.0,7690.0,0.25,settle,21.74,-4.0,5.0
2026-08-17,openfly_c,7785.0,7810.0,6.65,662.4,expired,7775.0,7800.0,7.2,stop,108.48,554.0,10.0
2026-08-17,openfly_p,7785.0,7760.0,8.4,-101.3,level ACCEPTED: spot 7776 held below the 7785 short strike for 10min (>10) — the wall we sold did not hold,7775.0,7750.0,6.05,stop,-111.52,10.0,10.0
2026-08-17,openic_c,,,,,,7860.0,7885.0,-0.05,settle,-8.26,,
2026-08-17,openic_p,7715.0,7690.0,0.25,22.4,expired,7720.0,7695.0,0.25,settle,21.74,1.0,5.0
2026-08-18,eodfly_c,7745.0,7770.0,1.35,132.4,expired,7745.0,7770.0,1.55,settle,151.74,-19.0,0.0
2026-08-18,eodfly_p,7745.0,7720.0,18.9,-41.30000000000021,level ACCEPTED: spot 7710 held below the 7745 short strike for 10min (>10) — the wall we sold did not hold,7745.0,7720.0,18.4,stop,33.48,-75.0,0.0
2026-08-18,eodic_c,7825.0,7850.0,0.0,-2.6,expired,7820.0,7845.0,-0.05,settle,-8.26,6.0,5.0
2026-08-18,eodic_p,7665.0,7640.0,1.5999999999999999,157.4,expired,7670.0,7645.0,2.1,settle,206.74,-49.0,5.0
2026-08-18,openfly_c,7710.0,7735.0,10.1,1007.4,expired,7710.0,7735.0,8.55,settle,851.74,156.0,0.0
2026-08-18,openfly_p,7710.0,7685.0,9.5,-31.30000000000007,level ACCEPTED: spot 7702 held below the 7710 short strike for 10min (>10) — the wall we sold did not hold,7710.0,7685.0,7.2,stop,-76.52,45.0,0.0
2026-08-18,openic_c,,,,,,7775.0,7800.0,0.05,settle,1.74,,
2026-08-18,openic_p,7630.0,7605.0,0.5,47.4,expired,7625.0,7600.0,0.1,settle,6.74,41.0,5.0
2026-08-19,eodfly_c,7690.0,7715.0,19.0,218.69999999999993,level ACCEPTED: spot 7716 held above the 7690 short strike for 10min (>10) — the wall we sold did not hold,7690.0,7715.0,18.7,stop,173.48,45.0,0.0
2026-08-19,eodfly_p,7690.0,7665.0,1.9,187.4,expired,7690.0,7665.0,1.9,settle,186.74,1.0,0.0
2026-08-19,eodic_c,7770.0,7795.0,0.75,72.4,expired,7770.0,7795.0,0.6,settle,56.74,16.0,0.0
2026-08-19,eodic_p,,,,,,7615.0,7590.0,0.0,settle,-3.26,,
2026-08-19,openfly_c,7715.0,7740.0,9.5,947.4,expired,7715.0,7740.0,9.3,stop,-456.52,1404.0,0.0
2026-08-19,openfly_p,7715.0,7690.0,7.0,-4.6,expired,7715.0,7690.0,7.0,stop,118.48,-123.0,0.0
2026-08-19,openic_c,7795.0,7820.0,0.0,-2.6,expired,7795.0,7820.0,0.0,settle,-3.26,1.0,0.0
2026-08-19,openic_p,7640.0,7615.0,0.2,17.4,expired,7640.0,7615.0,0.2,settle,16.74,1.0,0.0
2026-08-20,eodfly_c,7710.0,7735.0,3.15,312.4,expired,7710.0,7735.0,2.4,settle,236.74,76.0,0.0
2026-08-20,eodfly_p,7710.0,7685.0,14.999999999999998,258.69999999999976,level ACCEPTED: spot 7695 held below the 7710 short strike for 10min (>10) — the wall we sold did not hold,7710.0,7685.0,16.7,stop,213.48,45.0,0.0
2026-08-20,eodic_c,,,,,,7780.0,7805.0,0.0,settle,-3.26,,
2026-08-20,eodic_p,7635.0,7610.0,1.65,162.4,expired,7635.0,7610.0,1.9,settle,186.74,-24.0,0.0
2026-08-20,openfly_c,7680.0,7705.0,10.9,-321.29999999999995,level ACCEPTED: spot 7695 held above the 7680 short strike for 10min (>10) — the wall we sold did not hold,7680.0,7705.0,9.2,stop,-426.52,105.0,0.0
2026-08-20,openfly_p,7680.0,7655.0,7.1,-271.3000000000001,level ACCEPTED: spot 7673 held below the 7680 short strike for 11min (>10) — the wall we sold did not hold,7680.0,7655.0,7.9,stop,-146.52,-125.0,0.0
2026-08-20,openic_c,7755.0,7780.0,0.15,12.4,expired,7765.0,7790.0,0.05,settle,1.74,11.0,10.0
2026-08-20,openic_p,7610.0,7585.0,0.5,47.4,expired,7620.0,7595.0,0.85,settle,81.74,-34.0,10.0
2026-08-21,eodfly_c,7640.0,7665.0,18.6,-71.29999999999993,level ACCEPTED: spot 7670 held above the 7640 short strike for 10min (>10) — the wall we sold did not hold,7640.0,7665.0,18.6,stop,3.48,-75.0,0.0
2026-08-21,eodfly_p,7640.0,7615.0,2.5,247.4,expired,7640.0,7615.0,2.3,settle,226.74,21.0,0.0
2026-08-21,eodic_c,7715.0,7740.0,1.2,117.4,expired,7720.0,7745.0,0.95,settle,91.74,26.0,5.0
2026-08-21,eodic_p,7565.0,7540.0,0.1,7.4,expired,7565.0,7540.0,0.1,settle,6.74,1.0,0.0
2026-08-21,openfly_c,7675.0,7700.0,7.1,-131.30000000000007,level ACCEPTED: spot 7677 held above the 7675 short strike for 10min (>10) — the wall we sold did not hold,7670.0,7695.0,7.65,stop,-461.52,330.0,5.0
2026-08-21,openfly_p,7675.0,7650.0,9.0,38.70000000000004,level ACCEPTED: spot 7670 held below the 7675 short strike for 11min (>10) — the wall we sold did not hold,7670.0,7645.0,7.7,stop,33.48,5.0,5.0
2026-08-21,openic_c,7750.0,7775.0,0.15,12.4,expired,7745.0,7770.0,0.05,settle,1.74,11.0,5.0
2026-08-21,openic_p,7600.0,7575.0,0.55,52.400000000000006,expired,7590.0,7565.0,0.15,settle,11.74,41.0,10.0
2026-08-24,eodfly_c,7675.0,7700.0,2.5,247.4,expired,7675.0,7700.0,3.5,settle,346.74,-99.0,0.0
2026-08-24,eodfly_p,7675.0,7650.0,13.6,-501.3000000000002,level ACCEPTED: spot 7644 held below the 7675 short strike for 10min (>10) — the wall we sold did not hold,7675.0,7650.0,13.7,stop,-116.52,-385.0,0.0
2026-08-24,eodic_c,,,,,,7750.0,7775.0,0.05,settle,1.74,,
2026-08-24,eodic_p,7595.0,7570.0,0.6,57.4,expired,7600.0,7575.0,0.8,settle,76.74,-19.0,5.0
2026-08-24,openfly_c,7665.0,7690.0,4.95,-196.30000000000004,level ACCEPTED: spot 7667 held above the 7665 short strike for 10min (>10) — the wall we sold did not hold,7650.0,7675.0,7.7,stop,-261.52,65.0,15.0
2026-08-24,openfly_p,7665.0,7640.0,11.1,-411.29999999999995,level ACCEPTED: spot 7644 held below the 7665 short strike for 10min (>10) — the wall we sold did not hold,7650.0,7625.0,7.5,stop,-6.52,-405.0,15.0
2026-08-24,openic_c,,,,,,7735.0,7760.0,0.0,settle,-3.26,,
2026-08-24,openic_p,7585.0,7560.0,0.3,27.4,expired,7590.0,7565.0,0.35,settle,31.74,-4.0,5.0
2026-08-25,eodfly_c,7655.0,7680.0,17.8,-11.299999999999788,level ACCEPTED: spot 7678 held above the 7655 short strike for 10min (>10) — the wall we sold did not hold,7655.0,7680.0,-10.4,,,,0.0
2026-08-25,eodfly_p,7655.0,7630.0,1.95,192.4,expired,7655.0,7630.0,-17.4,,,,0.0
2026-08-25,eodic_c,7730.0,7755.0,0.25,22.4,expired,7730.0,7755.0,-8.2,settle,-823.26,846.0,0.0
2026-08-25,eodic_p,,,,,,7575.0,7550.0,-8.4,settle,-843.26,,
2026-08-25,openfly_c,7670.0,7695.0,8.3,58.70000000000006,level ACCEPTED: spot 7674 held above the 7670 short strike for 10min (>10) — the wall we sold did not hold,7675.0,7700.0,6.9,settle,458.74,-400.0,5.0
2026-08-25,openfly_p,7670.0,7645.0,6.05,-206.29999999999998,level ACCEPTED: spot 7665 held below the 7670 short strike for 10min (>10) — the wall we sold did not hold,7675.0,7650.0,7.6,stop,-126.52,-80.0,5.0
2026-08-25,openic_c,7750.0,7775.0,0.0,-2.6,expired,7755.0,7780.0,0.05,settle,1.74,-4.0,5.0
2026-08-25,openic_p,,,,,,7600.0,7575.0,0.1,settle,6.74,,
2026-08-26,eodfly_c,7675.0,7700.0,6.45,-616.3,level ACCEPTED: spot 7686 held above the 7675 short strike for 10min (>10) — the wall we sold did not hold,7675.0,7700.0,5.25,stop,-691.52,75.0,0.0
2026-08-26,eodfly_p,7675.0,7650.0,8.4,-81.29999999999988,level ACCEPTED: spot 7669 held below the 7675 short strike for 10min (>10) — the wall we sold did not hold,7675.0,7650.0,10.2,stop,293.48,-375.0,0.0
2026-08-26,eodic_c,,,,,,7750.0,7775.0,0.0,settle,-3.26,,
2026-08-26,eodic_p,7600.0,7575.0,0.35,32.4,expired,7605.0,7580.0,0.4,settle,36.74,-4.0,5.0
2026-08-26,openfly_c,7685.0,7710.0,7.6,238.69999999999993,level ACCEPTED: spot 7688 held above the 7685 short strike for 10min (>10) — the wall we sold did not hold,7685.0,7710.0,7.95,stop,278.48,-40.0,0.0
2026-08-26,openfly_p,7685.0,7660.0,6.5,-261.29999999999995,level ACCEPTED: spot 7679 held below the 7685 short strike for 10min (>10) — the wall we sold did not hold,7685.0,7660.0,6.2,stop,-276.52,15.0,0.0
2026-08-26,openic_c,,,,,,7740.0,7765.0,0.1,settle,6.74,,
2026-08-26,openic_p,,,,,,7590.0,7565.0,0.0,settle,-3.26,,
2026-08-27,eodfly_c,7675.0,7700.0,14.600000000000001,-281.2999999999997,level ACCEPTED: spot 7700 held above the 7675 short strike for 10min (>10) — the wall we sold did not hold,7675.0,7700.0,16.8,stop,-6.52,-275.0,0.0
2026-08-27,eodfly_p,7675.0,7650.0,3.15,312.4,expired,7675.0,7650.0,3.25,settle,321.74,-9.0,0.0
2026-08-27,eodic_c,7750.0,7775.0,0.95,92.4,expired,7750.0,7775.0,1.05,settle,101.74,-9.0,0.0
2026-08-27,eodic_p,,,,,,7600.0,7575.0,0.1,settle,6.74,,
2026-08-27,openfly_c,7705.0,7730.0,9.700000000000001,-191.29999999999987,level ACCEPTED: spot 7713 held above the 7705 short strike for 10min (>10) — the wall we sold did not hold,7705.0,7730.0,9.4,stop,-236.52,45.0,0.0
2026-08-27,openfly_p,7705.0,7680.0,7.1,707.4,expired,7705.0,7680.0,7.6,settle,756.74,-49.0,0.0
2026-08-27,openic_c,,,,,,7785.0,7810.0,0.05,settle,1.74,,
2026-08-27,openic_p,7635.0,7610.0,0.3,27.4,expired,7635.0,7610.0,0.4,settle,36.74,-9.0,0.0
2026-08-28,eodfly_c,7730.0,7755.0,11.9,-231.2999999999999,level ACCEPTED: spot 7744 held above the 7730 short strike for 10min (>10) — the wall we sold did not hold,7730.0,7755.0,12.1,stop,-226.52,-5.0,0.0
2026-08-28,eodfly_p,7730.0,7705.0,7.6,-481.30000000000007,level ACCEPTED: spot 7714 held below the 7730 short strike for 10min (>10) — the wall we sold did not hold,7730.0,7705.0,7.5,stop,-396.52,-85.0,0.0
2026-08-28,eodic_c,7800.0,7825.0,0.55,52.400000000000006,expired,7800.0,7825.0,0.7,settle,66.74,-14.0,0.0
2026-08-28,eodic_p,7660.0,7635.0,0.95,92.4,expired,7660.0,7635.0,1.0,settle,96.74,-4.0,0.0
2026-08-28,openfly_c,7735.0,7760.0,8.600000000000001,-551.2999999999997,level ACCEPTED: spot 7747 held above the 7735 short strike for 10min (>10) — the wall we sold did not hold,7735.0,7760.0,10.1,stop,-426.52,-125.0,0.0
2026-08-28,openfly_p,7735.0,7710.0,10.6,218.69999999999993,level ACCEPTED: spot 7734 held below the 7735 short strike for 10min (>10) — the wall we sold did not hold,7735.0,7710.0,8.1,stop,-346.52,565.0,0.0
2026-08-28,openic_c,7805.0,7830.0,0.2,17.4,expired,7805.0,7830.0,0.25,settle,21.74,-4.0,0.0
2026-08-28,openic_p,7665.0,7640.0,1.0,97.4,expired,7665.0,7640.0,0.9,settle,86.74,11.0,0.0
2026-08-31,eodfly_c,7710.0,7735.0,2.7,267.4,expired,7710.0,7735.0,3.75,settle,371.74,-104.0,0.0
2026-08-31,eodfly_p,7710.0,7685.0,13.7,-501.3,level ACCEPTED: spot 7678 held below the 7710 short strike for 10min (>10) — the wall we sold did not hold,7710.0,7685.0,13.4,stop,-466.52,-35.0,0.0
2026-08-31,eodic_c,,,,,,7780.0,7805.0,0.05,settle,1.74,,
2026-08-31,eodic_p,7640.0,7615.0,0.9999999999999999,97.39999999999999,expired,7640.0,7615.0,0.95,settle,91.74,6.0,0.0
2026-08-31,openfly_c,7690.0,7715.0,5.7,567.4,expired,7675.0,7700.0,8.65,stop,53.48,514.0,15.0
2026-08-31,openfly_p,7690.0,7665.0,10.4,-81.29999999999988,level ACCEPTED: spot 7680 held below the 7690 short strike for 13min (>10) — the wall we sold did not hold,7675.0,7650.0,7.2,stop,-296.52,215.0,15.0
2026-08-31,openic_c,7765.0,7790.0,0.1,7.4,expired,7770.0,7795.0,0.0,settle,-3.26,11.0,5.0
2026-08-31,openic_p,7615.0,7590.0,0.45,42.4,expired,7625.0,7600.0,0.65,settle,61.74,-19.0,10.0
