date,strat,method,center,em,short_k,long_k,credit,exit_kind,exit_val,pnl,note
2025-06-04,eodic_p,vix252,5970.37,66.5,5905.0,5880.0,0.5,settle,0.0,46.74,
2025-06-04,eodic_p,vix365,5970.37,55.3,5915.0,5890.0,0.75,settle,0.0,71.74,
2025-06-04,eodic_p,straddle,5970.37,27.3,5945.0,5920.0,2.15,settle,0.0,211.74,
2025-06-04,eodic_c,vix252,5970.37,66.5,6035.0,6060.0,0.45,settle,0.0,41.74,
2025-06-04,eodic_c,vix365,5970.37,55.3,6025.0,6050.0,0.95,settle,0.0,91.74,
2025-06-04,eodic_c,straddle,5970.37,27.3,6000.0,6025.0,4.45,settle,0.0,441.74,
2025-06-04,openic_p,vix252,5978.94,66.5,5910.0,5885.0,0.5,settle,0.0,46.74,
2025-06-04,openic_p,vix365,5978.94,55.3,5925.0,5900.0,1.05,settle,0.0,101.74,
2025-06-04,openic_p,straddle,5978.94,27.3,5950.0,5925.0,2.75,settle,0.0,271.74,
2025-06-04,openic_c,vix252,5978.94,66.5,6045.0,6070.0,0.15,settle,0.0,11.74,
2025-06-04,openic_c,vix365,5978.94,55.3,6035.0,6060.0,0.25,settle,0.0,21.74,
2025-06-04,openic_c,straddle,5978.94,27.3,6005.0,6030.0,2.25,settle,0.0,221.74,
2025-06-05,eodic_p,vix252,5970.81,66.2,5905.0,5880.0,0.6,settle,0.0,56.74,
2025-06-05,eodic_p,vix365,5970.81,55.0,5915.0,5890.0,0.9,settle,0.0,86.74,
2025-06-05,eodic_p,straddle,5970.81,35.3,5935.0,5910.0,2.05,settle,0.0,201.74,
2025-06-05,eodic_c,vix252,5970.81,66.2,6035.0,6060.0,1.85,settle,0.0,181.74,
2025-06-05,eodic_c,vix365,5970.81,55.0,6025.0,6050.0,2.95,settle,0.0,291.74,
2025-06-05,eodic_c,straddle,5970.81,35.3,6005.0,6030.0,6.1,settle,0.0,606.74,
2025-06-05,openic_p,vix252,5985.67,66.2,5920.0,5895.0,3.15,settle,0.0,311.74,
2025-06-05,openic_p,vix365,5985.67,55.0,5930.0,5905.0,4.2,settle,0.0,416.74,
2025-06-05,openic_p,straddle,5985.67,35.3,5950.0,5925.0,7.6,stop,17.6,-1006.52,
2025-06-05,openic_c,vix252,5985.67,66.2,6050.0,6075.0,0.1,settle,0.0,6.74,
2025-06-05,openic_c,vix365,5985.67,55.0,6040.0,6065.0,0.2,settle,0.0,16.74,
2025-06-05,openic_c,straddle,5985.67,35.3,6020.0,6045.0,0.7,settle,0.0,66.74,
2025-06-06,eodic_p,vix252,5939.3,69.1,5870.0,5845.0,0.0,settle,0.0,-3.26,
2025-06-06,eodic_p,vix365,5939.3,57.5,5880.0,5855.0,0.1,settle,0.0,6.74,
2025-06-06,eodic_p,straddle,5939.3,31.2,5910.0,5885.0,0.35,settle,0.0,31.74,
2025-06-06,eodic_c,vix252,5939.3,69.1,6010.0,6035.0,5.55,settle,0.0,551.74,
2025-06-06,eodic_c,vix365,5939.3,57.5,5995.0,6020.0,9.7,stop,15.2,-556.52,
2025-06-06,eodic_c,straddle,5939.3,31.2,5970.0,5995.0,15.9,stop,20.0,-416.52,
2025-06-06,openic_p,vix252,5987.06,69.1,5920.0,5895.0,0.3,settle,0.0,26.74,
2025-06-06,openic_p,vix365,5987.06,57.5,5930.0,5905.0,0.45,settle,0.0,41.74,
2025-06-06,openic_p,straddle,5987.06,31.2,5955.0,5930.0,1.0,settle,0.0,96.74,
2025-06-06,openic_c,vix252,5987.06,69.1,6055.0,6080.0,0.55,settle,0.0,51.74,
2025-06-06,openic_c,vix365,5987.06,57.5,6045.0,6070.0,1.1,settle,0.0,106.74,
2025-06-06,openic_c,straddle,5987.06,31.2,6020.0,6045.0,5.5,settle,0.0,546.74,
2025-06-09,eodic_p,vix252,6000.36,63.4,5935.0,5910.0,0.55,settle,0.0,51.74,
2025-06-09,eodic_p,vix365,6000.36,52.7,5950.0,5925.0,1.1,settle,0.0,106.74,
2025-06-09,eodic_p,straddle,6000.36,29.2,5970.0,5945.0,2.45,settle,0.0,241.74,
2025-06-09,eodic_c,vix252,6000.36,63.4,6065.0,6090.0,0.25,settle,0.0,21.74,
2025-06-09,eodic_c,vix365,6000.36,52.7,6055.0,6080.0,0.7,settle,0.0,66.74,
2025-06-09,eodic_c,straddle,6000.36,29.2,6030.0,6055.0,3.9,settle,0.0,386.74,
2025-06-09,openic_p,vix252,6004.63,63.4,5940.0,5915.0,0.4,settle,0.0,36.74,
2025-06-09,openic_p,vix365,6004.63,52.7,5950.0,5925.0,0.75,settle,0.0,71.74,
2025-06-09,openic_p,straddle,6004.63,29.2,5975.0,5950.0,2.65,settle,0.0,261.74,
2025-06-09,openic_c,vix252,6004.63,63.4,6070.0,6095.0,0.05,settle,0.0,1.74,
2025-06-09,openic_c,vix365,6004.63,52.7,6055.0,6080.0,0.2,settle,0.0,16.74,
