strat,short_k,long_k,entry_et,credit,exit_kind,exit_val,pnl,note,date,policy,wait_day
openic_c,7840.0,7865.0,09:33:00,0.05,SKIP,,,gate: thin_credit (0.05 < 0.1),2026-08-13,nowait,False
openfly_p,7770.0,7745.0,09:33:00,7.5,settle,0.0,746.74,,2026-08-13,nowait,False
openfly_c,7770.0,7795.0,09:33:00,8.4,stop,12.3,-396.52,,2026-08-13,nowait,False
eodic_p,7725.0,7700.0,09:31:00,0.2,settle,0.0,16.74,,2026-08-14,eod,
eodic_c,7870.0,7895.0,09:31:00,0.1,settle,0.0,6.74,,2026-08-14,eod,
eodfly_p,7800.0,7775.0,09:31:00,7.1,stop,9.4,-236.52,,2026-08-14,eod,
eodfly_c,7800.0,7825.0,09:31:00,9.2,stop,9.0,13.48,,2026-08-14,eod,
openic_p,7735.0,7710.0,10:08:00,0.1,settle,0.0,6.74,,2026-08-14,deskwait,True
openic_c,7880.0,7905.0,10:08:00,0.05,SKIP,,,gate: thin_credit (0.05 < 0.1),2026-08-14,deskwait,True
openfly_p,7810.0,7785.0,10:08:00,7.0,stop,9.2,-226.52,,2026-08-14,deskwait,True
openfly_c,7810.0,7835.0,10:08:00,7.2,settle,0.0,716.74,,2026-08-14,deskwait,True
openic_p,7735.0,7710.0,09:33:00,0.25,settle,0.0,21.74,,2026-08-14,nowait,True
openic_c,7875.0,7900.0,09:33:00,0.1,settle,0.0,6.74,,2026-08-14,nowait,True
openfly_p,7805.0,7780.0,09:33:00,7.6,stop,9.5,-196.52,,2026-08-14,nowait,True
openfly_c,7805.0,7830.0,09:33:00,8.5,stop,8.75,-31.52,,2026-08-14,nowait,True
eodic_p,7710.0,7685.0,09:31:00,0.2,settle,0.0,16.74,,2026-08-17,eod,
eodic_c,7860.0,7885.0,09:31:00,0.0,SKIP,,,gate: broken (credit 0.00 <= 0),2026-08-17,eod,
eodfly_p,7785.0,7760.0,09:31:00,6.4,stop,9.1,-276.52,,2026-08-17,eod,
eodfly_c,7785.0,7810.0,09:31:00,8.85,settle,0.0,881.74,,2026-08-17,eod,
openic_p,7710.0,7685.0,09:33:00,0.25,settle,0.0,21.74,,2026-08-17,deskwait,False
openic_c,7855.0,7880.0,09:33:00,0.05,SKIP,,,gate: thin_credit (0.05 < 0.1),2026-08-17,deskwait,False
openfly_p,7780.0,7755.0,09:33:00,6.7,stop,8.0,-136.52,,2026-08-17,deskwait,False
openfly_c,7780.0,7805.0,09:33:00,8.5,settle,0.0,846.74,,2026-08-17,deskwait,False
openic_p,7710.0,7685.0,09:33:00,0.25,settle,0.0,21.74,,2026-08-17,nowait,False
openic_c,7855.0,7880.0,09:33:00,0.05,SKIP,,,gate: thin_credit (0.05 < 0.1),2026-08-17,nowait,False
openfly_p,7780.0,7755.0,09:33:00,6.7,stop,8.0,-136.52,,2026-08-17,nowait,False
openfly_c,7780.0,7805.0,09:33:00,8.5,settle,0.0,846.74,,2026-08-17,nowait,False
eodic_p,7665.0,7640.0,09:31:00,1.75,settle,0.0,171.74,,2026-08-18,eod,
eodic_c,7825.0,7850.0,09:31:00,-0.05,SKIP,,,gate: broken (credit -0.05 <= 0),2026-08-18,eod,
eodfly_p,7745.0,7720.0,09:31:00,18.4,stop,18.0,33.48,,2026-08-18,eod,
eodfly_c,7745.0,7770.0,09:31:00,1.55,settle,0.0,151.74,,2026-08-18,eod,
openic_p,7625.0,7600.0,09:33:00,0.3,settle,0.0,26.74,,2026-08-18,deskwait,False
openic_c,7785.0,7810.0,09:33:00,0.1,settle,0.0,6.74,,2026-08-18,deskwait,False
openfly_p,7705.0,7680.0,09:33:00,7.9,stop,9.4,-156.52,,2026-08-18,deskwait,False
openfly_c,7705.0,7730.0,09:33:00,9.7,stop,10.4,-76.52,,2026-08-18,deskwait,False
openic_p,7625.0,7600.0,09:33:00,0.3,settle,0.0,26.74,,2026-08-18,nowait,False
openic_c,7785.0,7810.0,09:33:00,0.1,settle,0.0,6.74,,2026-08-18,nowait,False
openfly_p,7705.0,7680.0,09:33:00,7.9,stop,9.4,-156.52,,2026-08-18,nowait,False
openfly_c,7705.0,7730.0,09:33:00,9.7,stop,10.4,-76.52,,2026-08-18,nowait,False
eodic_p,7615.0,7590.0,09:31:00,0.0,SKIP,,,gate: broken (credit 0.00 <= 0),2026-08-19,eod,
eodic_c,7770.0,7795.0,09:31:00,0.6,settle,0.0,56.74,,2026-08-19,eod,
eodfly_p,7690.0,7665.0,09:31:00,1.9,time,0.15,168.48,,2026-08-19,eod,
eodfly_c,7690.0,7715.0,09:31:00,18.7,stop,16.9,173.48,,2026-08-19,eod,
openic_p,7640.0,7615.0,10:08:00,0.2,settle,0.0,16.74,,2026-08-19,deskwait,True
openic_c,7795.0,7820.0,10:08:00,0.0,SKIP,,,gate: broken (credit 0.00 <= 0),2026-08-19,deskwait,True
openfly_p,7715.0,7690.0,10:08:00,6.7,stop,5.75,88.48,,2026-08-19,deskwait,True
openfly_c,7715.0,7740.0,10:08:00,9.5,stop,13.8,-436.52,,2026-08-19,deskwait,True
openic_p,7645.0,7620.0,09:33:00,0.15,settle,0.0,11.74,,2026-08-19,nowait,True
openic_c,7800.0,7825.0,09:33:00,0.1,settle,0.0,6.74,,2026-08-19,nowait,True
openfly_p,7725.0,7700.0,09:33:00,8.2,stop,9.7,-156.52,,2026-08-19,nowait,True
openfly_c,7725.0,7750.0,09:33:00,8.4,stop,10.95,-261.52,,2026-08-19,nowait,True
eodic_p,7635.0,7610.0,09:31:00,1.9,time,0.2,163.48,,2026-08-20,eod,
eodic_c,7780.0,7805.0,09:31:00,0.0,SKIP,,,gate: broken (credit 0.00 <= 0),2026-08-20,eod,
eodfly_p,7710.0,7685.0,09:31:00,16.7,stop,14.5,213.48,,2026-08-20,eod,
eodfly_c,7710.0,7735.0,09:31:00,2.4,settle,0.0,236.74,,2026-08-20,eod,
openic_p,7610.0,7585.0,09:33:00,0.5,settle,0.0,46.74,,2026-08-20,deskwait,False
openic_c,7760.0,7785.0,09:33:00,0.1,settle,0.0,6.74,,2026-08-20,deskwait,False
openfly_p,7685.0,7660.0,09:33:00,7.7,stop,9.1,-146.52,,2026-08-20,deskwait,False
openfly_c,7685.0,7710.0,09:33:00,9.7,stop,12.9,-326.52,,2026-08-20,deskwait,False
openic_p,7610.0,7585.0,09:33:00,0.5,settle,0.0,46.74,,2026-08-20,nowait,False
openic_c,7760.0,7785.0,09:33:00,0.1,settle,0.0,6.74,,2026-08-20,nowait,False
openfly_p,7685.0,7660.0,09:33:00,7.7,stop,9.1,-146.52,,2026-08-20,nowait,False
openfly_c,7685.0,7710.0,09:33:00,9.7,stop,12.9,-326.52,,2026-08-20,nowait,False
eodic_p,7565.0,7540.0,09:31:00,0.1,settle,0.0,6.74,,2026-08-21,eod,
eodic_c,7715.0,7740.0,09:31:00,1.2,settle,0.0,116.74,,2026-08-21,eod,
eodfly_p,7640.0,7615.0,09:31:00,2.3,settle,0.0,226.74,,2026-08-21,eod,
eodfly_c,7640.0,7665.0,09:31:00,18.6,stop,18.5,3.48,,2026-08-21,eod,
openic_p,7595.0,7570.0,09:33:00,0.4,settle,0.0,36.74,,2026-08-21,deskwait,False
openic_c,7745.0,7770.0,09:33:00,0.2,settle,0.0,16.74,,2026-08-21,deskwait,False
openfly_p,7670.0,7645.0,09:33:00,7.7,stop,8.7,-106.52,,2026-08-21,deskwait,False
openfly_c,7670.0,7695.0,09:33:00,9.2,stop,12.2,-306.52,,2026-08-21,deskwait,False
openic_p,7595.0,7570.0,09:33:00,0.4,settle,0.0,36.74,,2026-08-21,nowait,False
openic_c,7745.0,7770.0,09:33:00,0.2,settle,0.0,16.74,,2026-08-21,nowait,False
openfly_p,7670.0,7645.0,09:33:00,7.7,stop,8.7,-106.52,,2026-08-21,nowait,False
openfly_c,7670.0,7695.0,09:33:00,9.2,stop,12.2,-306.52,,2026-08-21,nowait,False
eodic_p,7595.0,7570.0,09:31:00,0.65,settle,0.0,61.74,,2026-08-24,eod,
eodic_c,7750.0,7775.0,09:31:00,0.05,SKIP,,,gate: thin_credit (0.05 < 0.1),2026-08-24,eod,
eodfly_p,7675.0,7650.0,09:31:00,13.7,stop,14.8,-116.52,,2026-08-24,eod,
eodfly_c,7675.0,7700.0,09:31:00,3.5,settle,0.0,346.74,,2026-08-24,eod,
openic_p,7580.0,7555.0,09:33:00,0.25,settle,0.0,21.74,,2026-08-24,deskwait,False
openic_c,7730.0,7755.0,09:33:00,0.05,SKIP,,,gate: thin_credit (0.05 < 0.1),2026-08-24,deskwait,False
openfly_p,7655.0,7630.0,09:33:00,7.4,stop,9.0,-166.52,,2026-08-24,deskwait,False
openfly_c,7655.0,7680.0,09:33:00,8.85,stop,9.5,-71.52,,2026-08-24,deskwait,False
openic_p,7580.0,7555.0,09:33:00,0.25,settle,0.0,21.74,,2026-08-24,nowait,False
openic_c,7730.0,7755.0,09:33:00,0.05,SKIP,,,gate: thin_credit (0.05 < 0.1),2026-08-24,nowait,False
openfly_p,7655.0,7630.0,09:33:00,7.4,stop,9.0,-166.52,,2026-08-24,nowait,False
openfly_c,7655.0,7680.0,09:33:00,8.85,stop,9.5,-71.52,,2026-08-24,nowait,False
eodic_p,7575.0,7550.0,09:31:00,-8.4,SKIP,,,gate: broken (credit -8.40 <= 0),2026-08-25,eod,
eodic_c,7730.0,7755.0,09:31:00,-8.2,SKIP,,,gate: broken (credit -8.20 <= 0),2026-08-25,eod,
eodfly_p,7655.0,7630.0,09:31:00,-17.4,SKIP,,,gate: broken (credit -17.40 <= 0),2026-08-25,eod,
eodfly_c,7655.0,7680.0,09:31:00,-10.4,SKIP,,,gate: broken (credit -10.40 <= 0),2026-08-25,eod,
openic_p,7595.0,7570.0,10:08:00,0.1,settle,0.0,6.74,,2026-08-25,deskwait,True
openic_c,7745.0,7770.0,10:08:00,-0.05,SKIP,,,gate: broken (credit -0.05 <= 0),2026-08-25,deskwait,True
openfly_p,7670.0,7645.0,10:08:00,6.8,stop,9.0,-226.52,,2026-08-25,deskwait,True
openfly_c,7670.0,7695.0,10:08:00,7.85,stop,7.2,58.48,,2026-08-25,deskwait,True
openic_p,7605.0,7580.0,09:33:00,-8.1,SKIP,,,gate: broken (credit -8.10 <= 0),2026-08-25,nowait,True
openic_c,7755.0,7780.0,09:33:00,-0.15,SKIP,,,gate: broken (credit -0.15 <= 0),2026-08-25,nowait,True
openfly_p,7680.0,7655.0,09:33:00,-6.25,SKIP,,,gate: broken (credit -6.25 <= 0),2026-08-25,nowait,True
