date,strat,center,short_k,long_k,credit,exit_kind,exit_val,pnl,note
2025-10-16,openfly_p,6689.02,6690.0,6665.0,8.3,stop,9.5,-126.52,
2025-10-16,openfly_c,6689.02,6690.0,6715.0,10.9,stop,13.1,-226.52,
2025-10-17,eodfly_p,6629.07,6630.0,6605.0,11.3,stop,9.8,143.48,
2025-10-17,eodfly_c,6629.07,6630.0,6655.0,9.5,stop,13.6,-416.52,
2025-10-17,openfly_p,6613.27,6615.0,6590.0,7.1,settle,0.0,706.74,
2025-10-17,openfly_c,6613.27,6615.0,6640.0,14.2,stop,18.2,-406.52,
2025-10-20,eodfly_p,6664.01,6665.0,6640.0,2.5,settle,0.0,246.74,
2025-10-20,eodfly_c,6664.01,6665.0,6690.0,19.6,stop,21.5,-196.52,
2025-10-20,openfly_p,6690.05,6690.0,6665.0,2.4,settle,0.0,236.74,
2025-10-20,openfly_c,6690.05,6690.0,6715.0,18.3,stop,19.9,-166.52,
2025-10-21,eodfly_p,6735.13,6735.0,6710.0,6.7,stop,7.8,-116.52,
2025-10-21,eodfly_c,6735.13,6735.0,6760.0,9.6,stop,13.2,-366.52,
2025-10-21,openfly_p,6736.75,6735.0,6710.0,9.4,stop,7.7,163.48,
2025-10-21,openfly_c,6736.75,6735.0,6760.0,6.25,stop,13.2,-701.52,
2025-10-22,eodfly_p,6735.35,6735.0,6710.0,7.6,stop,7.0,53.48,
2025-10-22,eodfly_c,6735.35,6735.0,6760.0,9.6,settle,0.0,956.74,
2025-10-22,openfly_p,6741.34,6740.0,6715.0,7.8,stop,10.2,-246.52,
2025-10-22,openfly_c,6741.34,6740.0,6765.0,7.5,settle,0.0,746.74,
2025-10-23,eodfly_p,6699.4,6700.0,6675.0,7.0,settle,0.0,696.74,
2025-10-23,eodfly_c,6699.4,6700.0,6725.0,11.9,stop,14.4,-256.52,
2025-10-23,openfly_p,6703.65,6705.0,6680.0,3.9,settle,0.0,386.74,
2025-10-23,openfly_c,6703.65,6705.0,6730.0,15.5,stop,13.2,223.48,
2025-10-24,eodfly_p,6738.44,6740.0,6715.0,1.9,settle,0.0,186.74,
2025-10-24,eodfly_c,6738.44,6740.0,6765.0,20.2,stop,22.9,-276.52,
2025-10-24,openfly_p,6772.07,6770.0,6745.0,2.2,settle,0.0,216.74,
2025-10-24,openfly_c,6772.07,6770.0,6795.0,18.9,stop,20.5,-166.52,
2025-10-27,eodfly_p,6791.69,6790.0,6765.0,0.55,settle,0.0,51.74,
2025-10-27,eodfly_c,6791.69,6790.0,6815.0,23.0,stop,24.2,-126.52,
2025-10-27,openfly_p,6845.46,6845.0,6820.0,3.25,settle,0.0,321.74,
2025-10-27,openfly_c,6845.46,6845.0,6870.0,13.55,stop,13.2,28.48,
2025-10-28,eodfly_p,6875.16,6875.0,6850.0,3.1,settle,0.0,306.74,
2025-10-28,eodfly_c,6875.16,6875.0,6900.0,14.4,stop,12.4,193.48,
2025-10-28,openfly_p,6897.74,6900.0,6875.0,13.5,stop,14.5,-106.52,
2025-10-28,openfly_c,6897.74,6900.0,6925.0,2.45,stop,7.65,-526.52,
2025-10-29,eodfly_p,6890.89,6890.0,6865.0,5.9,stop,15.9,-1006.52,
2025-10-29,eodfly_c,6890.89,6890.0,6915.0,13.8,stop,15.8,-206.52,
2025-10-29,openfly_p,6910.95,6910.0,6885.0,7.2,stop,9.1,-196.52,
2025-10-29,openfly_c,6910.95,6910.0,6935.0,11.8,stop,11.0,73.48,
2025-10-30,eodfly_p,6890.59,6890.0,6865.0,15.5,stop,18.9,-346.52,
2025-10-30,eodfly_c,6890.59,6890.0,6915.0,4.1,settle,0.0,406.74,
2025-10-30,openfly_p,6860.5,6860.0,6835.0,7.0,stop,9.0,-206.52,
2025-10-30,openfly_c,6860.5,6860.0,6885.0,12.2,stop,13.6,-146.52,
2025-10-31,eodfly_p,6822.34,6820.0,6795.0,1.85,settle,0.0,181.74,
2025-10-31,eodfly_c,6822.34,6820.0,6845.0,19.8,stop,19.8,-6.52,
2025-10-31,openfly_p,6879.17,6880.0,6855.0,15.7,stop,16.0,-36.52,
2025-10-31,openfly_c,6879.17,6880.0,6905.0,3.5,settle,0.0,346.74,
2025-11-03,eodfly_p,6840.2,6840.0,6815.0,2.45,stop,12.1,-971.52,
2025-11-03,eodfly_c,6840.2,6840.0,6865.0,18.8,stop,14.9,383.48,
2025-11-03,openfly_p,6882.32,6880.0,6855.0,17.1,stop,18.1,-106.52,
2025-11-03,openfly_c,6882.32,6880.0,6905.0,2.0,settle,0.0,196.74,
2025-11-04,eodfly_p,6851.97,6850.0,6825.0,20.8,stop,23.5,-276.52,
2025-11-04,eodfly_c,6851.97,6850.0,6875.0,0.9,settle,0.0,86.74,
2025-11-04,openfly_p,6788.52,6790.0,6765.0,4.1,stop,10.3,-626.52,
2025-11-04,openfly_c,6788.52,6790.0,6815.0,16.1,stop,16.5,-46.52,
2025-11-05,eodfly_p,6771.55,6770.0,6745.0,7.8,settle,0.0,776.74,
2025-11-05,eodfly_c,6771.55,6770.0,6795.0,11.7,stop,16.7,-506.52,
2025-11-05,openfly_p,6769.77,6770.0,6745.0,3.9,settle,0.0,386.74,
2025-11-05,openfly_c,6769.77,6770.0,6795.0,16.2,stop,16.2,-6.52,
2025-11-06,eodfly_p,6796.29,6795.0,6770.0,9.9,stop,10.6,-76.52,
2025-11-06,eodfly_c,6796.29,6795.0,6820.0,8.4,settle,0.0,836.74,
2025-11-06,openfly_p,6787.59,6790.0,6765.0,17.7,stop,17.8,-16.52,
2025-11-06,openfly_c,6787.59,6790.0,6815.0,2.7,settle,0.0,266.74,
2025-11-07,eodfly_p,6720.32,6720.0,6695.0,14.5,stop,18.5,-406.52,
2025-11-07,eodfly_c,6720.32,6720.0,6745.0,5.3,settle,8.800000000000182,-353.26,
2025-11-07,openfly_p,6696.18,6695.0,6670.0,14.2,stop,11.3,283.48,
2025-11-07,openfly_c,6696.18,6695.0,6720.0,6.0,stop,14.3,-836.52,
2025-11-10,eodfly_p,6728.8,6730.0,6705.0,1.0,settle,0.0,96.74,
2025-11-10,eodfly_c,6728.8,6730.0,6755.0,21.9,stop,24.3,-246.52,
2025-11-10,openfly_p,6785.36,6785.0,6760.0,3.05,stop,8.9,-591.52,
2025-11-10,openfly_c,6785.36,6785.0,6810.0,16.8,stop,16.8,-6.52,
2025-11-11,eodfly_p,6832.43,6830.0,6805.0,9.1,stop,10.6,-156.52,
2025-11-11,eodfly_c,6832.43,6830.0,6855.0,8.05,stop,7.85,13.48,
2025-11-11,openfly_p,6815.64,6815.0,6790.0,5.5,stop,7.6,-216.52,
2025-11-11,openfly_c,6815.64,6815.0,6840.0,11.1,stop,11.1,-6.52,
2025-11-12,eodfly_p,6846.61,6845.0,6820.0,3.7,stop,8.1,-446.52,
2025-11-12,eodfly_c,6846.61,6845.0,6870.0,15.3,stop,16.3,-106.52,
2025-11-12,openfly_p,6867.77,6870.0,6845.0,10.5,stop,13.4,-296.52,
2025-11-12,openfly_c,6867.77,6870.0,6895.0,5.9,settle,0.0,586.74,
2025-11-13,eodfly_p,6850.92,6850.0,6825.0,15.0,stop,19.1,-416.52,
2025-11-13,eodfly_c,6850.92,6850.0,6875.0,3.95,settle,0.0,391.74,
2025-11-13,openfly_p,6826.47,6825.0,6800.0,14.2,stop,8.9,523.48,
2025-11-13,openfly_c,6826.47,6825.0,6850.0,4.65,settle,0.0,461.74,
2025-11-14,eodfly_p,6737.49,6735.0,6710.0,18.9,stop,19.8,-96.52,
2025-11-14,eodfly_c,6737.49,6735.0,6760.0,2.65,stop,10.9,-831.52,
2025-11-14,openfly_p,6672.14,6670.0,6645.0,6.0,settle,0.0,596.74,
2025-11-14,openfly_c,6672.14,6670.0,6695.0,15.0,stop,15.3,-36.52,
2025-11-17,eodfly_p,6734.11,6735.0,6710.0,13.4,stop,10.0,333.48,
2025-11-17,eodfly_c,6734.11,6735.0,6760.0,6.8,stop,13.2,-646.52,
2025-11-17,openfly_p,6713.61,6715.0,6690.0,5.9,stop,13.2,-736.52,
2025-11-17,openfly_c,6713.61,6715.0,6740.0,14.5,stop,15.3,-86.52,
2025-11-18,eodfly_p,6672.41,6670.0,6645.0,13.8,stop,13.5,23.48,
2025-11-18,eodfly_c,6672.41,6670.0,6695.0,6.7,settle,0.0,666.74,
2025-11-18,openfly_p,6641.19,6640.0,6615.0,18.1,stop,16.1,193.48,
2025-11-18,openfly_c,6641.19,6640.0,6665.0,3.8,stop,14.5,-1076.52,
2025-11-19,eodfly_p,6617.32,6615.0,6590.0,8.2,settle,0.0,816.74,
2025-11-19,eodfly_c,6617.32,6615.0,6640.0,12.5,stop,15.1,-266.52,
2025-11-19,openfly_p,6625.84,6625.0,6600.0,2.05,stop,10.9,-891.52,
2025-11-19,openfly_c,6625.84,6625.0,6650.0,20.6,stop,22.1,-156.52,
2025-11-20,eodfly_p,6642.16,6640.0,6615.0,0.85,stop,12.5,-1171.52,
2025-11-20,eodfly_c,6642.16,6640.0,6665.0,22.6,stop,25.0,-246.52,
2025-11-20,openfly_p,6737.93,6740.0,6715.0,4.2,stop,11.6,-746.52,
2025-11-20,openfly_c,6737.93,6740.0,6765.0,17.3,stop,13.5,373.48,
