date,strat,k_live,cr_live,pnl_live,exit_live,k_bt,cr_bt,exit_bt,pnl_bt,d_cr,d_pnl
2026-08-17,eodfly_p,7785.0,6.05,-336.30000000000007,stop,7785.0,6.4,stop,-276.52,-0.35,-59.8
2026-08-17,eodic_c,,,,,7860.0,0.0,SKIP,,,
2026-08-17,eodic_p,7710.0,0.2,17.4,exp,7710.0,0.2,settle,16.74,0.0,0.7
2026-08-17,openfly_c,7785.0,6.65,662.4,exp,7780.0,8.5,settle,846.74,-1.85,-184.3
2026-08-17,openfly_p,7785.0,8.4,-101.3,stop,7780.0,6.7,stop,-136.52,1.7,35.2
2026-08-17,openic_c,,,,,7855.0,0.05,SKIP,,,
2026-08-17,openic_p,7715.0,0.25,22.4,exp,7710.0,0.25,settle,21.74,0.0,0.7
2026-08-18,eodfly_c,7745.0,1.35,132.4,exp,7745.0,1.55,settle,151.74,-0.2,-19.3
2026-08-18,eodfly_p,7745.0,18.9,-41.30000000000021,stop,7745.0,18.4,stop,33.48,0.5,-74.8
2026-08-18,eodic_c,7825.0,0.0,-2.6,exp,7825.0,-0.05,SKIP,,0.05,
2026-08-18,eodic_p,7665.0,1.5999999999999999,157.4,exp,7665.0,1.75,settle,171.74,-0.15,-14.3
2026-08-18,openfly_c,7710.0,10.1,1007.4,exp,7705.0,9.7,stop,-76.52,0.4,1083.9
2026-08-18,openfly_p,7710.0,9.5,-31.30000000000007,stop,7705.0,7.9,stop,-156.52,1.6,125.2
2026-08-18,openic_c,,,,,7785.0,0.1,settle,6.74,,
2026-08-18,openic_p,7630.0,0.5,47.4,exp,7625.0,0.3,settle,26.74,0.2,20.7
2026-08-19,eodfly_c,7690.0,19.0,218.69999999999993,stop,7690.0,18.7,stop,173.48,0.3,45.2
2026-08-19,eodfly_p,7690.0,1.9,187.4,exp,7690.0,1.9,time,168.48,0.0,18.9
2026-08-19,eodic_c,7770.0,0.75,72.4,exp,7770.0,0.6,settle,56.74,0.15,15.7
2026-08-19,eodic_p,,,,,7615.0,0.0,SKIP,,,
2026-08-19,openfly_c,7715.0,9.5,947.4,exp,7715.0,9.5,stop,-436.52,0.0,1383.9
2026-08-19,openfly_p,7715.0,7.0,-4.6,exp,7715.0,6.7,stop,88.48,0.3,-93.1
2026-08-19,openic_c,7795.0,0.0,-2.6,exp,7795.0,0.0,SKIP,,0.0,
2026-08-19,openic_p,7640.0,0.2,17.4,exp,7640.0,0.2,settle,16.74,0.0,0.7
2026-08-20,eodfly_c,7710.0,3.15,312.4,exp,7710.0,2.4,settle,236.74,0.75,75.7
2026-08-20,eodfly_p,7710.0,14.999999999999998,258.69999999999976,stop,7710.0,16.7,stop,213.48,-1.7,45.2
2026-08-20,eodic_c,,,,,7780.0,0.0,SKIP,,,
2026-08-20,eodic_p,7635.0,1.65,162.4,exp,7635.0,1.9,time,163.48,-0.25,-1.1
2026-08-20,openfly_c,7680.0,10.9,-321.29999999999995,stop,7685.0,9.7,stop,-326.52,1.2,5.2
2026-08-20,openfly_p,7680.0,7.1,-271.3000000000001,stop,7685.0,7.7,stop,-146.52,-0.6,-124.8
2026-08-20,openic_c,7755.0,0.15,12.4,exp,7760.0,0.1,settle,6.74,0.05,5.7
2026-08-20,openic_p,7610.0,0.5,47.4,exp,7610.0,0.5,settle,46.74,0.0,0.7
2026-08-21,eodfly_c,7640.0,18.6,-71.29999999999993,stop,7640.0,18.6,stop,3.48,0.0,-74.8
2026-08-21,eodfly_p,7640.0,2.5,247.4,exp,7640.0,2.3,settle,226.74,0.2,20.7
2026-08-21,eodic_c,7715.0,1.2,117.4,exp,7715.0,1.2,settle,116.74,0.0,0.7
2026-08-21,eodic_p,7565.0,0.1,7.4,exp,7565.0,0.1,settle,6.74,0.0,0.7
2026-08-21,openfly_c,7675.0,7.1,-131.30000000000007,stop,7670.0,9.2,stop,-306.52,-2.1,175.2
2026-08-21,openfly_p,7675.0,9.0,38.70000000000004,stop,7670.0,7.7,stop,-106.52,1.3,145.2
2026-08-21,openic_c,7750.0,0.15,12.4,exp,7745.0,0.2,settle,16.74,-0.05,-4.3
2026-08-21,openic_p,7600.0,0.55,52.400000000000006,exp,7595.0,0.4,settle,36.74,0.15,15.7
2026-08-24,eodfly_c,7675.0,2.5,247.4,exp,7675.0,3.5,settle,346.74,-1.0,-99.3
2026-08-24,eodfly_p,7675.0,13.6,-501.3000000000002,stop,7675.0,13.7,stop,-116.52,-0.1,-384.8
2026-08-24,eodic_c,,,,,7750.0,0.05,SKIP,,,
2026-08-24,eodic_p,7595.0,0.6,57.4,exp,7595.0,0.65,settle,61.74,-0.05,-4.3
2026-08-24,openfly_c,7665.0,4.95,-196.30000000000004,stop,7655.0,8.85,stop,-71.52,-3.9,-124.8
2026-08-24,openfly_p,7665.0,11.1,-411.29999999999995,stop,7655.0,7.4,stop,-166.52,3.7,-244.8
2026-08-24,openic_c,,,,,7730.0,0.05,SKIP,,,
2026-08-24,openic_p,7585.0,0.3,27.4,exp,7580.0,0.25,settle,21.74,0.05,5.7
2026-08-25,eodfly_c,7655.0,17.8,-11.299999999999788,stop,7655.0,-10.4,SKIP,,28.2,
