day,t5,Open,Close,High,Low,delta,vol,poc,hi_minfrac,lo_minfrac,cvd,kind,delta_flip,delta_close_mismatch,churn_absorption,cvd_div_local,vol_climax,finished_rej,rng,close_pos,wick_up,wick_dn,delta3,px_prog3,cvd_d1,cvd_kink,dist_mq,ERD,CVDkink,Trapped,WickRej,ExhPulse,LvlDiv,TurnScore
2026-07-13,2026-07-13 09:20:00,7590.25,7598.25,7600.0,7585.25,944,24000,7591.25,0.2307692307692307,0.0,804,control,1,0,1,0,0,,14.75,0.8813559322033898,0.11864406779661017,0.3389830508474576,-1476.0,-6.0,944.0,4532.0,47.0,0,1,0,0,0,0,0.0
2026-07-13,2026-07-13 09:25:00,7598.25,7602.5,7603.0,7596.25,254,16000,7599.25,0.0,0.2407407407407407,1058,control,0,0,1,0,0,,6.75,0.9259259259259259,0.07407407407407407,0.2962962962962963,-2390.0,-3.0,254.0,690.0,30.0,0,0,0,0,0,0,0.0
2026-07-13,2026-07-13 09:30:00,7602.5,7597.75,7603.75,7596.5,-1410,14000,7599.0,0.4587155963302752,0.0,-352,control,1,0,0,0,0,,7.25,0.1724137931034483,0.1724137931034483,0.1724137931034483,-212.0,30.0,-1410.0,1664.0,49.0,0,1,0,0,0,0,0.0
2026-07-13,2026-07-13 09:35:00,7597.75,7590.5,7598.0,7590.0,-827,13999,7593.0,0.2972972972972973,0.0,-1179,control,0,0,1,0,0,,8.0,0.0625,0.03125,0.0625,-1983.0,-31.0,-827.0,583.0,22.0,0,0,0,0,0,0,0.0
2026-07-13,2026-07-13 09:40:00,7590.5,7584.0,7591.5,7583.25,-1275,16001,7584.25,0.2727272727272727,0.1796875,-2454,control,0,0,1,0,0,,8.25,0.09090909090909091,0.12121212121212122,0.09090909090909091,-3512.0,-74.0,-1275.0,448.0,4.0,0,0,0,0,0,0,0.0
2026-07-13,2026-07-13 09:45:00,7584.0,7594.75,7595.75,7580.75,1150,18000,7587.75,0.0625,0.4166666666666667,-1304,LOW,1,0,1,1,1,0.0,15.0,0.9333333333333333,0.06666666666666667,0.21666666666666667,-952.0,-12.0,1150.0,2425.0,17.0,0,1,0,0,0,0,3.2
2026-07-13,2026-07-13 09:50:00,7594.5,7586.75,7595.0,7586.0,-952,11998,7593.0,0.0,0.3243243243243243,-2256,control,1,0,1,0,0,,9.0,0.08333333333333333,0.05555555555555555,0.08333333333333333,-1077.0,-15.0,-952.0,2102.0,7.0,0,1,0,0,0,0,0.0
2026-07-13,2026-07-13 09:55:00,7586.75,7601.0,7601.25,7586.25,1318,12002,7594.0,0.0,0.0,-938,control,1,0,0,0,0,,15.0,0.9833333333333333,0.016666666666666666,0.03333333333333333,1516.0,68.0,1318.0,2270.0,36.0,0,1,0,0,0,0,0.0
2026-07-13,2026-07-13 10:00:00,7601.0,7595.0,7601.75,7592.5,-617,13999,7600.0,0.0,0.0,-1555,HIGH,1,0,1,1,0,1.0,9.25,0.2702702702702703,0.08108108108108109,0.2702702702702703,-251.0,1.0,-617.0,1935.0,33.0,1,1,0,0,0,0,2.6
2026-07-13,2026-07-13 10:05:00,7595.0,7595.75,7597.0,7592.5,-23,8001,7593.75,0.0,0.2391304347826087,-1578,control,0,1,1,0,0,,4.5,0.7222222222222222,0.2777777777777778,0.5555555555555556,678.0,36.0,-23.0,594.0,43.0,0,0,0,1,0,0,1.0
2026-07-13,2026-07-13 10:10:00,7595.75,7590.25,7596.75,7589.75,-970,8000,7593.0,0.0,0.0,-2548,control,0,0,0,0,0,,7.0,0.07142857142857142,0.14285714285714285,0.07142857142857142,-1610.0,-43.0,-970.0,947.0,21.0,0,0,0,0,0,0,0.0
2026-07-13,2026-07-13 10:15:00,7590.25,7592.25,7594.25,7590.0,-116,6000,7591.75,0.0,0.0,-2664,control,0,1,1,0,0,,4.25,0.5294117647058824,0.47058823529411764,0.058823529411764705,-1109.0,-11.0,-116.0,854.0,29.0,0,0,0,1,0,0,1.0
2026-07-13,2026-07-13 10:20:00,7592.25,7591.75,7597.0,7591.75,428,8000,7595.5,0.0,0.0,-2236,control,1,1,1,0,0,,5.25,0.0,0.9047619047619048,0.0,-658.0,-16.0,428.0,544.0,27.0,0,0,0,1,0,0,1.0
2026-07-13,2026-07-13 10:25:00,7591.75,7593.25,7596.0,7590.75,210,6000,7592.25,0.2,0.4505494505494505,-2026,control,0,0,1,0,0,,5.25,0.47619047619047616,0.5238095238095238,0.19047619047619047,522.0,12.0,210.0,218.0,33.0,0,0,0,1,0,0,1.0
2026-07-13,2026-07-13 10:30:00,7593.25,7591.0,7596.5,7590.75,134,8000,7592.0,0.0,0.0,-1892,control,0,1,1,0,0,,5.75,0.043478260869565216,0.5652173913043478,0.043478260869565216,772.0,-5.0,134.0,76.0,24.0,1,0,0,1,0,0,1.6
2026-07-13,2026-07-13 10:35:00,7591.0,7591.0,7593.75,7589.25,178,6000,7592.0,0.0,0.0,-1714,control,0,0,1,0,0,,4.5,0.3888888888888889,0.6111111111111112,0.3888888888888889,522.0,-3.0,178.0,44.0,24.0,1,0,0,1,0,0,1.6
2026-07-13,2026-07-13 10:40:00,7591.25,7587.75,7592.5,7586.75,-420,8000,7589.75,0.2903225806451613,0.2575757575757575,-2134,control,1,0,1,0,0,,5.75,0.17391304347826086,0.21739130434782608,0.17391304347826086,-108.0,-22.0,-420.0,598.0,11.0,0,0,0,0,0,0,0.0
2026-07-13,2026-07-13 10:45:00,7587.75,7588.0,7588.75,7585.75,124,6000,7587.5,0.0,0.0,-2010,control,1,0,1,0,0,,3.0,0.75,0.25,0.6666666666666666,-118.0,-12.0,124.0,544.0,12.0,0,0,0,1,0,0,1.0
2026-07-13,2026-07-13 10:50:00,7588.0,7584.25,7588.25,7582.25,-520,10000,7585.25,0.4473684210526316,0.0,-2530,control,1,0,1,0,1,,6.0,0.3333333333333333,0.041666666666666664,0.3333333333333333,-816.0,-27.0,-520.0,644.0,3.0,0,0,0,0,0,0,1.2
2026-07-13,2026-07-13 10:55:00,7584.25,7582.75,7584.75,7581.75,-774,6000,7583.25,0.160919540229885,0.0,-3304,control,0,0,0,0,0,,3.0,0.3333333333333333,0.16666666666666666,0.3333333333333333,-1170.0,-20.0,-774.0,254.0,9.0,0,0,0,0,0,0,0.0
2026-07-13,2026-07-13 11:00:00,7582.75,7582.25,7585.75,7580.5,-354,8000,7582.5,0.0,0.1313131313131313,-3658,control,0,0,1,0,0,,5.25,0.3333333333333333,0.5714285714285714,0.3333333333333333,-1648.0,-23.0,-354.0,420.0,11.0,0,0,0,1,0,0,1.0
2026-07-13,2026-07-13 11:05:00,7582.0,7587.25,7587.5,7581.5,446,6000,7585.25,0.0,0.0,-3212,control,1,0,1,0,0,,6.0,0.9583333333333334,0.041666666666666664,0.08333333333333333,-682.0,12.0,446.0,800.0,9.0,0,0,0,0,0,0,0.0
2026-07-13,2026-07-13 11:10:00,7587.25,7581.25,7589.0,7581.0,252,8000,7585.5,0.2586206896551724,0.0,-2960,HIGH,0,1,1,1,0,0.0,8.0,0.03125,0.21875,0.03125,344.0,-6.0,252.0,194.0,16.0,0,0,0,0,0,0,2.0
2026-07-13,2026-07-13 11:15:00,7581.25,7578.25,7582.0,7577.75,-460,8000,7580.25,0.3596491228070175,0.0,-3420,control,1,0,1,0,0,,4.25,0.11764705882352941,0.17647058823529413,0.11764705882352941,238.0,-16.0,-460.0,712.0,27.0,0,0,0,0,0,0,0.0
2026-07-13,2026-07-13 11:20:00,7578.25,7576.5,7580.25,7576.5,-88,6000,7578.5,0.0,0.08,-3508,control,0,0,1,0,0,,3.75,0.0,0.5333333333333333,0.0,-296.0,-43.0,-88.0,372.0,34.0,0,0,0,1,0,0,1.0
2026-07-13,2026-07-13 11:25:00,7576.5,7571.25,7577.5,7570.25,-1013,13997,7573.25,0.0,0.0,-4521,control,0,0,1,0,0,,7.25,0.13793103448275862,0.13793103448275862,0.13793103448275862,-1561.0,-40.0,-1013.0,925.0,55.0,0,0,0,0,0,0,0.0
2026-07-13,2026-07-13 11:30:00,7571.25,7566.5,7572.5,7566.5,-400,17996,7567.5,0.0,0.0,-4921,control,0,0,1,0,0,,6.0,0.0,0.20833333333333334,0.0,-1501.0,-47.0,-400.0,613.0,66.0,0,0,0,0,0,0,0.0
2026-07-13,2026-07-13 11:35:00,7566.5,7570.0,7573.5,7560.0,763,22007,7562.75,0.4918032786885246,0.0,-4158,LOW,1,0,1,1,1,1.0,13.5,0.7407407407407407,0.25925925925925924,0.48148148148148145,-650.0,-26.0,763.0,1163.0,40.0,0,1,0,1,1,0,5.0
2026-07-13,2026-07-13 11:40:00,7570.0,7575.5,7576.25,7566.75,1090,12000,7575.75,0.2621359223300971,0.0,-3068,control,0,0,0,0,0,,9.5,0.9210526315789473,0.07894736842105263,0.34210526315789475,1453.0,17.0,1090.0,327.0,38.0,0,0,0,0,0,0,0.0
2026-07-13,2026-07-13 11:45:00,7575.5,7567.75,7578.0,7567.5,-806,12000,7577.0,0.0,0.0,-3874,HIGH,1,0,1,1,0,1.0,10.5,0.023809523809523808,0.23809523809523808,0.023809523809523808,1047.0,5.0,-806.0,1896.0,28.0,0,1,0,0,0,0,2.0
2026-07-13,2026-07-13 11:50:00,7567.75,7566.25,7570.25,7563.25,-104,12000,7567.25,0.2435897435897435,0.0,-3978,control,0,0,1,0,0,,7.0,0.42857142857142855,0.35714285714285715,0.42857142857142855,180.0,-15.0,-104.0,702.0,65.0,0,0,0,0,0,0,0.0
2026-07-13,2026-07-13 11:55:00,7566.25,7571.5,7572.75,7566.25,770,10000,7570.0,0.0,0.3488372093023256,-3208,control,1,0,1,0,0,,6.5,0.8076923076923077,0.19230769230769232,0.0,-140.0,-16.0,770.0,874.0,54.0,0,0,0,0,0,0,0.0
2026-07-13,2026-07-13 12:00:00,7571.5,7571.5,7574.25,7569.25,340,8000,7572.75,0.3627450980392157,0.1935483870967742,-2868,control,0,0,1,0,0,,5.0,0.45,0.55,0.45,1006.0,15.0,340.0,430.0,54.0,0,0,0,1,0,0,1.0
2026-07-13,2026-07-13 12:05:00,7571.5,7577.25,7578.0,7571.5,158,8000,7574.5,0.0,0.2631578947368421,-2710,control,0,0,1,1,0,,6.5,0.8846153846153846,0.11538461538461539,0.0,1268.0,44.0,158.0,182.0,31.0,0,0,0,0,0,0,2.0
2026-07-13,2026-07-13 12:10:00,7577.5,7570.0,7577.75,7570.0,-460,6000,7571.75,0.46875,0.3333333333333333,-3170,control,1,0,1,0,0,,7.75,0.0,0.03225806451612903,0.0,38.0,-6.0,-460.0,618.0,60.0,0,0,0,0,0,0,0.0
2026-07-13,2026-07-13 12:15:00,7570.0,7571.75,7574.5,7568.0,328,6000,7570.75,0.0,0.0,-2842,control,1,0,1,0,0,,6.5,0.5769230769230769,0.4230769230769231,0.3076923076923077,26.0,1.0,328.0,788.0,53.0,0,0,0,0,0,0,0.0
2026-07-13,2026-07-13 12:20:00,7571.75,7567.0,7575.25,7566.75,-58,6000,7572.25,0.0,0.0,-2900,control,1,0,1,0,0,,8.5,0.029411764705882353,0.4117647058823529,0.029411764705882353,-190.0,-41.0,-58.0,386.0,68.0,0,0,0,0,0,0,0.0
2026-07-13,2026-07-13 12:25:00,7567.0,7569.5,7571.25,7566.75,250,6000,7569.5,0.4,0.0512820512820512,-2650,control,1,0,1,0,0,,4.5,0.6111111111111112,0.3888888888888889,0.05555555555555555,520.0,-2.0,250.0,308.0,62.0,1,0,0,0,0,0,0.6
2026-07-13,2026-07-13 12:30:00,7569.5,7569.5,7572.5,7568.0,384,6000,7569.75,0.2542372881355932,0.0,-2266,control,0,0,1,0,1,,4.5,0.3333333333333333,0.6666666666666666,0.3333333333333333,576.0,-9.0,384.0,134.0,62.0,0,0,0,1,0,0,2.2
2026-07-13,2026-07-13 12:35:00,7569.5,7568.25,7570.25,7566.0,-58,6000,7569.0,0.375,0.0,-2324,control,1,0,1,0,0,,4.25,0.5294117647058824,0.17647058823529413,0.5294117647058824,576.0,5.0,-58.0,442.0,67.0,0,0,0,1,0,0,1.0
2026-07-13,2026-07-13 12:40:00,7568.25,7572.5,7574.25,7568.25,1308,6000,7570.0,0.0,0.320754716981132,-1016,control,1,0,0,0,0,,6.0,0.7083333333333334,0.2916666666666667,0.0,1634.0,12.0,1308.0,1366.0,50.0,0,1,0,0,0,0,0.0
2026-07-13,2026-07-13 12:45:00,7572.5,7566.5,7572.75,7565.0,-682,6000,7570.25,0.0,0.0,-1698,control,1,0,0,0,0,,7.75,0.1935483870967742,0.03225806451612903,0.1935483870967742,568.0,-12.0,-682.0,1990.0,66.0,0,1,0,0,0,0,0.0
2026-07-13,2026-07-13 12:50:00,7566.5,7566.75,7567.75,7563.5,296,6000,7565.75,0.0,0.0,-1402,control,1,0,1,0,0,,4.25,0.7647058823529411,0.23529411764705882,0.7058823529411765,922.0,-6.0,296.0,978.0,67.0,1,0,0,1,0,0,1.6
2026-07-13,2026-07-13 12:55:00,7566.75,7564.5,7567.0,7563.0,688,8000,7564.0,0.0,0.0,-714,control,0,1,0,0,0,,4.0,0.375,0.0625,0.375,302.0,-32.0,688.0,392.0,58.0,0,0,0,0,0,0,0.0
2026-07-13,2026-07-13 13:00:00,7564.5,7570.75,7571.0,7564.5,882,10000,7568.0,0.0,0.5,168,control,0,0,0,0,1,,6.5,0.9615384615384616,0.038461538461538464,0.0,1866.0,17.0,882.0,194.0,57.0,0,0,0,0,0,0,1.2
2026-07-13,2026-07-13 13:05:00,7570.5,7566.5,7574.0,7566.0,278,6000,7571.0,0.0,0.0,446,HIGH,0,1,1,1,0,1.0,8.0,0.0625,0.4375,0.0625,1848.0,-1.0,278.0,604.0,44.0,1,0,0,0,0,0,2.6
2026-07-13,2026-07-13 13:10:00,7566.5,7566.5,7569.75,7562.75,720,8000,7567.5,0.0,0.0,1166,control,0,0,0,0,0,,7.0,0.5357142857142857,0.4642857142857143,0.5357142857142857,1880.0,8.0,720.0,442.0,66.0,0,0,0,1,0,0,1.0
2026-07-13,2026-07-13 13:15:00,7566.5,7562.5,7567.5,7561.5,-390,6000,7562.5,0.0,0.0,776,control,1,0,1,0,0,,6.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,608.0,-33.0,-390.0,1110.0,50.0,0,1,0,0,0,0,0.0
2026-07-13,2026-07-13 13:20:00,7562.5,7563.25,7567.0,7562.25,426,8000,7564.0,0.0,0.0,1202,control,1,0,1,0,0,,4.75,0.21052631578947367,0.7894736842105263,0.05263157894736842,756.0,-13.0,426.0,816.0,53.0,0,0,0,1,0,0,1.0
2026-07-13,2026-07-13 13:25:00,7563.25,7562.5,7567.0,7562.5,-32,6000,7565.0,0.0,0.0,1170,control,1,0,1,0,0,,4.5,0.0,0.8333333333333334,0.0,4.0,-16.0,-32.0,458.0,50.0,0,0,0,1,0,0,1.0
2026-07-13,2026-07-13 13:30:00,7562.5,7565.5,7567.0,7561.0,584,10000,7565.75,0.3924050632911392,0.0,1754,LOW,1,0,1,1,1,1.0,6.0,0.75,0.25,0.25,978.0,12.0,584.0,616.0,44.0,0,0,0,0,0,0,3.2
2026-07-13,2026-07-13 13:35:00,7565.5,7569.75,7570.25,7565.0,670,8000,7568.0,0.4451219512195122,0.2,2424,control,0,0,0,0,0,,5.25,0.9047619047619048,0.09523809523809523,0.09523809523809523,1222.0,26.0,670.0,86.0,61.0,0,0,0,0,0,0,0.0
2026-07-13,2026-07-13 13:40:00,7569.75,7570.25,7572.0,7568.5,465,5995,7569.75,0.0491803278688524,0.0,2889,control,0,0,1,0,0,,3.5,0.5,0.5,0.35714285714285715,1719.0,31.0,465.0,205.0,59.0,0,0,0,1,0,0,1.0
2026-07-13,2026-07-13 13:45:00,7570.25,7568.75,7570.75,7566.75,89,8003,7568.25,0.0,0.0,2978,control,0,1,1,0,0,,4.0,0.5,0.125,0.5,1224.0,13.0,89.0,376.0,65.0,0,0,0,1,0,0,1.0
2026-07-13,2026-07-13 13:50:00,7568.75,7569.5,7572.25,7566.75,664,6002,7570.5,0.0,0.1929824561403508,3642,HIGH,0,0,0,0,0,1.0,5.5,0.5,0.5,0.36363636363636365,1218.0,-1.0,664.0,575.0,51.0,1,0,0,1,0,0,1.6
2026-07-13,2026-07-13 13:55:00,7569.5,7565.0,7570.5,7565.0,-196,8000,7570.0,0.2926829268292683,0.0847457627118644,3446,control,1,0,1,0,0,,5.5,0.0,0.18181818181818182,0.0,557.0,-21.0,-196.0,860.0,60.0,0,0,0,0,0,0,0.0
2026-07-13,2026-07-13 14:00:00,7565.0,7570.25,7570.5,7563.0,164,8000,7569.0,0.0,0.0,3610,control,1,0,1,0,0,,7.5,0.9666666666666667,0.03333333333333333,0.26666666666666666,632.0,6.0,164.0,360.0,59.0,0,0,0,0,0,0,0.0
2026-07-13,2026-07-13 14:05:00,7570.25,7564.25,7571.25,7563.75,-1022,6000,7568.5,0.0,0.0,2588,control,1,0,0,0,0,,7.5,0.06666666666666667,0.13333333333333333,0.06666666666666667,-1054.0,-21.0,-1022.0,1186.0,57.0,0,1,0,0,0,0,0.0
2026-07-13,2026-07-13 14:10:00,7564.25,7563.75,7565.5,7562.25,-592,10000,7563.5,0.0,0.1388888888888889,1996,control,0,0,1,0,0,,3.25,0.46153846153846156,0.38461538461538464,0.46153846153846156,-1450.0,-5.0,-592.0,430.0,55.0,0,0,0,1,0,0,1.0
2026-07-13,2026-07-13 14:15:00,7563.75,7563.5,7565.75,7563.0,-40,6000,7563.5,0.0,0.0188679245283018,1956,control,0,0,1,0,0,,2.75,0.18181818181818182,0.7272727272727273,0.18181818181818182,-1654.0,-27.0,-40.0,552.0,54.0,0,0,0,1,0,0,1.0
2026-07-13,2026-07-13 14:20:00,7563.5,7559.0,7564.0,7558.0,-2110,14000,7559.75,0.0,0.0,-154,control,0,0,0,0,1,,6.0,0.16666666666666666,0.08333333333333333,0.16666666666666666,-2742.0,-21.0,-2110.0,2070.0,36.0,0,1,0,0,0,0,1.2
2026-07-13,2026-07-13 14:25:00,7559.0,7555.25,7559.5,7551.75,-2748,14000,7555.0,0.0,0.0,-2902,control,0,0,0,0,1,,7.75,0.45161290322580644,0.06451612903225806,0.45161290322580644,-4898.0,-34.0,-2748.0,638.0,21.0,0,0,0,1,1,0,3.0
2026-07-13,2026-07-13 14:30:00,7555.25,7556.0,7560.25,7554.25,-248,14000,7557.0,0.4411764705882353,0.4225352112676056,-3150,control,0,1,1,0,0,,6.0,0.2916666666666667,0.7083333333333334,0.16666666666666666,-5106.0,-30.0,-248.0,2500.0,24.0,0,1,0,1,0,0,1.0
2026-07-13,2026-07-13 14:35:00,7556.0,7554.5,7556.25,7551.0,-79,9999,7553.75,0.3392857142857143,0.0,-3229,LOW,0,0,1,0,0,1.0,5.25,0.6666666666666666,0.047619047619047616,0.6666666666666666,-3075.0,-18.0,-79.0,169.0,4.0,0,0,0,1,0,0,1.0
2026-07-13,2026-07-13 14:40:00,7554.5,7560.25,7562.25,7553.25,1611,12001,7560.5,0.0,0.4158415841584158,-1618,control,1,0,0,0,0,,9.0,0.7777777777777778,0.2222222222222222,0.1388888888888889,1284.0,20.0,1611.0,1690.0,41.0,0,1,0,0,0,0,0.0
2026-07-13,2026-07-13 14:45:00,7560.25,7560.5,7561.5,7557.5,527,7999,7558.5,0.2191780821917808,0.4468085106382978,-1091,control,0,0,1,0,0,,4.0,0.75,0.25,0.6875,2059.0,18.0,527.0,1084.0,42.0,0,1,0,1,0,0,1.0
2026-07-13,2026-07-13 14:50:00,7560.5,7562.75,7566.5,7559.75,1166,24000,7565.25,0.0,0.0,75,control,0,0,1,0,0,,6.75,0.4444444444444444,0.5555555555555556,0.1111111111111111,3304.0,33.0,1166.0,639.0,51.0,0,0,0,1,0,0,1.0
2026-07-13,2026-07-13 14:55:00,7562.75,7563.25,7568.25,7561.0,1320,67996,7563.0,0.0,0.0,1395,control,0,0,1,0,1,,7.25,0.3103448275862069,0.6896551724137931,0.2413793103448276,3013.0,12.0,1320.0,154.0,53.0,0,0,1,1,1,0,3.0
2026-07-14,2026-07-14 08:30:00,7579.5,7566.5,7581.25,7565.25,558,34000,7568.0,0.0,0.0,558,control,0,1,1,0,1,,16.0,0.078125,0.109375,0.078125,558.0,,,,14.0,0,0,0,0,0,0,1.2
2026-07-14,2026-07-14 08:35:00,7566.5,7578.5,7584.0,7564.25,1234,25990,7582.0,0.0,0.0,1792,control,0,0,1,1,0,,19.75,0.7215189873417721,0.27848101265822783,0.11392405063291139,1792.0,,1234.0,,14.0,0,0,0,0,0,0,2.0
2026-07-14,2026-07-14 08:40:00,7578.5,7583.25,7585.5,7575.75,526,20010,7581.25,0.0,0.1395348837209302,2318,control,0,0,1,0,0,,9.75,0.7692307692307693,0.23076923076923078,0.28205128205128205,2318.0,,526.0,708.0,33.0,0,0,0,0,0,0,0.0
2026-07-14,2026-07-14 08:45:00,7583.25,7582.75,7588.25,7576.25,174,18000,7580.25,0.0,0.2253521126760563,2492,control,0,1,1,1,0,,12.0,0.5416666666666666,0.4166666666666667,0.5416666666666666,1934.0,65.0,174.0,352.0,31.0,0,0,0,1,0,0,3.0
2026-07-14,2026-07-14 08:50:00,7582.75,7581.75,7586.5,7576.0,352,12000,7582.25,0.0,0.0,2844,control,0,1,1,0,0,,10.5,0.5476190476190477,0.35714285714285715,0.5476190476190477,1052.0,13.0,352.0,178.0,27.0,0,0,0,1,0,0,1.0
2026-07-14,2026-07-14 08:55:00,7581.75,7584.75,7586.0,7577.25,606,12000,7583.5,0.0,0.0,3450,control,0,0,1,0,0,,8.75,0.8571428571428571,0.14285714285714285,0.5142857142857142,1132.0,6.0,606.0,254.0,39.0,0,0,0,1,0,0,1.0
2026-07-14,2026-07-14 09:00:00,7584.75,7571.75,7585.25,7571.5,-634,14000,7575.25,0.0,0.2105263157894736,2816,control,1,0,1,0,0,,13.75,0.01818181818181818,0.03636363636363636,0.01818181818181818,324.0,-44.0,-634.0,1240.0,7.0,0,1,0,0,0,0,0.0
2026-07-14,2026-07-14 09:05:00,7571.75,7573.75,7577.25,7568.75,-162,12000,7572.75,0.0,0.0,2654,control,0,1,1,0,0,,8.5,0.5882352941176471,0.4117647058823529,0.35294117647058826,-190.0,-32.0,-162.0,472.0,5.0,0,0,0,0,0,0,0.0
2026-07-14,2026-07-14 09:10:00,7573.75,7570.5,7575.25,7567.75,8,12000,7569.5,0.1777777777777777,0.0,2662,control,1,1,1,0,0,,7.5,0.36666666666666664,0.2,0.36666666666666664,-788.0,-57.0,8.0,170.0,2.0,0,0,0,0,0,0,0.0
2026-07-14,2026-07-14 09:15:00,7570.5,7571.75,7571.75,7556.5,1592,24000,7561.5,0.0,0.0,4254,LOW,0,0,1,1,0,1.0,15.25,1.0,0.0,0.9180327868852459,1438.0,0.0,1592.0,1584.0,26.0,1,1,0,1,0,0,3.6
2026-07-14,2026-07-14 09:20:00,7571.75,7570.0,7579.5,7569.0,841,15999,7573.25,0.0,0.0,5095,control,0,1,1,0,0,,10.5,0.09523809523809523,0.7380952380952381,0.09523809523809523,2441.0,-15.0,841.0,751.0,0.0,1,0,1,1,0,0,1.6
2026-07-14,2026-07-14 09:25:00,7570.0,7578.5,7583.5,7570.0,839,14001,7574.0,0.1851851851851851,0.0,5934,control,0,0,1,0,0,,13.5,0.6296296296296297,0.37037037037037035,0.0,3272.0,32.0,839.0,2.0,14.0,0,0,0,0,0,0,0.0
2026-07-14,2026-07-14 09:30:00,7578.25,7591.0,7603.75,7575.0,1918,28000,7590.25,0.0,0.0,7852,HIGH,0,0,1,1,1,1.0,28.75,0.5565217391304348,0.4434782608695652,0.11304347826086956,3598.0,77.0,1918.0,1079.0,15.0,0,1,0,0,0,0,3.2
2026-07-14,2026-07-14 09:35:00,7591.0,7589.75,7591.75,7585.75,412,14000,7589.75,0.0178571428571428,0.0,8264,control,0,1,1,0,0,,6.0,0.6666666666666666,0.125,0.6666666666666666,3169.0,79.0,412.0,1506.0,41.0,0,1,0,1,0,0,1.0
2026-07-14,2026-07-14 09:40:00,7589.75,7584.0,7593.75,7580.0,-396,14000,7583.25,0.0,0.0,7868,control,1,0,1,0,0,,13.75,0.2909090909090909,0.2909090909090909,0.2909090909090909,1934.0,22.0,-396.0,808.0,36.0,0,0,0,0,0,0,0.0
2026-07-14,2026-07-14 09:45:00,7584.0,7578.0,7585.0,7578.0,-64,10000,7580.0,0.1428571428571428,0.0,7804,control,0,0,1,0,0,,7.0,0.0,0.14285714285714285,0.0,-48.0,-52.0,-64.0,332.0,12.0,0,0,0,0,0,0,0.0
