day,t5,Open,Close,High,Low,delta,vol,poc,hi_minfrac,lo_minfrac,cvd,kind,delta_flip,delta_close_mismatch,churn_absorption,cvd_div_local,vol_climax,finished_rej
2026-07-13,2026-07-13 12:40:00,7568.25,7572.5,7574.25,7568.25,1308,6000,7570.0,0.0,0.32075471698113206,-1016,control,1,0,0,0,0,
2026-07-13,2026-07-13 12:45:00,7572.5,7566.5,7572.75,7565.0,-682,6000,7570.25,0.0,0.0,-1698,control,1,0,0,0,0,
2026-07-13,2026-07-13 12:50:00,7566.5,7566.75,7567.75,7563.5,296,6000,7565.75,0.0,0.0,-1402,control,1,0,1,0,0,
2026-07-13,2026-07-13 12:55:00,7566.75,7564.5,7567.0,7563.0,688,8000,7564.0,0.0,0.0,-714,control,0,1,0,0,0,
2026-07-13,2026-07-13 13:00:00,7564.5,7570.75,7571.0,7564.5,882,10000,7568.0,0.0,0.5,168,control,0,0,0,0,1,
2026-07-13,2026-07-13 13:05:00,7570.5,7566.5,7574.0,7566.0,278,6000,7571.0,0.0,0.0,446,HIGH,0,1,1,1,0,1.0
2026-07-13,2026-07-13 13:10:00,7566.5,7566.5,7569.75,7562.75,720,8000,7567.5,0.0,0.0,1166,control,0,0,0,0,0,
2026-07-13,2026-07-13 13:15:00,7566.5,7562.5,7567.5,7561.5,-390,6000,7562.5,0.0,0.0,776,control,1,0,1,0,0,
2026-07-13,2026-07-13 13:20:00,7562.5,7563.25,7567.0,7562.25,426,8000,7564.0,0.0,0.0,1202,control,1,0,1,0,0,
2026-07-13,2026-07-13 13:25:00,7563.25,7562.5,7567.0,7562.5,-32,6000,7565.0,0.0,0.0,1170,control,1,0,1,0,0,
2026-07-13,2026-07-13 13:30:00,7562.5,7565.5,7567.0,7561.0,584,10000,7565.75,0.3924050632911392,0.0,1754,LOW,1,0,1,1,1,1.0
2026-07-13,2026-07-13 13:35:00,7565.5,7569.75,7570.25,7565.0,670,8000,7568.0,0.4451219512195122,0.2,2424,control,0,0,0,0,0,
2026-07-13,2026-07-13 13:40:00,7569.75,7570.25,7572.0,7568.5,465,5995,7569.75,0.04918032786885246,0.0,2889,control,0,0,1,0,0,
2026-07-13,2026-07-13 13:45:00,7570.25,7568.75,7570.75,7566.75,89,8003,7568.25,0.0,0.0,2978,control,0,1,1,0,0,
2026-07-13,2026-07-13 13:50:00,7568.75,7569.5,7572.25,7566.75,664,6002,7570.5,0.0,0.19298245614035087,3642,HIGH,0,0,0,0,0,1.0
2026-07-13,2026-07-13 13:55:00,7569.5,7565.0,7570.5,7565.0,-196,8000,7570.0,0.2926829268292683,0.0847457627118644,3446,control,1,0,1,0,0,
2026-07-13,2026-07-13 14:00:00,7565.0,7570.25,7570.5,7563.0,164,8000,7569.0,0.0,0.0,3610,control,1,0,1,0,0,
2026-07-13,2026-07-13 14:05:00,7570.25,7564.25,7571.25,7563.75,-1022,6000,7568.5,0.0,0.0,2588,control,1,0,0,0,0,
2026-07-13,2026-07-13 14:10:00,7564.25,7563.75,7565.5,7562.25,-592,10000,7563.5,0.0,0.1388888888888889,1996,control,0,0,1,0,0,
2026-07-13,2026-07-13 14:15:00,7563.75,7563.5,7565.75,7563.0,-40,6000,7563.5,0.0,0.018867924528301886,1956,control,0,0,1,0,0,
2026-07-13,2026-07-13 14:20:00,7563.5,7559.0,7564.0,7558.0,-2110,14000,7559.75,0.0,0.0,-154,control,0,0,0,0,1,
2026-07-13,2026-07-13 14:25:00,7559.0,7555.25,7559.5,7551.75,-2748,14000,7555.0,0.0,0.0,-2902,control,0,0,0,0,1,
2026-07-13,2026-07-13 14:30:00,7555.25,7556.0,7560.25,7554.25,-248,14000,7557.0,0.4411764705882353,0.4225352112676056,-3150,control,0,1,1,0,0,
2026-07-13,2026-07-13 14:35:00,7556.0,7554.5,7556.25,7551.0,-79,9999,7553.75,0.3392857142857143,0.0,-3229,LOW,0,0,1,0,0,1.0
2026-07-13,2026-07-13 14:40:00,7554.5,7560.25,7562.25,7553.25,1611,12001,7560.5,0.0,0.4158415841584158,-1618,control,1,0,0,0,0,
2026-07-13,2026-07-13 14:45:00,7560.25,7560.5,7561.5,7557.5,527,7999,7558.5,0.2191780821917808,0.44680851063829785,-1091,control,0,0,1,0,0,
2026-07-13,2026-07-13 14:50:00,7560.5,7562.75,7566.5,7559.75,1166,24000,7565.25,0.0,0.0,75,control,0,0,1,0,0,
2026-07-13,2026-07-13 14:55:00,7562.75,7563.25,7568.25,7561.0,1320,67996,7563.0,0.0,0.0,1395,control,0,0,1,0,1,
2026-07-14,2026-07-14 08:30:00,7579.5,7566.5,7581.25,7565.25,558,34000,7568.0,0.0,0.0,558,control,0,1,1,0,1,
2026-07-14,2026-07-14 08:35:00,7566.5,7578.5,7584.0,7564.25,1234,25990,7582.0,0.0,0.0,1792,control,0,0,1,1,0,
2026-07-14,2026-07-14 08:40:00,7578.5,7583.25,7585.5,7575.75,526,20010,7581.25,0.0,0.13953488372093023,2318,control,0,0,1,0,0,
2026-07-14,2026-07-14 08:45:00,7583.25,7582.75,7588.25,7576.25,174,18000,7580.25,0.0,0.22535211267605634,2492,control,0,1,1,1,0,
2026-07-14,2026-07-14 08:50:00,7582.75,7581.75,7586.5,7576.0,352,12000,7582.25,0.0,0.0,2844,control,0,1,1,0,0,
2026-07-14,2026-07-14 08:55:00,7581.75,7584.75,7586.0,7577.25,606,12000,7583.5,0.0,0.0,3450,control,0,0,1,0,0,
2026-07-14,2026-07-14 09:00:00,7584.75,7571.75,7585.25,7571.5,-634,14000,7575.25,0.0,0.21052631578947367,2816,control,1,0,1,0,0,
2026-07-14,2026-07-14 09:05:00,7571.75,7573.75,7577.25,7568.75,-162,12000,7572.75,0.0,0.0,2654,control,0,1,1,0,0,
2026-07-14,2026-07-14 09:10:00,7573.75,7570.5,7575.25,7567.75,8,12000,7569.5,0.17777777777777778,0.0,2662,control,1,1,1,0,0,
2026-07-14,2026-07-14 09:15:00,7570.5,7571.75,7571.75,7556.5,1592,24000,7561.5,0.0,0.0,4254,LOW,0,0,1,1,0,1.0
2026-07-14,2026-07-14 09:20:00,7571.75,7570.0,7579.5,7569.0,841,15999,7573.25,0.0,0.0,5095,control,0,1,1,0,0,
2026-07-14,2026-07-14 09:25:00,7570.0,7578.5,7583.5,7570.0,839,14001,7574.0,0.18518518518518517,0.0,5934,control,0,0,1,0,0,
