entry_dt,entry_px,k8,exit_dt,exit_px,pts,pnl,hold_h,ym,yq,yr
2024-03-26 12:00:00,5798.25,13.8,2024-03-27 12:00:00,5838.25,40.0,195.0,24.0,2024-03,2024-Q1,2024
2024-04-04 12:00:00,5728.75,6.1,2024-04-05 08:00:00,5798.5,69.75,343.75,20.0,2024-04,2024-Q2,2024
2024-04-10 08:00:00,5733.0,13.2,2024-04-11 12:00:00,5770.5,37.5,182.5,28.0,2024-04,2024-Q2,2024
2024-05-29 12:00:00,5807.0,10.6,2024-05-31 12:00:00,5824.5,17.5,82.5,48.0,2024-05,2024-Q2,2024
2024-06-24 12:00:00,5978.75,9.0,2024-06-25 12:00:00,5996.25,17.5,82.5,24.0,2024-06,2024-Q2,2024
2024-07-17 12:00:00,6101.25,7.8,2024-07-22 08:00:00,6060.75,-40.5,-207.5,116.0,2024-07,2024-Q3,2024
2024-09-03 08:00:00,6033.0,1.5,2024-09-09 08:00:00,5953.25,-79.75,-403.75,144.0,2024-09,2024-Q3,2024
2024-10-03 08:00:00,6136.75,11.4,2024-10-04 08:00:00,6182.25,45.5,222.5,24.0,2024-10,2024-Q4,2024
2024-10-23 08:00:00,6240.25,6.1,2024-10-24 12:00:00,6257.0,16.75,78.75,28.0,2024-10,2024-Q4,2024
2024-10-31 08:00:00,6165.0,9.4,2024-11-05 08:00:00,6208.75,43.75,213.75,120.0,2024-10,2024-Q4,2024
2024-11-14 12:00:00,6366.5,0.3,2024-11-19 08:00:00,6330.5,-36.0,-185.0,116.0,2024-11,2024-Q4,2024
2024-12-09 12:00:00,6463.25,2.9,2024-12-11 08:00:00,6501.0,37.75,183.75,44.0,2024-12,2024-Q4,2024
2024-12-13 08:00:00,6444.0,4.0,2024-12-16 08:00:00,6489.5,45.5,222.5,72.0,2024-12,2024-Q4,2024
2025-02-21 08:00:00,6399.75,2.0,2025-02-28 12:00:00,6288.75,-111.0,-560.0,172.0,2025-02,2025-Q1,2025
2025-05-21 12:00:00,6132.25,3.8,2025-05-26 08:00:00,6170.25,38.0,185.0,116.0,2025-05,2025-Q2,2025
2025-05-30 08:00:00,6144.25,11.4,2025-05-30 12:00:00,6196.0,51.75,253.75,4.0,2025-05,2025-Q2,2025
2025-06-19 08:00:00,6205.75,6.3,2025-06-20 08:00:00,6256.5,50.75,248.75,24.0,2025-06,2025-Q2,2025
2025-07-15 12:00:00,6504.75,1.5,2025-07-16 12:00:00,6528.5,23.75,113.75,24.0,2025-07,2025-Q3,2025
2025-07-31 12:00:00,6594.25,9.2,2025-08-04 08:00:00,6575.5,-18.75,-98.75,92.0,2025-07,2025-Q3,2025
2025-08-18 08:00:00,6688.25,11.6,2025-08-22 08:00:00,6705.5,17.25,81.25,96.0,2025-08,2025-Q3,2025
2025-09-02 08:00:00,6619.75,13.6,2025-09-03 12:00:00,6688.0,68.25,336.25,28.0,2025-09,2025-Q3,2025
2025-09-24 08:00:00,6857.75,11.4,2025-09-26 08:00:00,6863.25,5.5,22.5,48.0,2025-09,2025-Q3,2025
2025-10-10 08:00:00,6826.0,1.3,2025-10-13 08:00:00,6878.25,52.25,256.25,72.0,2025-10,2025-Q4,2025
2025-10-31 08:00:00,7025.75,4.0,2025-11-03 08:00:00,7060.0,34.25,166.25,72.0,2025-10,2025-Q4,2025
2025-11-04 08:00:00,6980.0,9.0,2025-11-05 08:00:00,7021.75,41.75,203.75,24.0,2025-11,2025-Q4,2025
2025-11-06 08:00:00,6928.5,13.8,2025-11-07 12:00:00,6931.25,2.75,8.75,28.0,2025-11,2025-Q4,2025
2025-12-15 08:00:00,6987.25,11.5,2025-12-18 08:00:00,6958.25,-29.0,-150.0,72.0,2025-12,2025-Q4,2025
2025-12-31 08:00:00,7031.5,8.4,2026-01-05 08:00:00,7065.5,34.0,165.0,120.0,2025-12,2025-Q4,2025
2026-01-14 08:00:00,7039.25,4.9,2026-01-15 08:00:00,7113.25,74.0,365.0,24.0,2026-01,2026-Q1,2026
2026-04-29 12:00:00,7199.0,3.3,2026-04-30 08:00:00,7258.25,59.25,291.25,20.0,2026-04,2026-Q2,2026
2026-05-19 12:00:00,7436.0,11.0,2026-05-20 08:00:00,7493.75,57.75,283.75,20.0,2026-05,2026-Q2,2026
2026-06-03 12:00:00,7628.5,6.8,2026-06-04 12:00:00,7655.25,26.75,128.75,24.0,2026-06,2026-Q2,2026
2026-06-05 08:00:00,7531.0,11.3,2026-06-09 12:00:00,7446.75,-84.25,-426.25,100.0,2026-06,2026-Q2,2026
2026-06-10 12:00:00,7332.75,7.9,2026-06-11 12:00:00,7468.0,135.25,671.25,24.0,2026-06,2026-Q2,2026
2026-06-23 12:00:00,7438.75,12.8,2026-06-29 08:00:00,7477.25,38.5,187.5,140.0,2026-06,2026-Q2,2026
