t,o,h,l,c,v
2026-07-09 18:41:00-05:00,7590.25,7590.25,7590.0,7590.0,51.0
2026-07-09 18:42:00-05:00,7590.0,7590.25,7589.25,7589.75,33.0
2026-07-09 18:43:00-05:00,7589.75,7590.25,7589.25,7589.75,39.0
2026-07-09 18:44:00-05:00,7589.75,7590.0,7589.25,7589.75,50.0
2026-07-09 18:45:00-05:00,7589.75,7590.0,7587.5,7588.75,208.0
2026-07-09 18:46:00-05:00,7588.75,7589.0,7588.25,7588.25,70.0
2026-07-09 18:47:00-05:00,7588.25,7588.5,7587.75,7587.75,29.0
2026-07-09 18:48:00-05:00,7587.75,7588.25,7587.5,7588.0,69.0
2026-07-09 18:49:00-05:00,7588.25,7588.25,7586.75,7587.5,80.0
2026-07-09 18:50:00-05:00,7587.25,7588.5,7587.25,7588.0,63.0
2026-07-09 18:51:00-05:00,7588.0,7588.75,7588.0,7588.75,59.0
2026-07-09 18:52:00-05:00,7588.75,7589.25,7588.75,7589.0,92.0
2026-07-09 18:53:00-05:00,7589.0,7589.5,7588.0,7589.5,52.0
2026-07-09 18:54:00-05:00,7589.5,7590.75,7589.5,7589.75,83.0
2026-07-09 18:55:00-05:00,7589.75,7590.5,7589.5,7590.25,53.0
2026-07-09 18:56:00-05:00,7590.5,7591.5,7590.0,7591.0,62.0
2026-07-09 18:57:00-05:00,7591.0,7591.25,7590.0,7590.0,83.0
2026-07-09 18:58:00-05:00,7590.0,7590.5,7589.0,7589.25,114.0
2026-07-09 18:59:00-05:00,7589.25,7589.5,7588.5,7588.5,127.0
2026-07-09 19:00:00-05:00,7588.5,7589.5,7586.75,7587.0,394.0
2026-07-09 19:01:00-05:00,7587.0,7587.25,7584.5,7584.75,345.0
2026-07-09 19:02:00-05:00,7584.75,7585.0,7583.25,7584.25,351.0
2026-07-09 19:03:00-05:00,7584.25,7584.75,7583.25,7583.75,218.0
2026-07-09 19:04:00-05:00,7584.0,7585.5,7583.75,7585.0,184.0
2026-07-09 19:05:00-05:00,7585.0,7585.5,7584.0,7584.0,138.0
2026-07-09 19:06:00-05:00,7583.75,7584.75,7583.5,7584.5,185.0
2026-07-09 19:07:00-05:00,7584.25,7584.5,7581.5,7581.5,328.0
2026-07-09 19:08:00-05:00,7581.5,7583.75,7581.25,7583.0,193.0
2026-07-09 19:09:00-05:00,7583.0,7584.0,7582.75,7584.0,173.0
2026-07-09 19:10:00-05:00,7584.0,7584.25,7581.5,7581.5,187.0
2026-07-09 19:11:00-05:00,7581.5,7582.25,7580.5,7580.75,276.0
2026-07-09 19:12:00-05:00,7581.0,7582.25,7580.75,7582.25,207.0
2026-07-09 19:13:00-05:00,7582.5,7582.5,7581.0,7582.25,165.0
2026-07-09 19:14:00-05:00,7582.5,7584.0,7581.75,7583.5,251.0
2026-07-09 19:15:00-05:00,7583.5,7584.5,7583.0,7583.5,213.0
2026-07-09 19:16:00-05:00,7583.25,7583.75,7582.0,7582.5,192.0
2026-07-09 19:17:00-05:00,7582.5,7583.0,7581.5,7582.5,132.0
2026-07-09 19:18:00-05:00,7582.25,7583.25,7582.0,7582.5,110.0
2026-07-09 19:19:00-05:00,7582.5,7582.5,7581.75,7582.0,96.0
2026-07-09 19:20:00-05:00,7582.0,7583.5,7581.75,7582.25,120.0
2026-07-09 19:21:00-05:00,7582.0,7583.5,7581.75,7583.25,79.0
2026-07-09 19:22:00-05:00,7583.25,7583.25,7580.75,7581.0,195.0
2026-07-09 19:23:00-05:00,7581.0,7581.0,7579.75,7580.0,309.0
2026-07-09 19:24:00-05:00,7579.75,7579.75,7578.25,7578.75,335.0
2026-07-09 19:25:00-05:00,7578.75,7579.25,7577.5,7578.75,365.0
2026-07-09 19:26:00-05:00,7578.75,7580.0,7578.0,7580.0,229.0
2026-07-09 19:27:00-05:00,7579.75,7579.75,7578.5,7578.5,142.0
2026-07-09 19:28:00-05:00,7578.5,7579.0,7577.75,7578.25,286.0
2026-07-09 19:29:00-05:00,7578.0,7580.0,7578.0,7579.5,164.0
2026-07-09 19:30:00-05:00,7579.75,7580.25,7579.0,7579.5,334.0
2026-07-09 19:31:00-05:00,7579.25,7579.75,7577.5,7578.25,175.0
2026-07-09 19:32:00-05:00,7578.25,7578.5,7577.75,7578.5,75.0
2026-07-09 19:33:00-05:00,7578.25,7578.75,7576.0,7576.25,288.0
2026-07-09 19:34:00-05:00,7576.5,7577.0,7575.75,7576.5,251.0
2026-07-09 19:35:00-05:00,7576.5,7577.25,7576.25,7576.75,185.0
2026-07-09 19:36:00-05:00,7576.75,7577.5,7575.75,7577.25,281.0
2026-07-09 19:37:00-05:00,7577.25,7577.75,7575.75,7576.75,226.0
2026-07-09 19:38:00-05:00,7576.5,7577.0,7575.75,7575.75,144.0
2026-07-09 19:39:00-05:00,7576.0,7576.75,7576.0,7576.0,135.0
2026-07-09 19:40:00-05:00,7575.75,7577.25,7575.75,7576.25,214.0
2026-07-09 19:41:00-05:00,7576.25,7577.5,7575.75,7576.75,302.0
2026-07-09 19:42:00-05:00,7576.5,7577.5,7576.5,7577.25,260.0
2026-07-09 19:43:00-05:00,7577.0,7577.25,7576.75,7577.25,202.0
2026-07-09 19:44:00-05:00,7577.25,7578.0,7576.75,7577.0,190.0
2026-07-09 19:45:00-05:00,7577.0,7577.25,7576.5,7576.5,178.0
2026-07-09 19:46:00-05:00,7576.5,7577.25,7576.25,7576.5,252.0
2026-07-09 19:47:00-05:00,7576.75,7577.0,7575.25,7576.75,272.0
2026-07-09 19:48:00-05:00,7577.0,7577.0,7575.0,7575.0,295.0
2026-07-09 19:49:00-05:00,7575.0,7576.0,7575.0,7575.75,218.0
2026-07-09 19:50:00-05:00,7575.75,7576.0,7574.5,7575.75,243.0
2026-07-09 19:51:00-05:00,7575.5,7576.5,7575.5,7575.75,120.0
2026-07-09 19:52:00-05:00,7576.0,7576.5,7575.75,7576.25,152.0
2026-07-09 19:53:00-05:00,7576.0,7576.0,7575.5,7576.0,67.0
2026-07-09 19:54:00-05:00,7575.75,7576.0,7575.5,7576.0,67.0
2026-07-09 19:55:00-05:00,7576.0,7577.75,7576.0,7577.75,208.0
2026-07-09 19:56:00-05:00,7578.0,7579.0,7577.75,7579.0,257.0
2026-07-09 19:57:00-05:00,7578.5,7580.0,7578.5,7579.75,243.0
2026-07-09 19:58:00-05:00,7579.75,7580.25,7579.5,7579.75,164.0
2026-07-09 19:59:00-05:00,7579.75,7580.75,7579.75,7580.75,172.0
2026-07-09 20:00:00-05:00,7580.75,7581.25,7580.25,7580.25,323.0
2026-07-09 20:01:00-05:00,7580.25,7581.0,7578.75,7578.75,517.0
2026-07-09 20:02:00-05:00,7579.0,7580.0,7578.75,7579.25,142.0
2026-07-09 20:03:00-05:00,7579.0,7579.75,7578.75,7579.0,109.0
2026-07-09 20:04:00-05:00,7579.25,7579.25,7577.5,7577.5,145.0
2026-07-09 20:05:00-05:00,7577.75,7578.0,7577.25,7577.5,199.0
2026-07-09 20:06:00-05:00,7577.5,7577.75,7577.0,7577.75,122.0
2026-07-09 20:07:00-05:00,7577.5,7578.5,7577.5,7578.25,159.0
2026-07-09 20:08:00-05:00,7578.0,7578.75,7577.75,7578.0,118.0
2026-07-09 20:09:00-05:00,7578.0,7578.75,7577.75,7577.75,90.0
2026-07-09 20:10:00-05:00,7577.5,7577.5,7576.0,7577.0,202.0
2026-07-09 20:11:00-05:00,7576.75,7577.25,7576.0,7577.0,175.0
2026-07-09 20:12:00-05:00,7577.0,7578.5,7577.0,7578.0,171.0
2026-07-09 20:13:00-05:00,7578.0,7578.25,7577.0,7577.5,124.0
2026-07-09 20:14:00-05:00,7577.5,7578.0,7577.25,7577.75,104.0
2026-07-09 20:15:00-05:00,7577.5,7578.5,7577.0,7578.25,159.0
2026-07-09 20:16:00-05:00,7578.25,7578.75,7577.75,7578.25,192.0
2026-07-09 20:17:00-05:00,7578.25,7579.0,7578.0,7578.75,124.0
2026-07-09 20:18:00-05:00,7578.5,7579.25,7578.0,7578.25,214.0
2026-07-09 20:19:00-05:00,7578.25,7579.0,7578.25,7578.75,157.0
2026-07-09 20:20:00-05:00,7579.0,7579.5,7579.0,7579.0,124.0
2026-07-09 20:21:00-05:00,7578.75,7579.0,7578.0,7578.5,92.0
2026-07-09 20:22:00-05:00,7578.25,7579.0,7577.5,7578.75,123.0
2026-07-09 20:23:00-05:00,7578.75,7579.5,7578.5,7579.25,74.0
2026-07-09 20:24:00-05:00,7579.25,7580.0,7579.25,7579.75,160.0
2026-07-09 20:25:00-05:00,7579.75,7580.0,7579.0,7579.25,93.0
2026-07-09 20:26:00-05:00,7579.25,7579.25,7577.75,7577.75,118.0
