date,close,dmin,dmax,sc,sp,credit,pnl,win,in_band,pos_gamma
2022-10-19,3695.159912,3667.47,3776.13,3780.0,3665.0,9.4,940.0,True,True,False
2022-10-20,3665.780029,3622.22,3769.7,3770.0,3620.0,5.5,550.0,True,True,False
2022-10-21,3752.75,3595.91,3734.55,3735.0,3595.0,0.9,-1685.0,False,False,False
2022-10-24,3797.340088,3710.68,3794.82,3795.0,3710.0,14.15,1180.99,True,False,True
2022-10-27,3807.300049,3765.77,3895.47,3900.0,3765.0,4.6,460.0,True,True,True
2022-10-28,3901.060059,3741.74,3876.0,3880.0,3740.0,6.6,-1446.01,False,False,True
2022-10-31,3871.97998,3866.6,3934.5,3935.0,3865.0,15.8,1580.0,True,True,False
2022-11-01,3856.100098,3803.08,3941.6,3945.0,3800.0,1.95,195.0,True,True,True
2022-11-02,3759.689941,3798.9,3913.3,3915.0,3795.0,13.05,-2226.01,False,False,True
2022-11-03,3719.889893,3703.28,3814.94,3815.0,3700.0,6.7,670.0,True,True,False
2022-11-04,3770.550049,3663.73,3775.87,3780.0,3660.0,11.05,1105.0,True,True,False
2022-11-07,3806.800049,3713.2,3825.04,3830.0,3710.0,5.6,560.0,True,True,False
2022-11-08,3828.110107,3751.76,3862.98,3865.0,3750.0,3.6,360.0,True,True,True
2022-11-09,3748.570068,3773.22,3883.46,3885.0,3770.0,8.65,-1277.99,False,False,True
2022-11-10,3956.370117,3692.44,3805.88,3810.0,3690.0,19.1,-3090.0,False,False,False
2022-11-15,3991.72998,3901.57,4013.13,4015.0,3900.0,4.9,490.0,True,True,True
2022-11-16,3958.790039,3938.44,4045.22,4050.0,3935.0,6.8,680.0,True,True,True
2022-11-17,3946.560059,3905.18,4013.8,4015.0,3905.0,5.75,575.0,True,True,True
2022-11-18,3965.340088,3894.37,4000.87,4005.0,3890.0,0.7,70.0,True,True,True
2022-11-21,3949.939941,3916.83,4017.41,4020.0,3915.0,5.85,585.0,True,True,True
2022-11-22,4003.580078,3904.34,3995.54,4000.0,3900.0,2.8,-78.01,False,False,True
2022-11-28,3963.939941,3979.74,4072.5,4075.0,3975.0,1.15,-991.01,False,False,True
2022-11-29,3957.629883,3915.17,4013.95,4015.0,3915.0,2.3,230.0,True,True,False
2022-11-30,4080.110107,3909.25,4005.45,4010.0,3905.0,9.5,-4050.0,False,False,False
2022-12-02,4071.699951,4029.37,4124.55,4125.0,4025.0,9.15,915.0,True,True,True
2022-12-05,3998.840088,4026.51,4116.59,4120.0,4025.0,2.95,-2320.99,False,False,True
2022-12-06,3941.26001,3948.42,4049.88,4050.0,3945.0,2.1,-164.0,False,False,False
2022-12-07,3933.919922,3889.68,3994.76,3995.0,3885.0,3.3,330.0,True,True,False
2022-12-08,3963.51001,3881.61,3985.29,3990.0,3880.0,3.75,375.0,True,True,False
2022-12-09,3934.379883,3911.39,4014.43,4015.0,3910.0,6.95,695.0,True,True,False
2022-12-12,3990.560059,3882.5,3986.22,3990.0,3880.0,3.9,333.99,True,False,False
2022-12-13,4019.649902,3944.15,4036.97,4040.0,3940.0,27.9,2790.0,True,True,True
2022-12-14,3995.320068,3984.14,4055.16,4060.0,3980.0,26.2,2620.0,True,True,True
2022-12-15,3895.75,3959.36,4031.28,4035.0,3955.0,12.35,-3765.0,False,False,False
2022-12-16,3852.360107,3856.46,3935.04,3940.0,3855.0,4.35,171.01,True,False,False
2022-12-20,3821.620117,3770.33,3865.31,3870.0,3770.0,4.05,405.0,True,True,False
2022-12-22,3822.389893,3831.58,3924.54,3925.0,3830.0,3.5,-411.01,False,False,True
2022-12-23,3844.820068,3772.73,3873.19,3875.0,3770.0,5.55,555.0,True,True,False
