Time,price,bid,ask,recorder,isasktrade,at_bid,at_ask,inside
2026-09-16 08:30:00.660,7675.25,7675.25,7675.5,A,B,True,False,False
2026-09-16 08:30:00.660,7675.25,7675.0,7675.25,B,A,False,True,False
2026-09-16 08:30:00.661,7675.25,7675.0,7675.5,A,B,False,False,True
2026-09-16 08:30:00.814,7675.75,7675.5,7675.75,B,A,False,True,False
2026-09-16 08:30:00.814,7675.75,7675.5,7675.75,B,A,False,True,False
2026-09-16 08:30:00.814,7675.75,7675.5,7675.75,B,A,False,True,False
2026-09-16 08:30:00.825,7675.75,7675.5,7675.75,B,A,False,True,False
2026-09-16 08:30:00.825,7675.75,7675.5,7676.0,B,A,False,False,True
2026-09-16 08:30:00.825,7675.75,7675.5,7676.0,B,A,False,False,True
2026-09-16 08:30:00.825,7675.75,7675.5,7676.0,B,A,False,False,True
2026-09-16 08:30:00.825,7675.75,7675.5,7676.0,B,A,False,False,True
2026-09-16 08:30:00.928,7675.75,7675.5,7675.75,B,A,False,True,False
2026-09-16 08:30:00.928,7675.75,7675.5,7675.75,B,A,False,True,False
2026-09-16 08:30:00.928,7675.75,7675.75,7675.75,B,A,True,True,False
2026-09-16 08:30:00.928,7675.75,7675.75,7675.75,B,A,True,True,False
2026-09-16 08:30:00.935,7675.75,7675.75,7676.0,A,B,True,False,False
2026-09-16 08:30:01.067,7675.25,7675.25,7675.25,B,A,True,True,False
2026-09-16 08:30:01.103,7675.5,7675.25,7675.5,B,A,False,True,False
2026-09-16 08:30:01.103,7675.5,7675.25,7675.5,B,A,False,True,False
2026-09-16 08:30:01.103,7675.5,7675.25,7675.5,B,A,False,True,False
2026-09-16 08:30:01.117,7675.5,7675.25,7675.5,B,A,False,True,False
2026-09-16 08:30:01.137,7675.5,7675.25,7675.75,B,A,False,False,True
2026-09-16 08:30:01.137,7675.5,7675.25,7675.75,B,A,False,False,True
2026-09-16 08:30:01.137,7675.5,7675.25,7675.75,B,A,False,False,True
2026-09-16 08:30:01.137,7675.5,7675.25,7675.75,B,A,False,False,True
2026-09-16 08:30:01.137,7675.5,7675.25,7675.75,B,A,False,False,True
2026-09-16 08:30:01.137,7675.5,7675.25,7675.75,B,A,False,False,True
2026-09-16 08:30:01.137,7675.5,7675.25,7675.75,B,A,False,False,True
2026-09-16 08:30:01.137,7675.5,7675.25,7675.75,B,A,False,False,True
2026-09-16 08:30:01.139,7675.75,7675.25,7675.75,B,A,False,True,False
2026-09-16 08:30:01.139,7675.75,7675.75,7676.0,A,B,True,False,False
2026-09-16 08:30:01.140,7675.75,7675.5,7675.75,B,A,False,True,False
2026-09-16 08:30:01.140,7675.75,7675.5,7676.0,B,A,False,False,True
2026-09-16 08:30:01.192,7676.75,7676.5,7676.75,B,A,False,True,False
2026-09-16 08:30:01.199,7676.75,7676.75,7676.75,B,A,True,True,False
2026-09-16 08:30:01.199,7676.75,7676.75,7676.75,B,A,True,True,False
2026-09-16 08:30:01.199,7676.75,7676.75,7676.75,B,A,True,True,False
2026-09-16 08:30:01.243,7676.75,7676.75,7677.0,A,B,True,False,False
2026-09-16 08:30:01.243,7676.75,7676.75,7677.0,A,B,True,False,False
2026-09-16 08:30:01.243,7676.75,7676.75,7677.0,A,B,True,False,False
2026-09-16 08:30:01.243,7676.75,7676.75,7677.0,A,B,True,False,False
2026-09-16 08:30:01.243,7676.75,7676.75,7677.0,A,B,True,False,False
2026-09-16 08:30:01.243,7676.75,7676.75,7677.0,A,B,True,False,False
2026-09-16 08:30:01.243,7676.75,7676.75,7677.0,A,B,True,False,False
2026-09-16 08:30:01.243,7676.75,7676.75,7677.0,A,B,True,False,False
2026-09-16 08:30:01.243,7676.75,7676.75,7677.0,A,B,True,False,False
2026-09-16 08:30:01.284,7676.75,7676.75,7677.0,A,B,True,False,False
2026-09-16 08:30:01.284,7676.75,7676.75,7677.0,A,B,True,False,False
2026-09-16 08:30:01.284,7676.75,7676.75,7677.0,A,B,True,False,False
2026-09-16 08:30:01.284,7676.75,7676.75,7677.0,A,B,True,False,False
2026-09-16 08:30:01.284,7676.75,7676.75,7677.0,A,B,True,False,False
2026-09-16 08:30:01.421,7676.5,7676.25,7676.75,B,A,False,False,True
2026-09-16 08:30:01.479,7676.0,7676.0,7676.25,A,B,True,False,False
2026-09-16 08:30:01.479,7676.0,7676.0,7676.25,A,B,True,False,False
2026-09-16 08:30:01.479,7676.0,7676.0,7676.25,A,B,True,False,False
2026-09-16 08:30:01.479,7676.0,7676.0,7676.25,A,B,True,False,False
