t_start,t_end,open,high,low,close,vol,buy,sell,trades,delta,cvd,poc
2026-09-15 22:42:00.525,2026-09-15 22:42:53.059,7671.5,7671.75,7671.0,7671.5,62,37,25,<bound method GroupBy.size of <pandas.api.typing.SeriesGroupBy object at 0x000002A46FA13530>>,12,-23,7671.5
2026-09-15 22:43:05.457,2026-09-15 22:43:59.258,7671.5,7672.25,7671.25,7672.25,88,42,46,<bound method GroupBy.size of <pandas.api.typing.SeriesGroupBy object at 0x000002A46FA13530>>,-4,-27,7671.5
2026-09-15 22:44:02.737,2026-09-15 22:44:59.873,7672.25,7672.75,7671.75,7672.25,153,93,60,<bound method GroupBy.size of <pandas.api.typing.SeriesGroupBy object at 0x000002A46FA13530>>,33,6,7672.5
2026-09-15 22:45:00.117,2026-09-15 22:45:57.576,7672.25,7673.25,7672.25,7673.0,140,87,53,<bound method GroupBy.size of <pandas.api.typing.SeriesGroupBy object at 0x000002A46FA13530>>,34,40,7673.25
2026-09-15 22:46:03.085,2026-09-15 22:46:59.896,7673.0,7673.5,7672.75,7673.5,44,24,20,<bound method GroupBy.size of <pandas.api.typing.SeriesGroupBy object at 0x000002A46FA13530>>,4,44,7673.0
2026-09-15 22:47:00.155,2026-09-15 22:47:59.425,7673.5,7674.0,7673.0,7673.5,163,78,85,<bound method GroupBy.size of <pandas.api.typing.SeriesGroupBy object at 0x000002A46FA13530>>,-7,37,7673.5
2026-09-15 22:48:01.062,2026-09-15 22:48:59.813,7673.5,7674.0,7673.0,7673.25,87,34,53,<bound method GroupBy.size of <pandas.api.typing.SeriesGroupBy object at 0x000002A46FA13530>>,-19,18,7673.75
2026-09-15 22:49:06.822,2026-09-15 22:49:52.235,7673.0,7673.25,7672.75,7672.75,76,47,29,<bound method GroupBy.size of <pandas.api.typing.SeriesGroupBy object at 0x000002A46FA13530>>,18,36,7673.0
2026-09-15 22:50:00.175,2026-09-15 22:50:50.858,7672.5,7673.0,7672.5,7672.75,113,58,55,<bound method GroupBy.size of <pandas.api.typing.SeriesGroupBy object at 0x000002A46FA13530>>,3,39,7672.75
2026-09-15 22:51:02.804,2026-09-15 22:51:55.326,7672.75,7673.0,7672.75,7672.75,68,35,33,<bound method GroupBy.size of <pandas.api.typing.SeriesGroupBy object at 0x000002A46FA13530>>,2,41,7672.75
2026-09-15 22:52:09.171,2026-09-15 22:52:59.782,7673.0,7673.5,7672.75,7673.5,69,33,36,<bound method GroupBy.size of <pandas.api.typing.SeriesGroupBy object at 0x000002A46FA13530>>,-3,38,7673.0
2026-09-15 22:53:00.820,2026-09-15 22:53:54.125,7673.5,7673.75,7673.5,7673.5,105,38,67,<bound method GroupBy.size of <pandas.api.typing.SeriesGroupBy object at 0x000002A46FA13530>>,-29,9,7673.5
2026-09-15 22:54:02.670,2026-09-15 22:54:55.648,7673.25,7673.25,7672.5,7672.5,107,48,59,<bound method GroupBy.size of <pandas.api.typing.SeriesGroupBy object at 0x000002A46FA13530>>,-11,-2,7673.0
2026-09-15 22:55:00.952,2026-09-15 22:55:49.918,7672.25,7673.0,7672.0,7673.0,108,52,56,<bound method GroupBy.size of <pandas.api.typing.SeriesGroupBy object at 0x000002A46FA13530>>,-4,-6,7672.25
2026-09-15 22:56:02.512,2026-09-15 22:56:57.263,7672.75,7673.25,7672.25,7673.25,68,37,31,<bound method GroupBy.size of <pandas.api.typing.SeriesGroupBy object at 0x000002A46FA13530>>,6,0,7672.75
2026-09-15 22:57:01.042,2026-09-15 22:57:55.213,7673.25,7673.5,7672.75,7672.75,68,27,41,<bound method GroupBy.size of <pandas.api.typing.SeriesGroupBy object at 0x000002A46FA13530>>,-14,-14,7673.25
2026-09-15 22:58:10.635,2026-09-15 22:58:50.442,7672.75,7672.75,7672.5,7672.5,31,18,13,<bound method GroupBy.size of <pandas.api.typing.SeriesGroupBy object at 0x000002A46FA13530>>,5,-9,7672.75
2026-09-15 22:59:11.080,2026-09-15 22:59:46.394,7672.5,7672.75,7672.5,7672.75,32,12,20,<bound method GroupBy.size of <pandas.api.typing.SeriesGroupBy object at 0x000002A46FA13530>>,-8,-17,7672.5
2026-09-15 23:00:05.317,2026-09-15 23:00:55.015,7672.75,7673.5,7672.5,7673.5,87,49,38,<bound method GroupBy.size of <pandas.api.typing.SeriesGroupBy object at 0x000002A46FA13530>>,11,-6,7673.0
2026-09-15 23:01:00.461,2026-09-15 23:01:57.430,7673.5,7673.5,7673.25,7673.25,37,17,20,<bound method GroupBy.size of <pandas.api.typing.SeriesGroupBy object at 0x000002A46FA13530>>,-3,-9,7673.5
2026-09-15 23:02:04.197,2026-09-15 23:02:48.453,7673.5,7673.5,7673.25,7673.5,58,33,25,<bound method GroupBy.size of <pandas.api.typing.SeriesGroupBy object at 0x000002A46FA13530>>,8,-1,7673.25
2026-09-15 23:03:01.090,2026-09-15 23:03:53.223,7673.5,7673.5,7673.25,7673.5,39,22,17,<bound method GroupBy.size of <pandas.api.typing.SeriesGroupBy object at 0x000002A46FA13530>>,5,4,7673.5
2026-09-15 23:04:10.977,2026-09-15 23:04:51.385,7673.75,7674.5,7673.75,7674.0,85,56,29,<bound method GroupBy.size of <pandas.api.typing.SeriesGroupBy object at 0x000002A46FA13530>>,27,31,7674.0
2026-09-15 23:05:02.065,2026-09-15 23:05:51.035,7673.75,7673.75,7672.5,7672.75,139,49,90,<bound method GroupBy.size of <pandas.api.typing.SeriesGroupBy object at 0x000002A46FA13530>>,-41,-10,7673.0
2026-09-15 23:06:00.175,2026-09-15 23:06:01.042,7672.75,7673.0,7672.75,7673.0,13,6,7,<bound method GroupBy.size of <pandas.api.typing.SeriesGroupBy object at 0x000002A46FA13530>>,-1,-11,7673.0
