BarIdx,BarTime,Open,Close,High,Low,MinDelta,MaxDelta,Delta,DurationSec,DeltaRate,UnfHigh,UnfLow
182,2026-07-20 08:15:00,7529,7527.25,7531.25,7527,-21,142,-6,298.5,-0.02,7531.25,7527
183,2026-07-20 08:20:00,7527.25,7528.25,7529,7526.25,-168,19,-167,299.3,-0.56,0,7526.25
184,2026-07-20 08:25:00,7528.5,7530.5,7531.25,7528.25,-77,5,-54,299.6,-0.18,7531.25,0
185,2026-07-20 08:30:00,7530.25,7534.25,7536.25,7530,-20,838,427,300.0,1.42,0,7530
186,2026-07-20 08:35:00,7534.5,7544.75,7545,7532.75,-637,978,145,299.9,0.48,0,7532.75
187,2026-07-20 08:40:00,7545,7546,7551.5,7541.25,-313,1604,824,300.0,2.75,0,0
188,2026-07-20 08:45:00,7546,7550.25,7550.5,7545,-251,728,483,299.6,1.61,0,7545
189,2026-07-20 08:50:00,7550,7540,7552,7539.25,-1653,552,-1524,299.9,-5.08,0,0
190,2026-07-20 08:55:00,7539.75,7528.5,7542.5,7526.25,-1730,329,-1523,299.9,-5.08,0,0
191,2026-07-20 09:00:00,7528.75,7520.5,7529,7519,-1228,19,-947,300.0,-3.16,0,7519
192,2026-07-20 09:05:00,7520.75,7522.25,7527.5,7517.5,-174,1578,1465,299.7,4.89,0,0
193,2026-07-20 09:10:00,7522.5,7517.75,7525.25,7516.25,-512,279,-341,299.8,-1.14,0,7516.25
194,2026-07-20 09:15:00,7517.75,7514,7517.75,7511.25,-842,4,-491,299.9,-1.64,7517.75,0
195,2026-07-20 09:20:00,7514,7512.5,7519,7510,-222,349,-198,299.9,-0.66,0,0
196,2026-07-20 09:25:00,7512.25,7513.5,7516,7506,-634,317,143,299.8,0.48,0,0
197,2026-07-20 09:30:00,7513.5,7520.5,7521.25,7512.5,-29,1178,1086,299.6,3.62,0,0
198,2026-07-20 09:35:00,7520.75,7516.25,7522.75,7514,-415,209,-359,299.9,-1.20,7522.75,0
199,2026-07-20 09:40:00,7516.25,7517.5,7519.5,7513.25,-359,18,-325,299.3,-1.09,0,7513.25
200,2026-07-20 09:45:00,7517.75,7512.75,7521.75,7511.25,-227,327,-111,299.9,-0.37,7521.75,0
201,2026-07-20 09:50:00,7512.75,7510.25,7521.5,7508.75,-1885,111,-1885,299.4,-6.30,7521.5,0
202,2026-07-20 09:55:00,7510,7507.25,7513.5,7505.5,-431,353,-106,299.7,-0.35,0,7505.5
203,2026-07-20 10:00:00,7507,7505.25,7508.75,7500.75,-957,101,-591,299.9,-1.97,7508.75,0
204,2026-07-20 10:05:00,7505,7509.5,7512.5,7502,-106,816,689,299.7,2.30,7512.5,7502
205,2026-07-20 10:10:00,7509.5,7518.25,7518.75,7502,-364,885,885,299.9,2.95,7518.75,0
206,2026-07-20 10:15:00,7518,7512,7518.75,7510.5,-543,30,-306,299.8,-1.02,0,7510.5
207,2026-07-20 10:20:00,7512,7516.5,7519.5,7509.75,-148,516,202,300.0,0.67,0,0
208,2026-07-20 10:25:00,7516.5,7521,7524.25,7514.5,-94,1090,795,299.7,2.65,0,7514.5
209,2026-07-20 10:30:00,7521,7522.5,7523.75,7516,-49,409,307,299.8,1.02,7523.75,7516
210,2026-07-20 10:35:00,7522.5,7522.75,7524.25,7521.25,-126,276,-47,299.9,-0.16,0,0
211,2026-07-20 10:40:00,7522.75,7518.5,7523.25,7517.75,-811,21,-793,300.0,-2.64,7523.25,7517.75
212,2026-07-20 10:45:00,7518.5,7523.5,7524,7516.5,-209,270,241,299.7,0.80,0,0
213,2026-07-20 10:50:00,7523.75,7516.75,7523.75,7514.5,-247,454,301,299.3,1.01,7523.75,0
214,2026-07-20 10:55:00,7516.5,7526,7528,7515,-68,1196,994,299.8,3.32,0,0
215,2026-07-20 11:00:00,7526.25,7523.5,7528.25,7523.25,-643,162,-607,299.6,-2.03,0,7523.25
216,2026-07-20 11:05:00,7523.75,7525.25,7526.5,7519.5,-504,191,-127,299.2,-0.42,0,7519.5
217,2026-07-20 11:10:00,7525.5,7531.75,7532.25,7525.25,-49,783,411,299.2,1.37,0,0
218,2026-07-20 11:15:00,7531.75,7531.75,7534,7530.25,-332,344,-288,299.2,-0.96,0,7530.25
219,2026-07-20 11:20:00,7532,7530.75,7532.5,7528,-574,62,-453,299.8,-1.51,0,7528
220,2026-07-20 11:25:00,7530.75,7531.5,7532.75,7530,-93,235,11,299.5,0.04,7532.75,7530
221,2026-07-20 11:30:00,7531.5,7528.75,7532,7525.25,-532,87,-281,299.8,-0.94,7532,0
222,2026-07-20 11:35:00,7528.75,7521.75,7531.5,7521.75,-466,187,-417,299.3,-1.39,7531.5,7521.75
223,2026-07-20 11:40:00,7521.75,7527.25,7527.5,7521.5,-33,435,409,299.5,1.37,0,0
224,2026-07-20 11:45:00,7527.25,7518,7529,7508.25,-1381,145,-925,299.4,-3.09,0,0
225,2026-07-20 11:50:00,7518,7525.25,7526,7516,-26,822,685,299.6,2.29,0,0
226,2026-07-20 11:55:00,7525.25,7513.75,7525.75,7513.25,-1526,61,-1442,299.8,-4.81,0,7513.25
227,2026-07-20 12:00:00,7513.5,7513.75,7515.5,7511,-176,219,-22,299.7,-0.07,7515.5,0
228,2026-07-20 12:05:00,7513.75,7509.5,7515.75,7509.5,-240,210,-153,299.4,-0.51,7515.75,7509.5
229,2026-07-20 12:10:00,7509.25,7509.75,7510.25,7505,-638,443,438,299.1,1.46,0,0
230,2026-07-20 12:15:00,7509.75,7502.75,7510.25,7502,-598,58,-349,299.8,-1.16,0,0
231,2026-07-20 12:20:00,7502.5,7504.75,7506.25,7499.25,-684,834,721,299.7,2.41,7506.25,7499.25
232,2026-07-20 12:25:00,7504.75,7504.75,7508.5,7503.25,-159,662,425,299.9,1.42,7508.5,7503.25
233,2026-07-20 12:30:00,7504.5,7505,7507.25,7502.5,-145,460,447,299.4,1.49,7507.25,0
234,2026-07-20 12:35:00,7504.75,7507,7507.75,7503,-10,900,896,299.9,2.99,7507.75,0
235,2026-07-20 12:40:00,7506.75,7504,7509.25,7503.5,-149,251,-50,299.8,-0.17,0,7503.5
236,2026-07-20 12:45:00,7504,7501.25,7504.25,7499.25,-390,65,-269,298.9,-0.90,0,0
