BarIdx,BarTime,Open,Close,High,Low,MinDelta,MaxDelta,Delta,DurationSec,DeltaRate,UnfHigh,UnfLow
640,2026-07-30 10:27:03,7406.75,7403.25,7407,7401,-48,256,158,109.8,1.44,0,7401
641,2026-07-30 10:28:53,7403.25,7401.25,7404.75,7399.25,-245,111,-128,95.5,-1.34,7404.75,0
642,2026-07-30 10:30:29,7401.25,7404.25,7406,7400.5,-50,316,272,121.3,2.24,7406,7400.5
643,2026-07-30 10:32:30,7404.25,7406.5,7407.5,7402,-20,493,438,111.2,3.94,0,7402
644,2026-07-30 10:34:21,7406.5,7415,7415.5,7406.5,0,2025,2004,67.1,29.87,0,7406.5
645,2026-07-30 10:35:28,7415,7412.5,7417.75,7411,-242,99,-196,106.3,-1.84,0,7411
646,2026-07-30 10:37:14,7412.5,7410.25,7413,7407.25,-68,334,324,122.8,2.64,7413,0
647,2026-07-30 10:39:17,7410.25,7413.75,7415.25,7409.5,-33,473,387,133.3,2.90,7415.25,7409.5
648,2026-07-30 10:41:31,7413.75,7419.75,7419.75,7412.75,-150,319,319,141.5,2.25,0,7412.75
649,2026-07-30 10:43:52,7419.75,7421,7422.75,7419,-35,1719,1603,92.2,17.39,0,7419
650,2026-07-30 10:45:24,7421,7425,7425,7420.5,-67,639,639,132.2,4.83,0,0
651,2026-07-30 10:47:37,7425,7425,7425.75,7420,0,1115,978,147.2,6.64,0,0
652,2026-07-30 10:50:04,7425,7418.25,7425.25,7418.25,-374,5,-310,150.1,-2.07,0,7418.25
653,2026-07-30 10:52:34,7418.25,7422.75,7424,7416.25,-396,330,256,125.9,2.03,7424,0
654,2026-07-30 10:54:40,7422.75,7428.75,7430,7422.5,-12,1001,764,103.6,7.37,0,0
655,2026-07-30 10:56:23,7428.75,7426.5,7429,7425.5,-675,45,-626,141.3,-4.43,7429,7425.5
656,2026-07-30 10:58:45,7426.5,7423.25,7427.25,7421.75,-1014,37,-942,137.7,-6.84,0,0
657,2026-07-30 11:01:02,7423.25,7429.75,7429.75,7422.5,-115,470,464,112.5,4.12,7429.75,7422.5
658,2026-07-30 11:02:55,7430,7434.75,7434.75,7429.75,0,1644,1644,86.0,19.11,7434.75,0
659,2026-07-30 11:04:21,7434.75,7434.25,7437.5,7434,0,1446,820,74.9,10.94,7437.5,0
660,2026-07-30 11:05:36,7434.25,7433.75,7435.75,7432,-251,133,-226,170.4,-1.33,7435.75,7432
661,2026-07-30 11:08:26,7433.75,7437.75,7438.25,7432.75,-42,280,168,185.3,0.91,0,7432.75
662,2026-07-30 11:11:32,7437.75,7442.25,7443,7437,-255,1337,1206,103.3,11.67,0,7437
663,2026-07-30 11:13:15,7442.25,7442.25,7443,7440.5,-13,249,126,156.9,0.80,7443,7440.5
664,2026-07-30 11:15:52,7442.25,7442.5,7444.75,7441.5,-248,129,-170,157.3,-1.08,0,7441.5
665,2026-07-30 11:18:29,7442.5,7443.25,7445.5,7442,-13,421,244,158.0,1.54,7445.5,7442
666,2026-07-30 11:21:07,7443.25,7441,7444.75,7439.25,-758,80,-652,153.6,-4.24,0,0
667,2026-07-30 11:23:41,7441,7439.5,7442,7439,-344,70,-248,163.2,-1.52,7442,7439
668,2026-07-30 11:26:24,7439.5,7440.75,7443.25,7439.5,-246,107,-220,199.1,-1.10,7443.25,7439.5
669,2026-07-30 11:29:43,7440.75,7439.5,7442.5,7436.75,-670,97,-594,169.6,-3.50,7442.5,0
670,2026-07-30 11:32:33,7439.5,7441.25,7442,7438.25,-408,187,-320,151.2,-2.12,0,7438.25
671,2026-07-30 11:35:04,7441.25,7440,7444.25,7439.25,-311,246,-292,169.3,-1.72,7444.25,0
672,2026-07-30 11:37:53,7440,7434.5,7440.5,7433.75,-934,26,-862,195.9,-4.40,0,7433.75
673,2026-07-30 11:41:09,7434.5,7434,7436,7431.25,-861,1,-302,118.8,-2.54,0,7431.25
674,2026-07-30 11:43:08,7434,7435.75,7436.5,7433,-749,15,-734,144.9,-5.06,0,7433
675,2026-07-30 11:45:33,7435.75,7438.75,7441.5,7435.5,-478,274,-466,188.1,-2.48,7441.5,0
676,2026-07-30 11:48:41,7438.75,7443.5,7443.5,7436.5,-655,54,-274,204.3,-1.34,0,7436.5
677,2026-07-30 11:52:05,7443.5,7443.25,7445.75,7442.25,-310,189,-300,194.3,-1.54,0,0
678,2026-07-30 11:55:20,7443.25,7445.5,7446,7441.75,-306,153,147,280.5,0.52,0,7441.75
679,2026-07-30 12:00:00,7445.5,7451.5,7453.25,7445.5,-32,1983,1885,67.9,27.76,0,7445.5
680,2026-07-30 12:01:08,7451.5,7451.75,7454.75,7451.5,-782,27,-781,167.2,-4.67,0,7451.5
681,2026-07-30 12:03:55,7451.75,7452,7455.5,7451.25,-308,13,-281,198.1,-1.42,0,0
682,2026-07-30 12:07:14,7452,7452.75,7454,7450,-549,60,-514,282.9,-1.82,0,0
683,2026-07-30 12:11:56,7452.75,7450.75,7453.25,7449.5,-664,43,-664,239.5,-2.77,7453.25,7449.5
684,2026-07-30 12:15:56,7450.75,7454,7456.5,7450.25,-89,279,114,286.4,0.40,0,0
685,2026-07-30 12:20:42,7454.25,7453.25,7455.75,7451,-398,74,-326,388.7,-0.84,0,0
686,2026-07-30 12:27:11,7453.25,7451.5,7454.25,7450.5,-620,93,-586,236.3,-2.48,0,0
687,2026-07-30 12:31:08,7451.5,7452.5,7453,7448,-483,6,-228,357.2,-0.64,0,7448
688,2026-07-30 12:37:05,7452.5,7449.75,7453.25,7445.75,-579,28,-484,198.9,-2.43,7453.25,7445.75
689,2026-07-30 12:40:24,7449.75,7455,7455.5,7448.25,-118,1146,1114,189.6,5.88,0,0
690,2026-07-30 12:43:33,7455,7453.5,7455.5,7452.5,-547,0,-536,277.3,-1.93,7455.5,0
691,2026-07-30 12:48:11,7453.5,7454.5,7457.75,7452,-221,444,52,291.0,0.18,0,0
692,2026-07-30 12:53:02,7454.5,7452.5,7454.5,7450.25,-569,15,-558,375.2,-1.49,7454.5,0
693,2026-07-30 12:59:17,7452.25,7451,7456.75,7450.75,-324,228,-318,342.5,-0.93,0,0
694,2026-07-30 13:05:00,7451,7454.5,7455.75,7450.5,-245,56,-182,324.7,-0.56,7455.75,0
695,2026-07-30 13:10:24,7454.5,7454.75,7456.75,7453.5,-46,242,18,321.5,0.06,7456.75,7453.5
696,2026-07-30 13:15:46,7454.75,7456.75,7457.75,7454.25,-340,0,-186,367.8,-0.51,0,7454.25
697,2026-07-30 13:21:54,7456.75,7457,7458,7455,-595,19,-384,359.4,-1.07,7458,7455
698,2026-07-30 13:27:54,7456.75,7457.5,7459.75,7455.5,-89,410,89,330.6,0.27,0,0
699,2026-07-30 13:33:25,7457.5,7454.25,7457.75,7454,-451,33,-405,349.6,-1.16,0,0
700,2026-07-30 13:39:15,7454.25,7456.75,7457.25,7454,-279,12,-180,318.8,-0.56,0,7454
701,2026-07-30 13:44:33,7456.75,7458.5,7459.5,7456.5,-31,295,84,293.1,0.29,7459.5,0
702,2026-07-30 13:49:26,7458.5,7460,7460.75,7457.75,-471,268,-69,268.3,-0.26,0,7457.75
703,2026-07-30 13:53:55,7460,7461.25,7461.25,7457.5,-434,61,54,325.3,0.17,7461.25,0
704,2026-07-30 13:59:20,7461.25,7465,7465.25,7460.75,-21,741,667,155.7,4.28,0,7460.75
705,2026-07-30 14:01:56,7465,7467,7467.5,7464.5,-71,362,362,230.8,1.57,7467.5,0
706,2026-07-30 14:05:46,7467,7469.25,7470,7466,-128,639,258,173.1,1.49,0,0
707,2026-07-30 14:08:40,7469.25,7476,7477,7468.75,-24,1205,1201,119.0,10.09,0,0
708,2026-07-30 14:10:39,7476,7476,7477.75,7473.75,-377,470,395,146.0,2.70,0,0
709,2026-07-30 14:13:05,7476,7473.75,7476.75,7471.5,-733,31,-574,178.0,-3.22,0,0
710,2026-07-30 14:16:03,7473.75,7476.25,7478.5,7473.25,-86,480,372,250.8,1.48,0,0
711,2026-07-30 14:20:13,7476.25,7475.75,7476.75,7473.25,-288,30,-196,256.6,-0.76,0,0
712,2026-07-30 14:24:30,7475.75,7472.25,7475.75,7472.25,-546,35,-546,288.3,-1.89,7475.75,7472.25
713,2026-07-30 14:29:18,7472.25,7470.75,7473.5,7470.75,-132,173,146,204.4,0.71,7473.5,7470.75
714,2026-07-30 14:32:43,7470.75,7471.25,7472.75,7470.25,-350,82,-252,183.4,-1.37,7472.75,7470.25
