date,symbol,cr0,ps0,hvl0,gw0,d1_min,d1_max
2026-06-15,ES,7700.0,7570.0,7515.0,,7560.78,7687.72
2026-06-16,ES,7700.0,7490.0,7515.0,,7518.48,7647.52
2026-06-17,ES,7470.0,7490.0,7545.0,,7440.86,7581.14
2026-06-18,ES,7560.0,7500.0,7545.0,,7507.81,7641.69
2026-06-22,ES,7580.0,7540.0,7545.0,,7471.6,7609.9
2026-06-23,ES,7475.0,7400.0,7510.0,,7370.77,7520.23
2026-06-24,ES,7500.0,7450.0,7490.0,,7405.53,7549.47
2026-06-25,ES,7540.0,7450.0,7475.0,,7359.52,7507.98
2026-06-26,ES,7460.0,7400.0,7490.0,,7324.25,7470.25
2026-06-29,ES,7525.0,7400.0,7460.0,,7428.94,7558.06
2026-06-30,ES,7600.0,7475.0,7505.0,,7472.61,7611.39
2026-07-01,ES,7610.0,7525.0,7525.0,,7462.13,7603.37
2026-07-02,ES,7600.0,7525.0,7525.0,,7462.24,7583.76
2026-07-06,ES,7600.0,7500.0,7515.0,,7535.52,7657.98
2026-07-07,ES,7550.0,7525.0,7545.0,,7488.47,7615.03
2026-07-08,ES,7575.0,7500.0,7520.0,,7447.65,7583.35
2026-07-09,ES,7600.0,7500.0,7520.0,,7523.78,7648.72
2026-07-10,ES,7600.0,7410.0,7545.0,,7564.35,7687.65
2026-07-13,ES,7630.0,7540.0,7545.0,,7487.97,7620.53
2025-09-02,NQ,23510.0,23050.0,23270.0,460.0,23117.19,23641.81
2025-09-03,NQ,23500.0,23200.0,23360.0,300.0,23205.68,23705.82
2025-09-04,NQ,23850.0,23425.0,23475.0,425.0,23453.22,23914.78
2025-09-05,NQ,23700.0,23380.0,23480.0,320.0,23452.18,23894.32
2025-09-08,NQ,23850.0,23700.0,23740.0,150.0,23573.78,24023.22
2025-09-09,NQ,23900.0,23800.0,23490.0,100.0,23664.83,24114.67
2025-09-10,NQ,24000.0,23630.0,23830.0,370.0,23624.55,24091.45
2025-09-11,NQ,24250.0,23800.0,23890.0,450.0,23800.04,24213.46
2025-09-12,NQ,24200.0,23000.0,23725.0,1200.0,24090.64,24614.86
2025-09-15,NQ,25000.0,24000.0,23725.0,1000.0,24268.49,24807.51
2025-09-16,NQ,25000.0,24000.0,23990.0,1000.0,24256.94,24803.56
2025-09-18,NQ,24800.0,24550.0,24490.0,250.0,24439.24,24988.26
2025-09-19,NQ,25000.0,24600.0,23990.0,400.0,24583.84,25138.16
2025-09-22,NQ,25000.0,24920.0,24940.0,80.0,24711.4,25281.1
2025-09-23,NQ,25000.0,24850.0,24740.0,150.0,24542.12,25125.38
2025-09-24,NQ,24700.0,24650.0,24690.0,50.0,24633.55,24861.45
2025-09-25,NQ,24825.0,24500.0,24625.0,325.0,24345.52,24925.48
2025-09-26,NQ,24750.0,24700.0,24490.0,50.0,24446.03,25006.97
2025-09-29,NQ,25000.0,24725.0,24740.0,275.0,24527.69,25094.81
2025-09-30,NQ,25000.0,24650.0,24790.0,350.0,24553.78,25122.72
2025-12-01,NQ,25500.0,25190.0,25275.0,,25082.89,25716.61
2025-12-02,NQ,25700.0,25440.0,25440.0,,25287.34,25920.16
2025-12-03,NQ,25700.0,25550.0,25440.0,,25350.89,25940.61
2025-12-04,NQ,25700.0,25400.0,25440.0,,25346.04,25918.96
2025-12-05,NQ,25680.0,25150.0,25370.0,,25459.65,26010.35
2025-12-08,NQ,25725.0,25480.0,25550.0,,25405.65,26007.85
2025-12-09,NQ,25900.0,25500.0,25660.0,,25372.92,25979.58
2025-12-10,NQ,26000.0,25550.0,25660.0,,25521.6,26079.4
2025-12-11,NQ,25850.0,25500.0,25675.0,,25583.53,26085.97
2025-12-12,NQ,25900.0,25000.0,25450.0,,25149.43,25768.57
2025-12-15,NQ,25900.0,25250.0,25475.0,,25061.53,25635.97
