date,momentum,seasonality,volatility,option
2025-11-18,2.0,-2.33163623611759,4.0,1.0
2025-11-19,2.0,-1.253307188837906,4.0,1.0
2025-11-20,2.0,0.0,4.0,1.0
2025-11-21,2.0,0.0,4.0,1.0
2025-11-24,2.0,3.2290945602459864,3.0,3.0
2025-11-25,4.0,5.0,2.0,4.0
2025-11-26,4.0,3.156394696201974,2.0,5.0
2025-11-28,5.0,1.797313624954601,2.0,5.0
2025-12-01,5.0,1.406914771382703,2.0,5.0
2025-12-02,5.0,0.0,1.0,5.0
2025-12-03,5.0,0.0,1.0,5.0
2025-12-04,5.0,1.1498097114408967,1.0,5.0
2025-12-05,5.0,0.981796285296678,1.0,5.0
2025-12-08,5.0,0.0,2.0,4.0
2025-12-09,5.0,0.0,2.0,4.0
2025-12-10,5.0,-0.9349762721970432,1.0,5.0
2025-12-11,5.0,-1.3122307370154729,0.0,5.0
2025-12-12,5.0,-0.6734712087359774,1.0,4.0
2025-12-15,5.0,-1.8749570011240972,1.0,3.0
2025-12-16,3.0,0.0,1.0,1.0
2025-12-17,2.0,0.0,2.0,1.0
2025-12-18,2.0,0.0,1.0,1.0
2025-12-19,4.0,0.9932855108973072,1.0,3.0
2025-12-22,4.0,1.9308922852453008,1.0,4.0
2025-12-23,5.0,1.3076005160755408,1.0,4.0
2025-12-24,5.0,0.0,1.0,3.0
2025-12-26,5.0,0.0,1.0,4.0
2025-12-29,5.0,0.0,1.0,3.0
2025-12-30,5.0,0.0,1.0,2.0
2025-12-31,4.0,0.0,1.0,0.0
2026-01-02,4.0,0.0,1.0,0.0
2026-01-05,4.0,0.0,1.0,2.0
2026-01-06,5.0,0.0,1.0,3.0
2026-01-07,5.0,0.0,1.0,2.0
2026-01-08,5.0,-0.608247082459399,1.0,2.0
2026-01-09,5.0,0.0,1.0,3.0
2026-01-12,5.0,-2.786226959858788,1.0,3.0
2026-01-13,5.0,-1.6274718341657315,1.0,3.0
2026-01-14,5.0,-1.5908546805501855,1.0,0.0
2026-01-15,5.0,0.0,1.0,2.0
2026-01-16,4.0,-0.5926712856925715,1.0,2.0
2026-01-20,2.0,0.0,3.0,0.0
2026-01-21,2.0,0.0,2.0,0.0
2026-01-22,4.0,0.0,1.0,2.0
2026-01-23,4.0,0.0,1.0,0.0
2026-01-26,4.0,0.0,1.0,3.0
2026-01-27,4.0,2.58156663826521,1.0,3.0
2026-01-28,5.0,0.0,1.0,3.0
2026-01-29,5.0,0.0,1.0,3.0
2026-01-30,5.0,0.0,2.0,1.0
2026-02-02,5.0,0.0,1.0,2.0
2026-02-03,3.0,-1.2410929373938937,2.0,0.0
2026-02-04,2.0,0.0,3.0,0.0
2026-02-05,2.0,1.011122487517816,3.0,0.0
2026-02-06,4.0,1.2725952010025243,3.0,3.0
2026-02-09,4.0,0.975850907350388,3.0,4.0
2026-02-10,4.0,2.794396068561562,3.0,3.0
2026-02-11,4.0,1.7928837615841144,3.0,3.0
2026-02-12,1.0,0.0,4.0,1.0
2026-02-13,1.0,-3.379726201083084,3.0,1.0
2026-02-17,2.0,-2.234655135115448,4.0,1.0
2026-02-18,2.0,-4.050829714124392,4.0,1.0
2026-02-19,2.0,-3.6831640840671858,4.0,1.0
2026-02-20,4.0,-3.133452886136717,2.0,3.0
2026-02-23,2.0,-2.1595776438596648,4.0,1.0
2026-02-24,2.0,-3.713207256716386,3.0,1.0
2026-02-25,5.0,-1.7914494199899678,3.0,4.0
2026-02-26,5.0,-1.006496084536978,3.0,3.0
2026-02-27,3.0,-3.376989679152297,3.0,1.0
2026-03-02,3.0,-2.360886604623661,4.0,1.0
2026-03-03,1.0,-2.3751625067631306,4.0,1.0
2026-03-04,2.0,-1.98796507840211,4.0,1.0
2026-03-05,2.0,-2.0834509861596886,4.0,1.0
2026-03-06,1.0,0.0,4.0,1.0
2026-03-09,1.0,1.356134234485741,4.0,1.0
2026-03-10,1.0,0.0,3.0,1.0
2026-03-11,1.0,0.968155739998838,3.0,1.0
2026-03-12,1.0,0.0,4.0,1.0
2026-03-13,1.0,1.5720791037818471,4.0,1.0
2026-03-16,1.0,0.0,4.0,1.0
2026-03-17,1.0,0.0,4.0,1.0
2026-03-18,1.0,0.0,4.0,1.0
2026-03-19,1.0,1.4502496757915877,4.0,1.0
2026-03-20,1.0,0.8835446733769516,4.0,1.0
2026-03-23,1.0,0.0,4.0,1.0
2026-03-24,1.0,3.0366642166689672,4.0,1.0
2026-03-25,1.0,2.507162803577468,4.0,1.0
2026-03-26,1.0,0.0,4.0,1.0
2026-03-27,1.0,0.0,5.0,1.0
2026-03-30,1.0,0.0,5.0,1.0
2026-03-31,1.0,0.0,4.0,1.0
2026-04-01,1.0,0.0,4.0,2.0
2026-04-02,2.0,0.0,4.0,1.0
2026-04-06,3.0,0.0,4.0,2.0
2026-04-07,3.0,1.5860896176089112,4.0,2.0
2026-04-08,4.0,1.9017592324571209,3.0,5.0
2026-04-09,4.0,0.0,2.0,5.0
2026-04-10,4.0,0.0,1.0,5.0
2026-04-13,4.0,0.0,1.0,5.0
2026-04-14,4.0,0.0,1.0,5.0
2026-04-15,5.0,0.0,1.0,5.0
2026-04-16,5.0,0.9795823303238214,1.0,5.0
2026-04-17,5.0,0.0,1.0,5.0
2026-04-20,5.0,0.0,1.0,5.0
2026-04-21,5.0,0.0,2.0,5.0
2026-04-22,5.0,2.8523233501880374,1.0,5.0
2026-04-23,5.0,0.7860535563803194,2.0,5.0
2026-04-24,5.0,0.7444916531566939,1.0,5.0
2026-04-27,5.0,0.0,1.0,5.0
2026-04-28,5.0,0.0,1.0,5.0
2026-04-29,5.0,-0.8180632605043676,2.0,5.0
2026-04-30,5.0,0.0,1.0,5.0
2026-05-01,5.0,0.0,1.0,5.0
2026-05-04,5.0,0.0,1.0,5.0
2026-05-05,5.0,0.0,1.0,5.0
2026-05-06,5.0,-0.4621568382292178,1.0,5.0
2026-05-07,5.0,0.0,1.0,5.0
2026-05-08,5.0,-0.5051512564055467,1.0,5.0
2026-05-11,5.0,0.0,1.0,5.0
2026-05-12,5.0,0.0,1.0,5.0
2026-05-13,5.0,0.0,1.0,5.0
2026-05-14,5.0,0.0,1.0,5.0
2026-05-15,5.0,-0.9804845244266154,1.0,5.0
2026-05-18,4.0,-1.1460530341866255,1.0,5.0
2026-05-19,4.0,0.0,1.0,5.0
2026-05-20,4.0,1.5730778671270622,1.0,5.0
2026-05-21,4.0,0.9383763080603476,1.0,5.0
2026-05-22,4.0,2.4597905658045125,1.0,5.0
2026-05-26,4.0,2.06852213845938,1.0,5.0
2026-05-27,4.0,2.0157307106057822,1.0,5.0
2026-05-28,4.0,0.0,1.0,5.0
2026-05-29,4.0,0.0,1.0,5.0
2026-06-01,4.0,0.0,1.0,5.0
2026-06-02,4.0,0.0,1.0,5.0
2026-06-03,4.0,0.0,1.0,4.0
2026-06-04,4.0,0.0,1.0,5.0
2026-06-05,2.0,-1.0591670682062715,2.0,1.0
2026-06-08,3.0,-2.016061811754535,2.0,2.0
2026-06-09,2.0,-1.3029706907385172,2.0,1.0
2026-06-10,2.0,-1.8111040329672616,4.0,1.0
2026-06-11,3.0,0.0,4.0,3.0
2026-06-12,4.0,1.281111845894018,3.0,4.0
2026-06-15,4.0,0.0,1.0,5.0
2026-06-16,4.0,0.0,1.0,4.0
2026-06-17,3.0,0.0,2.0,2.0
2026-06-18,4.0,-1.630386301341806,1.0,3.0
2026-06-22,4.0,-2.076849364982905,2.0,3.0
2026-06-23,2.0,-2.757088181688987,3.0,1.0
2026-06-24,2.0,0.0,4.0,1.0
2026-06-25,2.0,0.0,4.0,1.0
2026-06-26,2.0,1.4683378065123285,3.0,1.0
2026-06-29,4.0,1.320367945376526,2.0,3.0
2026-06-30,4.0,3.267500063951188,1.0,3.0
2026-07-01,4.0,2.0234904786658188,1.0,3.0
2026-07-02,4.0,0.7391741248810512,1.0,3.0
2026-07-06,5.0,0.0,1.0,3.0
2026-07-07,5.0,1.7680681084003955,1.0,3.0
2026-07-08,5.0,0.0,0.0,3.0
2026-07-09,5.0,2.48039145065644,0.0,4.0
2026-07-10,5.0,1.0617099661067009,0.0,4.0
2026-07-13,5.0,1.706149343991498,1.0,3.0
2026-07-14,5.0,2.2939136176786805,1.0,3.0
