ts,trade_id,unreal_pnl,mid,vix
2026-08-24 14:51:07,xsp_auto_20260824_083512,-82.0,-1.0,15.78
2026-08-24 14:51:39,xsp_auto_20260824_083027,-92.0,-1.0,15.78
2026-08-24 14:51:39,xsp_auto_20260824_083312,-98.0,-1.0,15.78
2026-08-24 14:51:39,xsp_auto_20260824_083440,-34.5,-0.655,15.78
2026-08-24 14:51:39,xsp_auto_20260824_083512,-82.0,-1.0,15.78
2026-08-24 14:52:11,xsp_auto_20260824_083027,-92.0,-1.0,15.78
2026-08-24 14:52:11,xsp_auto_20260824_083312,-98.0,-1.0,15.78
2026-08-24 14:52:11,xsp_auto_20260824_083440,-34.5,-0.655,15.78
2026-08-24 14:52:11,xsp_auto_20260824_083512,-82.0,-1.0,15.78
2026-08-24 14:52:43,xsp_auto_20260824_083027,-92.0,-1.0,15.78
2026-08-24 14:52:43,xsp_auto_20260824_083312,-98.0,-1.0,15.78
2026-08-24 14:52:43,xsp_auto_20260824_083440,-34.5,-0.655,15.78
2026-08-24 14:52:43,xsp_auto_20260824_083512,-82.0,-1.0,15.78
2026-08-24 14:53:15,xsp_auto_20260824_083027,-92.0,-1.0,15.78
2026-08-24 14:53:15,xsp_auto_20260824_083312,-98.0,-1.0,15.78
2026-08-24 14:53:15,xsp_auto_20260824_083440,-34.5,-0.655,15.78
2026-08-24 14:53:15,xsp_auto_20260824_083512,-82.0,-1.0,15.78
2026-08-24 14:53:47,xsp_auto_20260824_083027,-92.0,-1.0,15.78
2026-08-24 14:53:47,xsp_auto_20260824_083312,-98.0,-1.0,15.78
2026-08-24 14:53:47,xsp_auto_20260824_083440,-34.5,-0.655,15.78
2026-08-24 14:53:47,xsp_auto_20260824_083512,-82.0,-1.0,15.78
2026-08-24 14:54:19,xsp_auto_20260824_083027,-92.0,-1.0,15.81
2026-08-24 14:54:19,xsp_auto_20260824_083312,-98.0,-1.0,15.81
2026-08-24 14:54:19,xsp_auto_20260824_083440,-34.5,-0.655,15.81
2026-08-24 14:54:19,xsp_auto_20260824_083512,-82.0,-1.0,15.81
2026-08-24 14:54:51,xsp_auto_20260824_083027,-92.0,-1.0,15.81
2026-08-24 14:54:51,xsp_auto_20260824_083312,-98.0,-1.0,15.81
2026-08-24 14:54:51,xsp_auto_20260824_083440,-34.5,-0.655,15.81
2026-08-24 14:54:51,xsp_auto_20260824_083512,-82.0,-1.0,15.81
2026-08-24 14:55:23,xsp_auto_20260824_083027,-92.0,-1.0,15.81
2026-08-24 14:55:23,xsp_auto_20260824_083312,-98.0,-1.0,15.81
2026-08-24 14:55:23,xsp_auto_20260824_083440,-34.5,-0.655,15.81
2026-08-24 14:55:23,xsp_auto_20260824_083512,-82.0,-1.0,15.81
2026-08-24 14:55:55,xsp_auto_20260824_083027,-92.0,-1.0,15.81
2026-08-24 14:55:55,xsp_auto_20260824_083312,-98.0,-1.0,15.81
2026-08-24 14:55:55,xsp_auto_20260824_083440,-34.5,-0.655,15.81
2026-08-24 14:55:55,xsp_auto_20260824_083512,-82.0,-1.0,15.81
2026-08-24 14:56:27,xsp_auto_20260824_083027,-92.0,-1.0,15.81
2026-08-24 14:56:27,xsp_auto_20260824_083312,-98.0,-1.0,15.81
2026-08-24 14:56:27,xsp_auto_20260824_083440,-34.5,-0.655,15.81
2026-08-24 14:56:27,xsp_auto_20260824_083512,-82.0,-1.0,15.81
2026-08-24 14:56:59,xsp_auto_20260824_083027,-92.0,-1.0,15.81
2026-08-24 14:56:59,xsp_auto_20260824_083312,-98.0,-1.0,15.81
2026-08-24 14:56:59,xsp_auto_20260824_083440,-34.5,-0.655,15.81
2026-08-24 14:56:59,xsp_auto_20260824_083512,-82.0,-1.0,15.81
2026-08-24 14:57:32,xsp_auto_20260824_083027,-92.0,-1.0,15.81
2026-08-24 14:57:32,xsp_auto_20260824_083312,-98.0,-1.0,15.81
2026-08-24 14:57:32,xsp_auto_20260824_083440,-34.5,-0.655,15.81
2026-08-24 14:57:32,xsp_auto_20260824_083512,-82.0,-1.0,15.81
2026-08-24 14:58:04,xsp_auto_20260824_083027,-92.0,-1.0,15.81
2026-08-24 14:58:04,xsp_auto_20260824_083312,-98.0,-1.0,15.81
2026-08-24 14:58:04,xsp_auto_20260824_083440,-34.5,-0.655,15.81
2026-08-24 14:58:04,xsp_auto_20260824_083512,-82.0,-1.0,15.81
2026-08-24 14:58:36,xsp_auto_20260824_083027,-92.0,-1.0,15.83
2026-08-24 14:58:36,xsp_auto_20260824_083312,-98.0,-1.0,15.83
2026-08-24 14:58:36,xsp_auto_20260824_083440,-34.5,-0.655,15.83
2026-08-24 14:58:36,xsp_auto_20260824_083512,-82.0,-1.0,15.83
2026-08-24 14:59:08,xsp_auto_20260824_083027,-92.0,-1.0,
2026-08-24 14:59:08,xsp_auto_20260824_083312,-98.0,-1.0,
2026-08-24 14:59:08,xsp_auto_20260824_083440,-34.5,-0.655,
2026-08-24 14:59:08,xsp_auto_20260824_083512,-82.0,-1.0,
2026-08-24 14:59:40,xsp_auto_20260824_083027,-92.0,-1.0,
2026-08-24 14:59:40,xsp_auto_20260824_083312,-98.0,-1.0,
2026-08-24 14:59:40,xsp_auto_20260824_083440,-34.5,-0.655,
2026-08-24 14:59:40,xsp_auto_20260824_083512,-82.0,-1.0,
2026-08-25 08:43:06,xsp_auto_20260825_084230,-1.0,-0.03,15.8
2026-08-25 08:44:13,xsp_auto_20260825_084230,-1.0,-0.03,15.8
2026-08-25 08:44:13,xsp_auto_20260825_084313,-16.5,-1.315,15.8
2026-08-25 08:45:00,xsp_auto_20260825_084230,-0.5,-0.025,15.8
2026-08-25 08:45:00,xsp_auto_20260825_084313,-17.0,-1.32,15.8
2026-08-25 08:45:00,xsp_auto_20260825_084252,2.0,-0.26,15.8
2026-08-25 08:45:29,xsp_auto_20260825_084230,-1.0,-0.03,15.8
2026-08-25 08:45:29,xsp_auto_20260825_084313,-24.5,-1.395,15.8
2026-08-25 08:45:29,xsp_auto_20260825_084252,1.5,-0.265,15.8
2026-08-25 08:45:58,xsp_auto_20260825_084230,-1.0,-0.03,15.8
2026-08-25 08:45:58,xsp_auto_20260825_084313,-30.0,-1.45,15.8
2026-08-25 08:45:58,xsp_auto_20260825_084252,-2.0,-0.3,15.8
2026-08-25 08:46:27,xsp_auto_20260825_084230,-1.0,-0.03,15.13
2026-08-25 08:46:27,xsp_auto_20260825_084313,-19.5,-1.345,15.13
2026-08-25 08:46:27,xsp_auto_20260825_084252,2.0,-0.26,15.13
2026-08-25 08:46:56,xsp_auto_20260825_084230,-1.5,-0.035,15.13
2026-08-25 08:46:56,xsp_auto_20260825_084313,-31.0,-1.46,15.13
2026-08-25 08:46:56,xsp_auto_20260825_084252,2.5,-0.255,15.13
