ts,localSymbol,commission,currency
2026-08-27 08:43:06,XSP   260827C00768000,1.22028,USD
2026-08-27 08:43:06,XSP   260827C00770000,1.22028,USD
2026-08-27 09:10:58,XSP   260827P00768000,1.22028,USD
2026-08-27 09:10:58,XSP   260827P00765000,1.22028,USD
2026-08-27 09:11:50,XSP   260827P00764000,1.22028,USD
2026-08-27 09:11:50,XSP   260827P00761000,1.22028,USD
2026-08-27 09:12:13,XSP   260827P00768000,1.22028,USD
2026-08-27 09:12:13,XSP   260827P00770000,1.22028,USD
2026-08-27 09:12:59,XSP   260827C00773000,1.22028,USD
2026-08-27 09:12:59,XSP   260827C00770000,1.22028,USD
2026-08-27 09:13:55,XSP   260827C00772000,1.22028,USD
2026-08-27 09:13:55,XSP   260827C00775000,1.22028,USD
2026-08-27 09:27:14,XSP   260827C00773000,1.22028,USD
2026-08-27 09:27:14,XSP   260827C00770000,1.22028,USD
2026-08-27 10:25:10,XSP   260827C00772000,1.22028,USD
2026-08-27 10:25:10,XSP   260827C00775000,1.22028,USD
2026-08-28 08:31:21,XSP   260828P00766000,1.22028,USD
2026-08-28 08:31:21,XSP   260828P00764000,1.22028,USD
2026-08-28 08:32:47,XSP   260828C00782000,1.22028,USD
2026-08-28 08:32:47,XSP   260828C00780000,1.22028,USD
2026-08-28 08:33:10,XSP   260828P00773000,1.22028,USD
2026-08-28 08:33:10,XSP   260828P00770000,1.22028,USD
2026-08-28 08:33:30,XSP   260828C00776000,1.22028,USD
2026-08-28 08:33:30,XSP   260828C00773000,1.22028,USD
2026-08-28 08:43:20,XSP   260828C00776000,1.22028,USD
2026-08-28 08:43:20,XSP   260828C00773000,1.22028,USD
2026-08-28 09:05:59,XSP   260828P00766000,1.22028,USD
2026-08-28 09:05:59,XSP   260828P00764000,1.22028,USD
2026-08-28 09:06:58,XSP   260828C00783000,1.22028,USD
2026-08-28 09:06:58,XSP   260828C00780000,1.22028,USD
2026-08-28 09:07:51,XSP   260828P00774000,1.22028,USD
2026-08-28 09:07:51,XSP   260828P00771000,1.22028,USD
2026-08-28 09:08:55,XSP   260828C00776000,1.22028,USD
2026-08-28 09:08:55,XSP   260828C00774000,1.22028,USD
2026-08-28 09:09:14,XSP   260828P00768000,1.22028,USD
2026-08-28 09:09:14,XSP   260828P00770000,1.22028,USD
2026-08-28 09:10:39,XSP   260828C00778000,1.22028,USD
2026-08-28 09:10:39,XSP   260828C00775000,1.22028,USD
2026-08-28 09:21:18,XSP   260828P00774000,1.22028,USD
2026-08-28 09:21:18,XSP   260828P00771000,1.22028,USD
2026-08-28 09:44:20,XSP   260828C00776000,1.22028,USD
2026-08-28 09:44:20,XSP   260828C00774000,1.22028,USD
2026-08-28 09:55:32,XSP   260828C00778000,1.22028,USD
2026-08-28 09:55:32,XSP   260828C00775000,1.22028,USD
2026-08-28 11:24:57,XSP   260828P00773000,1.22028,USD
2026-08-28 11:24:57,XSP   260828P00770000,1.22028,USD
2026-08-31 08:33:49,XSP   260831P00771000,1.22028,USD
2026-08-31 08:33:49,XSP   260831P00768000,1.22028,USD
2026-08-31 08:34:32,XSP   260831P00764000,1.22028,USD
2026-08-31 08:34:32,XSP   260831P00762000,1.22028,USD
2026-08-31 08:34:54,XSP   260831C00774000,1.22028,USD
2026-08-31 08:34:54,XSP   260831C00771000,1.22028,USD
2026-08-31 08:35:18,XSP   260831P00762000,1.22028,USD
2026-08-31 08:35:18,XSP   260831P00759000,1.22028,USD
2026-08-31 08:36:29,XSP   260831P00769000,1.22028,USD
2026-08-31 08:36:29,XSP   260831P00766000,1.22028,USD
2026-08-31 08:36:52,XSP   260831C00772000,1.22028,USD
2026-08-31 08:36:52,XSP   260831C00769000,1.22028,USD
2026-08-31 08:37:15,XSP   260831P00768000,1.22028,USD
2026-08-31 08:37:15,XSP   260831P00770000,1.22028,USD
2026-08-31 08:48:25,XSP   260831C00775000,1.22028,USD
2026-08-31 08:48:25,XSP   260831C00778000,1.22028,USD
2026-08-31 08:48:37,XSP   260831P00771000,1.22028,USD
2026-08-31 08:48:37,XSP   260831P00768000,1.22028,USD
2026-08-31 08:48:51,XSP   260831P00768000,1.22028,USD
2026-08-31 08:48:51,XSP   260831P00770000,1.22028,USD
2026-08-31 08:51:03,XSP   260831P00769000,1.22028,USD
2026-08-31 08:51:03,XSP   260831P00766000,1.22028,USD
2026-09-01 08:31:00,XSP   260901P00761000,1.22028,USD
2026-09-01 08:31:00,XSP   260901P00758000,1.22028,USD
2026-09-01 08:32:30,XSP   260901P00768000,1.22028,USD
2026-09-01 08:32:30,XSP   260901P00766000,1.22028,USD
2026-09-01 08:33:39,XSP   260901C00771000,1.22028,USD
2026-09-01 08:33:39,XSP   260901C00768000,1.22028,USD
2026-09-01 09:01:31,XSP   260901P00768000,1.22028,USD
2026-09-01 09:01:31,XSP   260901P00766000,1.22028,USD
2026-09-01 09:07:03,XSP   260901P00764000,1.22028,USD
2026-09-01 09:07:03,XSP   260901P00762000,1.22028,USD
2026-09-01 09:08:36,XSP   260901C00766000,1.22028,USD
2026-09-01 09:08:36,XSP   260901C00764000,1.22028,USD
2026-09-01 09:08:58,XSP   260901P00768000,1.22028,USD
2026-09-01 09:08:58,XSP   260901P00765000,1.22028,USD
2026-09-01 09:10:39,XSP   260901C00774000,1.22028,USD
2026-09-01 09:10:39,XSP   260901C00772000,1.22028,USD
2026-09-01 09:17:53,XSP   260901P00768000,1.22028,USD
2026-09-01 09:17:53,XSP   260901P00765000,1.22028,USD
2026-09-01 09:20:00,XSP   260901C00766000,1.22028,USD
2026-09-01 09:20:00,XSP   260901C00764000,1.22028,USD
2026-09-01 11:42:02,XSP   260901P00764000,1.22028,USD
2026-09-01 11:42:02,XSP   260901P00762000,1.22028,USD
