ts,trade_id,strategy,kind,action,leg,leg_bid,leg_ask,mid,spread,combo_fill
2026-08-26 08:31:46,xsp_auto_20260826_083028,eodic_p,entry,SELL,760P,0.06,0.07,0.065,0.01,0.03
2026-08-26 08:34:26,xsp_auto_20260826_083315,eodfly_c,entry,BUY,770C,0.17,0.18,0.175,0.01,0.51
2026-08-26 08:34:26,xsp_auto_20260826_083315,eodfly_c,entry,SELL,768C,0.69,0.71,0.7,0.02,0.51
2026-08-26 08:35:36,xsp_auto_20260826_083339,eodfly_p,entry,BUY,765P,0.35,0.37,0.36,0.02,1.03
2026-08-26 08:35:36,xsp_auto_20260826_083339,eodfly_p,entry,SELL,768P,1.4,1.51,1.455,0.11,1.03
2026-08-26 09:06:22,xsp_auto_20260826_090549,openfly_p,entry,BUY,766P,0.24,0.26,0.25,0.02,0.45
2026-08-26 09:06:22,xsp_auto_20260826_090549,openfly_p,entry,SELL,768P,0.69,0.71,0.7,0.02,0.45
2026-08-26 09:07:35,xsp_auto_20260826_090646,gx_bcs,entry,BUY,772C,0.08,0.09,0.085,0.01,0.26
2026-08-26 09:07:35,xsp_auto_20260826_090646,gx_bcs,entry,SELL,770C,0.35,0.37,0.36,0.02,0.26
2026-08-26 09:08:29,xsp_auto_20260826_090613,openfly_c,entry,BUY,771C,0.15,0.17,0.16,0.02,1.01
2026-08-26 09:08:29,xsp_auto_20260826_090613,openfly_c,entry,SELL,768C,1.18,1.2,1.19,0.02,1.01
2026-08-27 08:33:55,xsp_auto_20260827_083041,eodic_c,entry,BUY,778C,0.02,0.03,0.025,0.01,0.07
2026-08-27 08:33:55,xsp_auto_20260827_083041,eodic_c,entry,SELL,775C,0.1,0.11,0.105,0.01,0.07
2026-08-27 08:35:45,xsp_auto_20260827_083242,eodfly_c,entry,BUY,770C,1.07,1.09,1.08,0.02,1.04
2026-08-27 08:35:45,xsp_auto_20260827_083242,eodfly_c,entry,SELL,768C,2.15,2.28,2.215,0.13,1.04
2026-08-27 08:38:08,xsp_auto_20260827_083122,eodfly_p,entry,BUY,765P,0.29,0.31,0.3,0.02,0.58
2026-08-27 08:38:08,xsp_auto_20260827_083122,eodfly_p,entry,SELL,768P,0.9,0.92,0.91,0.02,0.58
2026-08-27 09:11:06,xsp_auto_20260827_090905,gx_bps,entry,BUY,765P,0.13,0.14,0.135,0.01,0.3
2026-08-27 09:11:06,xsp_auto_20260827_090905,gx_bps,entry,SELL,768P,0.44,0.46,0.45,0.02,0.3
2026-08-27 09:11:56,xsp_auto_20260827_090522,openic_p,entry,BUY,761P,0.03,0.05,0.04,0.02,0.03
2026-08-27 09:11:56,xsp_auto_20260827_090522,openic_p,entry,SELL,764P,0.09,0.1,0.095,0.01,0.03
2026-08-27 09:12:18,xsp_auto_20260827_090552,openfly_p,entry,BUY,768P,0.44,0.46,0.45,0.02,0.54
2026-08-27 09:12:18,xsp_auto_20260827_090552,openfly_p,entry,SELL,770P,1.02,1.04,1.03,0.02,0.54
2026-08-27 09:13:02,xsp_auto_20260827_091109,openfly_c,entry,BUY,773C,0.32,0.34,0.33,0.02,1.24
2026-08-27 09:13:02,xsp_auto_20260827_091109,openfly_c,entry,SELL,770C,1.54,1.56,1.55,0.02,1.24
2026-08-27 09:14:01,xsp_auto_20260827_091012,gx_bcs,entry,BUY,775C,0.08,0.09,0.085,0.01,0.52
2026-08-27 09:14:01,xsp_auto_20260827_091012,gx_bcs,entry,SELL,772C,0.63,0.65,0.64,0.02,0.52
2026-08-28 08:31:25,xsp_auto_20260828_083044,eodic_p,entry,BUY,764P,0.09,0.11,0.1,0.02,0.08
2026-08-28 08:31:25,xsp_auto_20260828_083044,eodic_p,entry,SELL,766P,0.18,0.19,0.185,0.01,0.08
2026-08-28 08:32:53,xsp_auto_20260828_083142,eodic_c,entry,BUY,782C,0.02,0.04,0.03,0.02,0.04
2026-08-28 08:32:53,xsp_auto_20260828_083142,eodic_c,entry,SELL,780C,0.07,0.09,0.08,0.02,0.04
2026-08-28 08:33:15,xsp_auto_20260828_083205,eodfly_p,entry,BUY,770P,0.6,0.62,0.61,0.02,0.83
2026-08-28 08:33:15,xsp_auto_20260828_083205,eodfly_p,entry,SELL,773P,1.43,1.44,1.435,0.01,0.83
2026-08-28 08:33:36,xsp_auto_20260828_083227,eodfly_c,entry,BUY,776C,0.68,0.7,0.69,0.02,1.3
2026-08-28 08:33:36,xsp_auto_20260828_083227,eodfly_c,entry,SELL,773C,1.98,1.99,1.985,0.01,1.3
2026-08-28 09:06:05,xsp_auto_20260828_090522,openic_p,entry,BUY,764P,0.08,0.1,0.09,0.02,0.07
2026-08-28 09:06:05,xsp_auto_20260828_090522,openic_p,entry,SELL,766P,0.17,0.18,0.175,0.01,0.07
2026-08-28 09:06:58,xsp_auto_20260828_090601,openic_c,entry,BUY,783C,0.01,0.02,0.015,0.01,0.01
2026-08-28 09:06:58,xsp_auto_20260828_090601,openic_c,entry,SELL,780C,0.03,0.04,0.035,0.01,0.01
2026-08-28 09:07:54,xsp_auto_20260828_090638,openfly_p,entry,BUY,771P,0.97,1.03,1.0,0.06,1.26
2026-08-28 09:07:54,xsp_auto_20260828_090638,openfly_p,entry,SELL,774P,2.21,2.26,2.235,0.05,1.26
2026-08-28 09:08:55,xsp_auto_20260828_090735,openfly_c,entry,BUY,776C,0.33,0.35,0.34,0.02,0.66
2026-08-28 09:08:55,xsp_auto_20260828_090735,openfly_c,entry,SELL,774C,0.94,0.95,0.945,0.01,0.66
2026-08-28 09:09:16,xsp_auto_20260828_090756,gx_bps,entry,BUY,768P,0.32,0.34,0.33,0.02,0.27
2026-08-28 09:09:16,xsp_auto_20260828_090756,gx_bps,entry,SELL,770P,0.62,0.63,0.625,0.01,0.27
2026-08-28 09:10:44,xsp_auto_20260828_090818,gx_bcs,entry,BUY,778C,0.1,0.12,0.11,0.02,0.48
2026-08-28 09:10:44,xsp_auto_20260828_090818,gx_bcs,entry,SELL,775C,0.58,0.6,0.59,0.02,0.48
2026-08-31 08:33:52,xsp_auto_20260831_083206,eodfly_p,entry,BUY,768P,1.18,1.19,1.185,0.01,1.77
2026-08-31 08:33:52,xsp_auto_20260831_083206,eodfly_p,entry,SELL,771P,3.04,3.19,3.115,0.15,1.77
2026-08-31 08:34:37,xsp_auto_20260831_083122,eodic_p,entry,BUY,762P,0.12,0.14,0.13,0.02,0.13
2026-08-31 08:34:37,xsp_auto_20260831_083122,eodic_p,entry,SELL,764P,0.26,0.28,0.27,0.02,0.13
2026-08-31 08:34:58,xsp_auto_20260831_083342,eodfly_c,entry,BUY,774C,0.05,0.06,0.055,0.01,0.24
2026-08-31 08:34:58,xsp_auto_20260831_083342,eodfly_c,entry,SELL,771C,0.3,0.32,0.31,0.02,0.24
2026-08-31 08:35:20,xsp_auto_20260831_083403,openic_p,entry,BUY,759P,0.04,0.06,0.05,0.02,0.08
2026-08-31 08:35:20,xsp_auto_20260831_083403,openic_p,entry,SELL,762P,0.12,0.13,0.125,0.01,0.08
2026-08-31 08:36:34,xsp_auto_20260831_083447,openfly_p,entry,BUY,766P,0.75,0.76,0.755,0.01,1.27
2026-08-31 08:36:34,xsp_auto_20260831_083447,openfly_p,entry,SELL,769P,2.15,2.2,2.175,0.05,1.27
2026-08-31 08:36:57,xsp_auto_20260831_083526,openfly_c,entry,BUY,772C,0.15,0.17,0.16,0.02,0.67
2026-08-31 08:36:57,xsp_auto_20260831_083526,openfly_c,entry,SELL,769C,0.83,0.85,0.84,0.02,0.67
2026-08-31 08:37:19,xsp_auto_20260831_083547,gx_bps,entry,BUY,768P,1.36,1.38,1.37,0.02,1.17
2026-08-31 08:37:19,xsp_auto_20260831_083547,gx_bps,entry,SELL,770P,2.52,2.63,2.575,0.11,1.17
2026-08-31 08:48:30,xsp_auto_20260831_083610,gx_bcs,entry,BUY,778C,0.01,0.02,0.015,0.01,0.01
2026-08-31 08:48:30,xsp_auto_20260831_083610,gx_bcs,entry,SELL,775C,0.03,0.05,0.04,0.02,0.01
2026-09-01 08:31:05,xsp_auto_20260901_083038,eodic_p,entry,BUY,758P,0.21,0.25,0.23,0.04,0.43
2026-09-01 08:31:05,xsp_auto_20260901_083038,eodic_p,entry,SELL,761P,0.68,0.71,0.695,0.03,0.43
2026-09-01 08:32:36,xsp_auto_20260901_083120,eodfly_p,entry,BUY,766P,2.82,3.23,3.025,0.41,1.16
2026-09-01 08:32:36,xsp_auto_20260901_083120,eodfly_p,entry,SELL,768P,4.4,5.0,4.7,0.6,1.16
2026-09-01 08:33:46,xsp_auto_20260901_083143,eodfly_c,entry,BUY,771C,0.03,0.05,0.04,0.02,0.09
2026-09-01 08:33:46,xsp_auto_20260901_083143,eodfly_c,entry,SELL,768C,0.13,0.14,0.135,0.01,0.09
2026-09-01 09:07:06,xsp_auto_20260901_090550,openfly_p,entry,BUY,762P,0.35,0.37,0.36,0.02,0.54
2026-09-01 09:07:06,xsp_auto_20260901_090550,openfly_p,entry,SELL,764P,0.93,0.95,0.94,0.02,0.54
2026-09-01 09:08:40,xsp_auto_20260901_090613,openfly_c,entry,BUY,766C,0.38,0.4,0.39,0.02,0.85
2026-09-01 09:08:40,xsp_auto_20260901_090613,openfly_c,entry,SELL,764C,1.21,1.23,1.22,0.02,0.85
2026-09-01 09:09:03,xsp_auto_20260901_090636,gx_bps,entry,BUY,765P,1.3,1.38,1.34,0.08,2.13
2026-09-01 09:09:03,xsp_auto_20260901_090636,gx_bps,entry,SELL,768P,3.5,3.95,3.725,0.45,2.13
2026-09-01 09:10:46,xsp_auto_20260901_090658,gx_bcs,entry,BUY,774C,0.01,0.02,0.015,0.01,0.01
2026-09-01 09:10:46,xsp_auto_20260901_090658,gx_bcs,entry,SELL,772C,0.02,0.03,0.025,0.01,0.01
2026-09-02 08:31:47,xsp_auto_20260902_083026,eodic_p,entry,BUY,752P,0.01,0.05,0.03,0.04,0.01
2026-09-02 08:31:47,xsp_auto_20260902_083026,eodic_p,entry,SELL,755P,0.04,0.05,0.045,0.01,0.01
2026-09-02 08:32:31,xsp_auto_20260902_083110,eodfly_p,entry,BUY,760P,0.25,0.26,0.255,0.01,0.65
2026-09-02 08:32:31,xsp_auto_20260902_083110,eodfly_p,entry,SELL,763P,0.89,0.91,0.9,0.02,0.65
2026-09-02 08:34:52,xsp_auto_20260902_083133,eodfly_c,entry,BUY,766C,0.43,0.45,0.44,0.02,1.33
2026-09-02 08:34:52,xsp_auto_20260902_083133,eodfly_c,entry,SELL,763C,1.79,1.81,1.8,0.02,1.33
2026-09-02 09:04:44,xsp_auto_20260902_083049,eodic_c,entry,BUY,774C,0.01,0.02,0.015,0.01,0.01
2026-09-02 09:04:44,xsp_auto_20260902_083049,eodic_c,entry,SELL,771C,0.03,0.04,0.035,0.01,0.01
2026-09-02 09:06:03,xsp_auto_20260902_090524,openic_p,entry,BUY,755P,0.02,0.03,0.025,0.01,0.01
2026-09-02 09:06:03,xsp_auto_20260902_090524,openic_p,entry,SELL,758P,0.04,0.05,0.045,0.01,0.01
2026-09-02 09:07:04,xsp_auto_20260902_090628,openfly_c,entry,BUY,768C,0.2,0.22,0.21,0.02,0.61
2026-09-02 09:07:04,xsp_auto_20260902_090628,openfly_c,entry,SELL,766C,0.8,0.81,0.805,0.01,0.61
2026-09-02 09:08:00,xsp_auto_20260902_090658,gx_bcs,entry,BUY,772C,0.02,0.03,0.025,0.01,0.03
2026-09-02 09:08:00,xsp_auto_20260902_090658,gx_bcs,entry,SELL,770C,0.06,0.07,0.065,0.01,0.03
2026-09-03 08:31:24,xsp_auto_20260903_083044,eodic_c,entry,BUY,776C,0.02,0.04,0.03,0.02,0.05
2026-09-03 08:31:24,xsp_auto_20260903_083044,eodic_c,entry,SELL,774C,0.09,0.11,0.1,0.02,0.05
2026-09-03 08:32:08,xsp_auto_20260903_083123,eodfly_p,entry,BUY,764P,0.11,0.13,0.12,0.02,0.13
2026-09-03 08:32:08,xsp_auto_20260903_083123,eodfly_p,entry,SELL,766P,0.24,0.26,0.25,0.02,0.13
2026-09-03 08:34:34,xsp_auto_20260903_083324,openic_p,entry,BUY,760P,0.02,0.04,0.03,0.02,0.02
2026-09-03 08:34:34,xsp_auto_20260903_083324,openic_p,entry,SELL,762P,0.05,0.06,0.055,0.01,0.02
2026-09-03 08:38:47,xsp_auto_20260903_083525,gx_bps,entry,BUY,762P,0.05,0.06,0.055,0.01,0.05
2026-09-03 08:38:47,xsp_auto_20260903_083525,gx_bps,entry,SELL,765P,0.12,0.13,0.125,0.01,0.05
2026-09-03 08:40:08,xsp_auto_20260903_083424,openfly_p,entry,BUY,768P,0.36,0.38,0.37,0.02,0.4
2026-09-03 08:40:08,xsp_auto_20260903_083424,openfly_p,entry,SELL,770P,0.76,0.77,0.765,0.01,0.4
2026-09-03 10:16:00,xsp_auto_20260903_083403,openic_c,entry,BUY,780C,0.01,0.02,0.015,0.01,0.01
2026-09-03 10:16:00,xsp_auto_20260903_083403,openic_c,entry,SELL,778C,0.03,0.04,0.035,0.01,0.01
2026-09-04 08:32:06,xsp_auto_20260904_083045,eodic_p,entry,BUY,766P,0.06,0.08,0.07,0.02,0.05
2026-09-04 08:32:06,xsp_auto_20260904_083045,eodic_p,entry,SELL,768P,0.13,0.14,0.135,0.01,0.05
2026-09-04 08:33:55,xsp_auto_20260904_083232,eodfly_p,entry,BUY,772P,0.59,0.61,0.6,0.02,1.14
2026-09-04 08:33:55,xsp_auto_20260904_083232,eodfly_p,entry,SELL,775P,1.68,1.7,1.69,0.02,1.14
2026-09-04 08:35:05,xsp_auto_20260904_083155,eodic_c,entry,BUY,784C,0.01,0.02,0.015,0.01,0.01
2026-09-04 08:35:05,xsp_auto_20260904_083155,eodic_c,entry,SELL,782C,0.02,0.03,0.025,0.01,0.01
2026-09-04 08:35:25,xsp_auto_20260904_083253,eodfly_c,entry,BUY,778C,0.15,0.17,0.16,0.02,0.74
2026-09-04 08:35:25,xsp_auto_20260904_083253,eodfly_c,entry,SELL,775C,0.86,0.88,0.87,0.02,0.74
2026-09-04 09:07:55,xsp_auto_20260904_090522,openic_p,entry,BUY,764P,0.03,0.04,0.035,0.01,0.01
2026-09-04 09:07:55,xsp_auto_20260904_090522,openic_p,entry,SELL,766P,0.05,0.06,0.055,0.01,0.01
2026-09-04 09:08:39,xsp_auto_20260904_090620,openfly_p,entry,BUY,771P,0.38,0.4,0.39,0.02,1.01
2026-09-04 09:08:39,xsp_auto_20260904_090620,openfly_p,entry,SELL,774P,1.43,1.45,1.44,0.02,1.01
2026-09-04 09:08:59,xsp_auto_20260904_090642,openfly_c,entry,BUY,776C,0.18,0.2,0.19,0.02,0.53
2026-09-04 09:08:59,xsp_auto_20260904_090642,openfly_c,entry,SELL,774C,0.74,0.76,0.75,0.02,0.53
2026-09-04 09:09:22,xsp_auto_20260904_090706,gx_bps,entry,BUY,765P,0.04,0.05,0.045,0.01,0.05
2026-09-04 09:09:22,xsp_auto_20260904_090706,gx_bps,entry,SELL,768P,0.11,0.12,0.115,0.01,0.05
2026-09-04 09:10:46,xsp_auto_20260904_090743,gx_bcs,entry,BUY,778C,0.04,0.05,0.045,0.01,0.25
2026-09-04 09:10:46,xsp_auto_20260904_090743,gx_bcs,entry,SELL,775C,0.3,0.32,0.31,0.02,0.25
